	Avg_bc1002	Var_bc1002	Avg_bc1015	Var_bc1015	Avg_InAmount	Var_InAmount	Avg_OutAmount	Var_OutAmount	Avg_AllAmount	Var_AllAmount	In	InAmount	Out	OutAmount	All	AllAmount
1,2-Diacyl-sn-glycerol dioctadecanoyl	0.0	0.0	0.0	0.0	1.9988332483164784	1.360515335930394e-06	0.0	0.0	1.9988332483164784	1.360515335930394e-06	bc1002.bc1015	1		1	bc1002.bc1015	1
4-Hydroxybenzoate	0.0	0.0	0.0	0.0	1.9988332483164784	1.360515335930394e-06	0.0	0.0	1.9988332483164784	1.360515335930394e-06	bc1002.bc1015	1		1	bc1002.bc1015	1
5-Aminolevulinate	0.0	0.0	0.0	0.0	1.9988332483164784	1.360515335930394e-06	0.0	0.0	1.9988332483164784	1.360515335930394e-06	bc1002.bc1015	1		1	bc1002.bc1015	1
AMP	0.0	0.0	0.0	0.0	1.9988332483164784	1.360515335930394e-06	0.0	0.0	1.9988332483164784	1.360515335930394e-06	bc1002.bc1015	1		1	bc1002.bc1015	1
ARSENOBETAINE	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Acetate	0.0	0.0	0.0	0.0	1.9988332483164784	1.360515335930394e-06	0.0	0.0	1.9988332483164784	1.360515335930394e-06	bc1002.bc1015	1		1	bc1002.bc1015	1
Adenine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Ala-Ala	0.0	0.0	0.0	0.0	1.9988332483164784	1.360515335930394e-06	0.0	0.0	1.9988332483164784	1.360515335930394e-06	bc1002.bc1015	1		1	bc1002.bc1015	1
Arsenate	0.0	0.0	0.0	0.0	0.9994166241582392	3.401288339825985e-07	0.0	0.0	0.9994166241582392	3.401288339825985e-07	bc1015	1		1	bc1015	1
Arsenite	0.0	0.0	0.0	0.0	0.9994166241582392	3.401288339825985e-07	0.0	0.0	0.9994166241582392	3.401288339825985e-07	bc1015	1		1	bc1015	1
BET	0.0	0.0	0.0	0.0	1.9988332483164784	1.360515335930394e-06	0.0	0.0	1.9988332483164784	1.360515335930394e-06	bc1002.bc1015	1		1	bc1002.bc1015	1
BIOT	0.0	0.0	0.0	0.0	1.9988332483164784	1.360515335930394e-06	0.0	0.0	1.9988332483164784	1.360515335930394e-06	bc1002.bc1015	1		1	bc1002.bc1015	1
CMP	0.0	0.0	0.0	0.0	1.9988332483164784	1.360515335930394e-06	0.0	0.0	1.9988332483164784	1.360515335930394e-06	bc1002.bc1015	1		1	bc1002.bc1015	1
CO2	0.0	0.0	0.0	0.0	1.9988332483164784	1.360515335930394e-06	0.0	0.0	1.9988332483164784	1.360515335930394e-06	bc1002.bc1015	1		1	bc1002.bc1015	1
Ca2+	0.0	0.0	0.0	0.0	1.9988332483164784	1.360515335930394e-06	0.0	0.0	1.9988332483164784	1.360515335930394e-06	bc1002.bc1015	1		1	bc1002.bc1015	1
Cbl	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Chorismate	0.0	0.0	0.0	0.0	1.9988332483164784	1.360515335930394e-06	0.0	0.0	1.9988332483164784	1.360515335930394e-06	bc1002.bc1015	1		1	bc1002.bc1015	1
Cl-	0.0	0.0	0.0	0.0	1.9988332483164784	1.360515335930394e-06	0.0	0.0	1.9988332483164784	1.360515335930394e-06	bc1002.bc1015	1		1	bc1002.bc1015	1
Co2+	0.0	0.0	0.0	0.0	1.9988332483164784	1.360515335930394e-06	0.0	0.0	1.9988332483164784	1.360515335930394e-06	bc1002.bc1015	1		1	bc1002.bc1015	1
CoA	0.0	0.0	0.0	0.0	1.9988332483164784	1.360515335930394e-06	0.0	0.0	1.9988332483164784	1.360515335930394e-06	bc1002.bc1015	1		1	bc1002.bc1015	1
Cu2+	0.0	0.0	0.0	0.0	1.9988332483164784	1.360515335930394e-06	0.0	0.0	1.9988332483164784	1.360515335930394e-06	bc1002.bc1015	1		1	bc1002.bc1015	1
Cytosine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
D-Arabinose	0.0	0.0	0.0	0.0	1.9988332483164784	1.360515335930394e-06	0.0	0.0	1.9988332483164784	1.360515335930394e-06	bc1002.bc1015	1		1	bc1002.bc1015	1
D-Glucose	0.1443558823042816	0.018251025874703883	0.14854127894688107	0.01932469408370979	1.9988332483164784	1.360515335930394e-06	1.0658649451098414	0.9949990543325018	3.0646981934263198	0.9950018658199036	bc1002.bc1015	1	.bc1002.bc1015	2	bc1002.bc1015.bc1002.bc1015bc1002.bc1015	2
Deoxycytidine	0.0	0.0	0.0	0.0	1.9988332483164784	1.360515335930394e-06	0.0	0.0	1.9988332483164784	1.360515335930394e-06	bc1002.bc1015	1		1	bc1002.bc1015	1
Deoxyguanosine	0.0	0.0	0.0	0.0	1.9988332483164784	1.360515335930394e-06	0.0	0.0	1.9988332483164784	1.360515335930394e-06	bc1002.bc1015	1		1	bc1002.bc1015	1
Enterobactin	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Fe-enterochlin	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Folate	0.0	0.0	0.0	0.0	1.9988332483164784	1.360515335930394e-06	0.0	0.0	1.9988332483164784	1.360515335930394e-06	bc1002.bc1015	1		1	bc1002.bc1015	1
Formate	0.0	0.0	0.0	0.0	0.9994166241582392	3.401288339825985e-07	0.0	0.0	0.9994166241582392	3.401288339825985e-07	bc1015	1		1	bc1015	1
GTP	0.0	0.0	0.0	0.0	1.9988332483164784	1.360515335930394e-06	0.0	0.0	1.9988332483164784	1.360515335930394e-06	bc1002.bc1015	1		1	bc1002.bc1015	1
Glycerol	0.0	0.0	0.0	0.0	1.9988332483164784	1.360515335930394e-06	0.0	0.0	1.9988332483164784	1.360515335930394e-06	bc1002.bc1015	1		1	bc1002.bc1015	1
