	0.0000-8.4216	8.4216-9.7200	9.7200-10.5276	10.5276-10.7929	10.8249-10.9095	10.9095-10.9180	10.9180-10.9351	10.9351-10.9522	10.9522-10.9895	10.9895-11.0231	11.0304-11.1167	11.2721-11.3147	11.3147-11.3173	11.3173-11.3588	11.3799-15.5774	15.5774-15.9143	15.9143-20.0000	Source	Target
Bifidobacterium_animalis_YL2##Enterocloster_clostridioformis_YL32##PAN	-126.6890741201048	-126.68907411982485	-126.6890741198524	-126.68907411986622	-126.68907411987075	-126.68907411986729	-126.68907411987249	-126.68907411985963	-126.68907411988822	-126.68907411985984	-126.68907411985654	-126.68907411983078	-126.68907411991978	-126.68907411987469	-126.68907411987107	-126.689074119873	-126.68907411987868	Bifidobacterium_animalis_YL2	Enterocloster_clostridioformis_YL32
Enterocloster_clostridioformis_YL32##Bifidobacterium_animalis_YL2##PAN	0.0	-96.79614651704313	-96.79614651703905	-96.79614651763282	-96.79614651759258	-96.79614651758001	-96.79614651757326	-96.7961465170467	-96.79614651733385	-96.79614651758753	-96.79614651757464	-96.79614651942981	-96.7961465180961	-96.79614651737349	-96.79614651764625	-96.79614651761504	-96.79614651759081	Enterocloster_clostridioformis_YL32	Bifidobacterium_animalis_YL2
