	Source	Target	SourceType	Weight	Variance	ABS_Weight	Sign_Weight	ABSRootWeight	SignedRootWeight
0	bc1010	L-Arginine	Microbe	-0.033618805597020615	5.583533259557518e-06	0.033618805597020615	-1.0	0.18335431709403685	-0.18335431709403685
1	bc1008	L-Arginine	Microbe	-0.01409244783063454	6.538900611183099e-09	0.01409244783063454	-1.0	0.11871161624135415	-0.11871161624135415
2	bc1010	GTP	Microbe	-0.01845267218568827	1.6821436511851546e-06	0.01845267218568827	-1.0	0.13584061316737447	-0.13584061316737447
3	bc1008	GTP	Microbe	-0.007895355902676973	2.0524627701066553e-09	0.007895355902676973	-1.0	0.08885581524400625	-0.08885581524400625
4	bc1008	Cytidine	Microbe	-0.0034442724276301778	3.9059515760554035e-10	0.0034442724276301778	-1.0	0.05868792403578591	-0.05868792403578591
5	bc1010	D-Glucose	Microbe	-0.8746465136253105	0.0376060387549268	0.8746465136253105	-1.0	0.9352253811917802	-0.9352253811917802
6	bc1008	D-Glucose	Microbe	-0.9942783679202267	3.254976416538031e-05	0.9942783679202267	-1.0	0.9971350800770309	-0.9971350800770309
7	bc1012	NADP	Microbe	-0.0009996929608511755	1.1614107684130087e-07	0.0009996929608511755	-1.0	0.031617921513774044	-0.031617921513774044
8	bc1008	4-Hydroxybenzoate	Microbe	-0.0001603006116208209	8.460620661478726e-13	0.0001603006116208209	-1.0	0.01266098778219223	-0.01266098778219223
9	bc1010	4-Hydroxybenzoate	Microbe	-0.0003824115699159668	7.224480023000902e-10	0.0003824115699159668	-1.0	0.01955534632564626	-0.01955534632564626
10	bc1010	Deoxyguanosine	Microbe	-0.00038241156991161604	7.224480024188953e-10	0.00038241156991161604	-1.0	0.01955534632553502	-0.01955534632553502
11	bc1010	Acetate	Microbe	1.5197884783971278	0.16312472353683383	1.5197884783971278	1.0	1.2327970142716633	1.2327970142716633
12	bc1008	Acetate	Microbe	1.4879206110520196	7.289393317583612e-05	1.4879206110520196	1.0	1.2198035132971292	1.2198035132971292
13	bc1010	dATP	Microbe	-0.0014829095827312727	1.086360311819962e-08	0.0014829095827312727	-1.0	0.03850856505676721	-0.03850856505676721
14	bc1008	dATP	Microbe	-0.0012206751861136927	4.9060514393749916e-11	0.0012206751861136927	-1.0	0.03493816231735282	-0.03493816231735282
15	bc1012	H+	Microbe	1.5444479982837844	0.04105539237909434	1.5444479982837844	1.0	1.2427582219739222	1.2427582219739222
16	bc1010	L-Aspartate	Microbe	-0.02736837784161904	3.700348787703839e-06	0.02736837784161904	-1.0	0.16543390777473355	-0.16543390777473355
17	bc1008	L-Aspartate	Microbe	-0.011472371789921457	4.333494908103112e-09	0.011472371789921457	-1.0	0.10710915829153667	-0.10710915829153667
18	bc1012	BIOT	Microbe	-0.0004998464804332043	2.9035269209991466e-08	0.0004998464804332043	-1.0	0.022357246709583993	-0.022357246709583993
19	bc1012	Fumarate	Microbe	-0.3336063208295701	0.32469538033341094	0.3336063208295701	-1.0	0.5775866349125213	-0.5775866349125213
20	bc1012	CoA	Microbe	-0.0009996929608573173	1.1614107683698784e-07	0.0009996929608573173	-1.0	0.03161792151387117	-0.03161792151387117
21	bc1010	CMP	Microbe	-0.011461287071860239	6.489501374073269e-07	0.011461287071860239	-1.0	0.10705740082712749	-0.10705740082712749
22	bc1008	CMP	Microbe	-0.0013601097407335966	6.090876119688539e-11	0.0013601097407335966	-1.0	0.03687966568088161	-0.03687966568088161
23	bc1012	L-Glutamine	Microbe	-0.03802533589869774	0.00016803459298972472	0.03802533589869774	-1.0	0.1950008612768101	-0.1950008612768101
24	bc1010	S-Adenosyl-L-methionine	Microbe	-0.0011472347097247761	6.502032022605382e-09	0.0011472347097247761	-1.0	0.033870853395283326	-0.033870853395283326
25	bc1008	hexadecenoate	Microbe	-0.006443223502997132	1.3669047656643856e-09	0.006443223502997132	-1.0	0.08026969230660556	-0.08026969230660556
26	bc1012	L-Serine	Microbe	-0.03801322740103179	0.0001679275947224686	0.03801322740103179	-1.0	0.1949698115120179	-0.1949698115120179
27	bc1012	5-Aminolevulinate	Microbe	-0.003998771843450736	1.8582572294076403e-06	0.003998771843450736	-1.0	0.06323584302791208	-0.06323584302791208
28	bc1012	L-Leucine	Microbe	-0.0668660555459585	0.0005195938352143579	0.0668660555459585	-1.0	0.2585847163812248	-0.2585847163812248
29	bc1008	Formate	Microbe	-0.00016030061160852922	8.460620660181019e-13	0.00016030061160852922	-1.0	0.012660987781706814	-0.012660987781706814
30	bc1008	D-Arabinose	Microbe	-0.004286158284422438	6.048786768858854e-10	0.004286158284422438	-1.0	0.06546875807912074	-0.06546875807912074
31	bc1008	K+	Microbe	-0.00016030061160933535	8.460620660266043e-13	0.00016030061160933535	-1.0	0.01266098778173865	-0.01266098778173865
32	bc1008	Pyridoxal	Microbe	-0.0001603006116085564	8.460620660184003e-13	0.0001603006116085564	-1.0	0.012660987781707888	-0.012660987781707888
33	bc1008	Pimelate	Microbe	-0.00042280627217685816	5.885924775499212e-12	0.00042280627217685816	-1.0	0.020562253577292012	-0.020562253577292012
34	bc1012	Co2+	Microbe	-0.0004998464804301755	2.9035269209899378e-08	0.0004998464804301755	-1.0	0.02235724670951626	-0.02235724670951626
35	bc1012	BET	Microbe	-0.000999692960806562	1.1614107683650413e-07	0.000999692960806562	-1.0	0.03161792151306853	-0.03161792151306853
36	bc1010	K+	Microbe	-0.0003824115699084904	7.224480024882076e-10	0.0003824115699084904	-1.0	0.0195553463254551	-0.0195553463254551
