	0.0	0.22681	0.232345	0.42023	0.420327	0.421663	0.421729	0.421752	0.421767	0.422169	0.422895	0.422911	0.42341	0.423494	0.423576	0.424201	1.176343
bc1001	True	False	False	False	False	False	False	False	True	False	False	False	False	False	False	True	False
bc1002	True	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False
bc1003	True	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False
bc1008	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
bc1009	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
bc1010	True	False	False	True	False	False	False	False	False	False	False	False	False	True	False	False	False
bc1011	True	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False
bc1012	True	False	True	False	False	False	False	False	False	False	False	True	True	False	False	False	False
bc1015	True	False	False	False	False	True	False	False	False	True	False	False	False	False	False	False	False
bc1016	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
