	0.39745	0.7949	0.79545	0.796	1.17	1.772	Source	Target
bc1001##BIOT##Microbe	-0.00411698	-0.00160962	-0.00160962	-0.00160962	-5e-08	0.0	bc1001	BIOT
BIOT##bc1001##Metabolite	0.00411698	0.00160962	0.00160962	0.00160962	5e-08	0.0	BIOT	bc1001
bc1001##CMP##Microbe	-0.1233904	-0.0482419	-0.0482419	-0.0482419	-1.48e-06	0.0	bc1001	CMP
CMP##bc1001##Metabolite	0.1233904	0.0482419	0.0482419	0.0482419	1.48e-06	0.0	CMP	bc1001
bc1001##CO2##Microbe	10.63523701	4.1580551	4.1580551	4.1580551	0.00012789	1e-08	bc1001	CO2
bc1001##Ca2+##Microbe	-0.00411698	-0.00160962	-0.00160962	-0.00160962	-5e-08	0.0	bc1001	Ca2+
Ca2+##bc1001##Metabolite	0.00411698	0.00160962	0.00160962	0.00160962	5e-08	0.0	Ca2+	bc1001
bc1001##Chorismate##Microbe	-0.00823396	-0.00321923	-0.00321923	-0.00321923	-1e-07	0.0	bc1001	Chorismate
Chorismate##bc1001##Metabolite	0.00823396	0.00321923	0.00321923	0.00321923	1e-07	0.0	Chorismate	bc1001
bc1001##Cl-##Microbe	-0.00411698	-0.00160962	-0.00160962	-0.00160962	-5e-08	0.0	bc1001	Cl-
Cl-##bc1001##Metabolite	0.00411698	0.00160962	0.00160962	0.00160962	5e-08	0.0	Cl-	bc1001
bc1001##Co2+##Microbe	-0.00411698	-0.00160962	-0.00160962	-0.00160962	-5e-08	0.0	bc1001	Co2+
Co2+##bc1001##Metabolite	0.00411698	0.00160962	0.00160962	0.00160962	5e-08	0.0	Co2+	bc1001
bc1001##CoA##Microbe	-0.00823396	-0.00321923	-0.00321923	-0.00321923	-1e-07	0.0	bc1001	CoA
CoA##bc1001##Metabolite	0.00823396	0.00321923	0.00321923	0.00321923	1e-07	0.0	CoA	bc1001
bc1001##Cu2+##Microbe	-0.00411698	-0.00160962	-0.00160962	-0.00160962	-5e-08	0.0	bc1001	Cu2+
Cu2+##bc1001##Metabolite	0.00411698	0.00160962	0.00160962	0.00160962	5e-08	0.0	Cu2+	bc1001
bc1001##D-Arabinose##Microbe	-0.11008091	-0.0430383	-0.0430383	-0.0430383	-1.32e-06	0.0	bc1001	D-Arabinose
D-Arabinose##bc1001##Metabolite	0.11008091	0.0430383	0.0430383	0.0430383	1.32e-06	0.0	D-Arabinose	bc1001
