	0.0000-0.2601	0.2601-0.2687	0.2687-0.2722	0.2722-0.2733	0.2733-0.3685	0.3762-0.3763	0.3763-1.2045	1.2045-2.0000	Source	Target
bc1010##L-Arginine##Microbe	-0.037628535548724126	-0.037628535548724126	-0.037628535548724126	-0.037628535548724126	-0.037628535548724126	-0.0323505677565889	-0.0323505677565889	-0.0323505677565889	bc1010	L-Arginine
bc1008##L-Arginine##Microbe	-0.014173543632566598	-0.014173543632566598	-0.014173543632566598	-0.014173543632566598	-0.014173543632566598	-0.014173543632566598	-0.014173543632566598	-0.014173543632566598	bc1008	L-Arginine
bc1010##GTP##Microbe	-0.02065353063493762	-0.02065353063493762	-0.02065353063493762	-0.02065353063493762	-0.02065353063493762	-0.01775656247246788	-0.01775656247246788	-0.01775656247246788	bc1010	GTP
bc1008##GTP##Microbe	-0.007940790182523996	-0.007940790182523996	-0.007940790182523996	-0.007940790182523996	-0.007940790182523996	-0.007940790182523996	-0.007940790182523996	-0.007940790182523996	bc1008	GTP
bc1008##Cytidine##Microbe	-0.0034640926915011543	-0.0034640926915011543	-0.0034640926915011543	-0.0034640926915011543	-0.0034640926915011543	-0.0034640926915011543	-0.0034640926915011543	-0.0034640926915011543	bc1008	Cytidine
bc1010##D-Glucose##Microbe	-0.5655422262276018	-0.5655422262276018	-0.5655422262276018	-0.5655422262276018	-0.5655422262276018	-1.000000000000002	-1.000000000000002	-1.000000000000002	bc1010	D-Glucose
bc1008##D-Glucose##Microbe	-0.9999999999999929	-0.9999999999999929	-0.9999999999999929	-0.9999999999999929	-0.9999999999999929	-0.9999999999999929	-0.9999999999999929	-0.9999999999999929	bc1008	D-Glucose
bc1012##NADP##Microbe	-0.0010494563665986714	-0.004393958225563963	-0.00439395822561171	-0.0043939582256496	-0.0008537466893924102	-0.0008537466893924102	-0.0009622965091585159	-0.0009622965091585159	bc1012	NADP
bc1008##4-Hydroxybenzoate##Microbe	-0.0001612230707142178	-0.0001612230707142178	-0.0001612230707142178	-0.0001612230707142178	-0.0001612230707142178	-0.0001612230707142178	-0.0001612230707142178	-0.0001612230707142178	bc1008	4-Hydroxybenzoate
bc1010##4-Hydroxybenzoate##Microbe	-0.0004280219685686679	-0.0004280219685686679	-0.0004280219685686679	-0.0004280219685686679	-0.0004280219685686679	-0.0003679854528998147	-0.0003679854528998147	-0.0003679854528998147	bc1010	4-Hydroxybenzoate
bc1010##Deoxyguanosine##Microbe	-0.0004280219685678887	-0.0004280219685678887	-0.0004280219685678887	-0.0004280219685678887	-0.0004280219685678887	-0.0003679854528940613	-0.0003679854528940613	-0.0003679854528940613	bc1010	Deoxyguanosine
bc1010##Acetate##Microbe	0.8742067936044142	0.8742067936044142	0.8742067936044142	0.8742067936044142	0.8742067936044142	1.7791532945242376	1.7791532945242376	1.7791532945242376	bc1010	Acetate
bc1008##Acetate##Microbe	1.4964829358244556	1.4964829358244556	1.4964829358244556	1.4964829358244556	1.4964829358244556	1.4964829358244556	1.4964829358244556	1.4964829358244556	bc1008	Acetate
bc1010##dATP##Microbe	-0.0016597768706660288	-0.0016597768706660288	-0.0016597768706660288	-0.0016597768706660288	-0.0016597768706660288	-0.0014269682126152787	-0.0014269682126152787	-0.0014269682126152787	bc1010	dATP
bc1008##dATP##Microbe	-0.0012276996317108063	-0.0012276996317108063	-0.0012276996317108063	-0.0012276996317108063	-0.0012276996317108063	-0.0012276996317108063	-0.0012276996317108063	-0.0012276996317108063	bc1008	dATP
bc1012##H+##Microbe	1.2308617334925236	0.37314771955363657	0.373147719554777	0.3731477195509054	1.683902377475984	1.683902377475984	1.643712072340218	1.643712072340218	bc1012	H+
