	Avg_Clostridium_innocuum_I46	Var_Clostridium_innocuum_I46	Avg_Bifidobacterium_animalis_YL2	Var_Bifidobacterium_animalis_YL2	Avg_InAmount	Var_InAmount	Avg_OutAmount	Var_OutAmount	Avg_AllAmount	Var_AllAmount	In	InAmount	Out	OutAmount	All	AllAmount
2-Oxoglutarate-e0-e0	0.0	0.0	0.0	0.0	0.7880296336563644	0.1637401638253115	0.0	0.0	0.7880296336563644	0.1637401638253115	Bifidobacterium_animalis_YL2.	2		1	Bifidobacterium_animalis_YL2.	2
Acetate-e0	0.0	0.0	0.0	0.0	1.0142085744245388	0.0191667661690265	0.0	0.0	1.0142085744245388	0.0191667661690265	Bifidobacterium_animalis_YL2.Clostridium_innocuum_I46.Bifidobacterium_animalis_YL2	2		1	Bifidobacterium_animalis_YL2.Clostridium_innocuum_I46.Bifidobacterium_animalis_YL2	2
Adenine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Anserine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
BIOT-e0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Biotin	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
CO2-e0	0.0	0.0	0.0	0.0	1.9893757948653101	0.00011227413788785131	0.0	0.0	1.9893757948653101	0.00011227413788785131	Bifidobacterium_animalis_YL2.Clostridium_innocuum_I46	1		1	Bifidobacterium_animalis_YL2.Clostridium_innocuum_I46	1
Ca2+-e0	0.0	0.0	0.0	0.0	1.9893757948653101	0.00011227413788785131	0.0	0.0	1.9893757948653101	0.00011227413788785131	Bifidobacterium_animalis_YL2.Clostridium_innocuum_I46	1		1	Bifidobacterium_animalis_YL2.Clostridium_innocuum_I46	1
Carnitine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Carnosine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Cd2+-e0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Cellulose	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
