	0.4108	0.8216	0.8218	1.18255	Source	Target
bc1003##1,2-Diacyl-sn-glycerol dioctadecanoyl##Microbe	-0.21804445	-0.07086619	-0.07086619	-3.07e-06	bc1003	1,2-Diacyl-sn-glycerol dioctadecanoyl
1,2-Diacyl-sn-glycerol dioctadecanoyl##bc1003##Metabolite	0.21804445	0.07086619	0.07086619	3.07e-06	1,2-Diacyl-sn-glycerol dioctadecanoyl	bc1003
bc1003##4-Hydroxybenzoate##Microbe	-0.00491139	-0.00159624	-0.00159624	-7e-08	bc1003	4-Hydroxybenzoate
4-Hydroxybenzoate##bc1003##Metabolite	0.00491139	0.00159624	0.00159624	7e-08	4-Hydroxybenzoate	bc1003
bc1003##5-Aminolevulinate##Microbe	-0.0392911	-0.01276992	-0.01276992	-5.5e-07	bc1003	5-Aminolevulinate
5-Aminolevulinate##bc1003##Metabolite	0.0392911	0.01276992	0.01276992	5.5e-07	5-Aminolevulinate	bc1003
bc1003##AMP##Microbe	-0.18792006	-0.06107552	-0.06107552	-2.65e-06	bc1003	AMP
AMP##bc1003##Metabolite	0.18792006	0.06107552	0.06107552	2.65e-06	AMP	bc1003
bc1003##Acetate##Microbe	10.17849394	3.30809205	3.30809205	0.0001434	bc1003	Acetate
bc1003##Ala-Ala##Microbe	-0.04377397	-0.01422689	-0.01422689	-6.2e-07	bc1003	Ala-Ala
Ala-Ala##bc1003##Metabolite	0.04377397	0.01422689	0.01422689	6.2e-07	Ala-Ala	bc1003
bc1003##BET##Microbe	-0.00982277	-0.00319248	-0.00319248	-1.4e-07	bc1003	BET
BET##bc1003##Metabolite	0.00982277	0.00319248	0.00319248	1.4e-07	BET	bc1003
bc1003##BIOT##Microbe	-0.00491139	-0.00159624	-0.00159624	-7e-08	bc1003	BIOT
BIOT##bc1003##Metabolite	0.00491139	0.00159624	0.00159624	7e-08	BIOT	bc1003
bc1003##CMP##Microbe	-0.14719958	-0.04784104	-0.04784104	-2.07e-06	bc1003	CMP
CMP##bc1003##Metabolite	0.14719958	0.04784104	0.04784104	2.07e-06	CMP	bc1003
bc1003##CO2##Microbe	12.59375613	4.0930716	4.0930716	0.00017743	bc1003	CO2
bc1003##Ca2+##Microbe	-0.00491139	-0.00159624	-0.00159624	-7e-08	bc1003	Ca2+
Ca2+##bc1003##Metabolite	0.00491139	0.00159624	0.00159624	7e-08	Ca2+	bc1003
bc1003##Chorismate##Microbe	-0.00982277	-0.00319248	-0.00319248	-1.4e-07	bc1003	Chorismate
Chorismate##bc1003##Metabolite	0.00982277	0.00319248	0.00319248	1.4e-07	Chorismate	bc1003
