	0.27249999999999996	0.33009999999999995	0.38749999999999996	0.39005	0.7811	1.5854	Source	Target
bc1003##1,2-Diacyl-sn-glycerol dioctadecanoyl##Microbe	1.14480377	0.41884559	0.15043573	0.024236919999999995	0.14144033	1.16e-05	bc1003	1,2-Diacyl-sn-glycerol dioctadecanoyl
1,2-Diacyl-sn-glycerol dioctadecanoyl##bc1003##Metabolite	-1.14480377	-0.41884559	-0.15043573	-0.024236919999999995	-0.14144033	-1.16e-05	1,2-Diacyl-sn-glycerol dioctadecanoyl	bc1003
bc1003##4-Hydroxybenzoate##Microbe	0.025786370000000003	0.00943438	0.0033885200000000003	0.00054593	0.0031858999999999998	2.6e-07	bc1003	4-Hydroxybenzoate
4-Hydroxybenzoate##bc1003##Metabolite	-0.025786370000000003	-0.00943438	-0.0033885200000000003	-0.00054593	-0.0031858999999999998	-2.6e-07	4-Hydroxybenzoate	bc1003
bc1003##5-Aminolevulinate##Microbe	0.20629096000000002	0.07547499999999999	0.02710817	0.0043674299999999985	0.02548722	2.09e-06	bc1003	5-Aminolevulinate
5-Aminolevulinate##bc1003##Metabolite	-0.20629096000000002	-0.07547499999999999	-0.02710817	-0.0043674299999999985	-0.02548722	-2.09e-06	5-Aminolevulinate	bc1003
bc1003##AMP##Microbe	0.9866410000000001	0.36097909	0.12965198	0.020888409999999996	0.12189934000000001	1e-05	bc1003	AMP
AMP##bc1003##Metabolite	-0.9866410000000001	-0.36097909	-0.12965198	-0.020888409999999996	-0.12189934000000001	-1e-05	AMP	bc1003
bc1003##Acetate##Microbe	-53.440380250000004	-19.55205608	-7.022463730000001	-1.1313991899999998	-6.60255071	-0.00054147	bc1003	Acetate
bc1003##Ala-Ala##Microbe	0.22982749	0.08408623000000001	0.030201049999999993	0.004865730000000002	0.02839515	2.33e-06	bc1003	Ala-Ala
Ala-Ala##bc1003##Metabolite	-0.22982749	-0.08408623000000001	-0.030201049999999993	-0.004865730000000002	-0.02839515	-2.33e-06	Ala-Ala	bc1003
