	Source	Target
Acutalibacter_muris_KB1##L-Valine-e0##Microbe	Acutalibacter_muris_KB1	L-Valine-e0
Acutalibacter_muris_KB1##5'-Deoxyadenosine-e0##Microbe	Acutalibacter_muris_KB1	5'-Deoxyadenosine-e0
Acutalibacter_muris_KB1##Thiamine##Microbe	Acutalibacter_muris_KB1	Thiamine
Acutalibacter_muris_KB1##Mg-e0##Microbe	Acutalibacter_muris_KB1	Mg-e0
Acutalibacter_muris_KB1##L-Asparagine-e0##Microbe	Acutalibacter_muris_KB1	L-Asparagine-e0
Acutalibacter_muris_KB1##L-Lactate-e0##Microbe	Acutalibacter_muris_KB1	L-Lactate-e0
Acutalibacter_muris_KB1##Glycine-e0##Microbe	Acutalibacter_muris_KB1	Glycine-e0
Acutalibacter_muris_KB1##L-Tyrosine-e0##Microbe	Acutalibacter_muris_KB1	L-Tyrosine-e0
Acutalibacter_muris_KB1##Ca2+-e0##Microbe	Acutalibacter_muris_KB1	Ca2+-e0
Acutalibacter_muris_KB1##H2-e0##Microbe	Acutalibacter_muris_KB1	H2-e0
Acutalibacter_muris_KB1##H2O-e0##Microbe	Acutalibacter_muris_KB1	H2O-e0
Acutalibacter_muris_KB1##fe3-e0##Microbe	Acutalibacter_muris_KB1	fe3-e0
Pyridoxal##Acutalibacter_muris_KB1##Metabolite	Pyridoxal	Acutalibacter_muris_KB1
Acutalibacter_muris_KB1##Mn2+-e0##Microbe	Acutalibacter_muris_KB1	Mn2+-e0
Acutalibacter_muris_KB1##L-Methionine-e0##Microbe	Acutalibacter_muris_KB1	L-Methionine-e0
Acutalibacter_muris_KB1##K+-e0##Microbe	Acutalibacter_muris_KB1	K+-e0
Acutalibacter_muris_KB1##PAN##Microbe	Acutalibacter_muris_KB1	PAN
Acutalibacter_muris_KB1##CO2-e0##Microbe	Acutalibacter_muris_KB1	CO2-e0
Acutalibacter_muris_KB1##Fe2+-e0##Microbe	Acutalibacter_muris_KB1	Fe2+-e0
Acutalibacter_muris_KB1##L-Serine-e0##Microbe	Acutalibacter_muris_KB1	L-Serine-e0
Acutalibacter_muris_KB1##L-Glutamine-e0##Microbe	Acutalibacter_muris_KB1	L-Glutamine-e0
Acutalibacter_muris_KB1##L-Lysine-e0##Microbe	Acutalibacter_muris_KB1	L-Lysine-e0
Acutalibacter_muris_KB1##Niacin##Microbe	Acutalibacter_muris_KB1	Niacin
Acutalibacter_muris_KB1##Co2+-e0##Microbe	Acutalibacter_muris_KB1	Co2+-e0
Acutalibacter_muris_KB1##Uracil-e0##Microbe	Acutalibacter_muris_KB1	Uracil-e0
Acutalibacter_muris_KB1##L-Alanine-e0##Microbe	Acutalibacter_muris_KB1	L-Alanine-e0
Acutalibacter_muris_KB1##Acetate-e0##Microbe	Acutalibacter_muris_KB1	Acetate-e0
Acutalibacter_muris_KB1##L-Threonine-e0##Microbe	Acutalibacter_muris_KB1	L-Threonine-e0
Acutalibacter_muris_KB1##Zn2+-e0##Microbe	Acutalibacter_muris_KB1	Zn2+-e0
Acutalibacter_muris_KB1##Cl--e0##Microbe	Acutalibacter_muris_KB1	Cl--e0
Acutalibacter_muris_KB1##H2S-e0##Microbe	Acutalibacter_muris_KB1	H2S-e0
Acutalibacter_muris_KB1##Sulfate-e0##Microbe	Acutalibacter_muris_KB1	Sulfate-e0
Acutalibacter_muris_KB1##Cu2+-e0##Microbe	Acutalibacter_muris_KB1	Cu2+-e0
Acutalibacter_muris_KB1##Puryvate##Microbe	Acutalibacter_muris_KB1	Puryvate
Acutalibacter_muris_KB1##Riboflavin##Microbe	Acutalibacter_muris_KB1	Riboflavin
Acutalibacter_muris_KB1##L-Arginine-e0##Microbe	Acutalibacter_muris_KB1	L-Arginine-e0
Acutalibacter_muris_KB1##L-Tryptophan##Microbe	Acutalibacter_muris_KB1	L-Tryptophan
Acutalibacter_muris_KB1##Inosine-e0##Microbe	Acutalibacter_muris_KB1	Inosine-e0
Acutalibacter_muris_KB1##Phosphate-e0##Microbe	Acutalibacter_muris_KB1	Phosphate-e0
Acutalibacter_muris_KB1##L-Histidine-e0##Microbe	Acutalibacter_muris_KB1	L-Histidine-e0
Acutalibacter_muris_KB1##L-Cysteine-e0##Microbe	Acutalibacter_muris_KB1	L-Cysteine-e0
Acutalibacter_muris_KB1##Pyridoxal##Microbe	Acutalibacter_muris_KB1	Pyridoxal
Acutalibacter_muris_KB1##XAN-e0-e0##Microbe	Acutalibacter_muris_KB1	XAN-e0-e0
Acutalibacter_muris_KB1##Spermidine-e0##Microbe	Acutalibacter_muris_KB1	Spermidine-e0
Acutalibacter_muris_KB1##D-Glucose-e0##Microbe	Acutalibacter_muris_KB1	D-Glucose-e0
Acutalibacter_muris_KB1##H+-e0##Microbe	Acutalibacter_muris_KB1	H+-e0
Acutalibacter_muris_KB1##L-Proline-e0##Microbe	Acutalibacter_muris_KB1	L-Proline-e0
Acutalibacter_muris_KB1##Heme-e0##Microbe	Acutalibacter_muris_KB1	Heme-e0
Acutalibacter_muris_KB1##L-Phenylalanine##Microbe	Acutalibacter_muris_KB1	L-Phenylalanine
