	bc1002	bc1008	bc1010	bc1001	In	InAmount	Out	OutAmount	All	AllAmount
1,2-Diacyl-sn-glycerol dioctadecanoyl	0.0	0.0	0.0	0.0	bc1001.bc1002.bc1008.bc1010	4		0	bc1001.bc1002.bc1008.bc1010	4
2-Oxoglutarate	0.0	0.0	0.0	0.0	bc1008.bc1010	2		0	bc1008.bc1010	2
4-Hydroxybenzoate	0.0	0.0	0.0	0.0	bc1001.bc1002.bc1008.bc1010	4		0	bc1001.bc1002.bc1008.bc1010	4
5-Aminolevulinate	0.0	0.0	0.0	0.0	bc1001.bc1002.bc1008.bc1010	4		0	bc1001.bc1002.bc1008.bc1010	4
AMP	0.0	0.0	0.0	0.0	bc1001.bc1002.bc1008.bc1010	4		0	bc1001.bc1002.bc1008.bc1010	4
ARSENOBETAINE	0.0	0.0	0.0	0.0		0		0		0
Acetate	0.0	0.0	0.0	0.0	bc1001.bc1002.bc1008.bc1010	4		0	bc1001.bc1002.bc1008.bc1010	4
Adenine	0.0	0.0	0.0	0.0		0		0		0
Adenosine	0.0	0.0	0.0	0.0	bc1001.bc1010	2		0	bc1001.bc1010	2
Ala-Ala	0.0	0.0	0.0	0.0	bc1001.bc1002.bc1010	3		0	bc1001.bc1002.bc1010	3
Arsenate	0.0	0.0	0.0	0.0		0		0		0
Arsenite	0.0	0.0	0.0	0.0		0		0		0
BET	0.0	0.0	0.0	0.0	bc1001.bc1002.bc1008.bc1010	4		0	bc1001.bc1002.bc1008.bc1010	4
BIOT	0.0	0.0	0.0	0.0	bc1001.bc1002.bc1008.bc1010	4		0	bc1001.bc1002.bc1008.bc1010	4
CMP	0.0	0.0	0.0	0.0	bc1001.bc1002.bc1008.bc1010	4		0	bc1001.bc1002.bc1008.bc1010	4
CO2	0.0	0.0	0.0	0.0	bc1001.bc1002.bc1008.bc1010	4		0	bc1001.bc1002.bc1008.bc1010	4
Ca2+	0.0	0.0	0.0	0.0	bc1001.bc1002.bc1008.bc1010	4		0	bc1001.bc1002.bc1008.bc1010	4
Carnitine	0.0	0.0	0.0	0.0		0		0		0
Cbl	0.0	0.0	0.0	0.0		0		0		0
Chitobiose	0.0	0.0	0.0	0.0	bc1008	1		0	bc1008	1
Chorismate	0.0	0.0	0.0	0.0	bc1001.bc1002.bc1008.bc1010	4		0	bc1001.bc1002.bc1008.bc1010	4
Citrate	0.0	0.0	0.0	0.0	bc1008	1		0	bc1008	1
Cl-	0.0	0.0	0.0	0.0	bc1001.bc1002.bc1008.bc1010	4		0	bc1001.bc1002.bc1008.bc1010	4
Co2+	0.0	0.0	0.0	0.0	bc1001.bc1002.bc1008.bc1010	4		0	bc1001.bc1002.bc1008.bc1010	4
CoA	0.0	0.0	0.0	0.0	bc1001.bc1002.bc1008.bc1010	4		0	bc1001.bc1002.bc1008.bc1010	4
Cu2+	0.0	0.0	0.0	0.0	bc1001.bc1002.bc1008.bc1010	4		0	bc1001.bc1002.bc1008.bc1010	4
Cytidine	0.0	0.0	0.0	0.0	bc1008	1		0	bc1008	1
D-Alanine	0.0	0.0	0.0	0.0	bc1008	1		0	bc1008	1
D-Arabinose	0.0	0.0	0.0	0.0	bc1001.bc1002.bc1008.bc1010	4		0	bc1001.bc1002.bc1008.bc1010	4
D-Galacturonate	0.0	0.0	0.0	0.0		0		0		0
D-Glucose	0.0	0.057453288118452996	0.0	0.0	bc1001.bc1002.bc1008.bc1010	4	bc1008	1	bc1008bc1001.bc1002.bc1008.bc1010	5
D-Serine	0.0	0.0	0.0	0.0		0		0		0
Deoxyadenosine	0.0	0.0	0.0	0.0		0		0		0
Deoxycytidine	0.0	0.0	0.0	0.0	bc1001.bc1002.bc1008.bc1010	4		0	bc1001.bc1002.bc1008.bc1010	4
Deoxyguanosine	0.0	0.0	0.0	0.0	bc1001.bc1002.bc1010	3		0	bc1001.bc1002.bc1010	3
Deoxyinosine	0.0	0.0	0.0	0.0		0		0		0
Deoxyuridine	0.0	0.0	0.0	0.0		0		0		0
Enterobactin	0.0	0.0	0.0	0.0		0		0		0
Fe-enterochlin	0.0	0.0	0.0	0.0		0		0		0
Folate	0.0	0.0	0.0	0.0	bc1001.bc1002.bc1008.bc1010	4		0	bc1001.bc1002.bc1008.bc1010	4
Formate	0.0	0.0	0.0	0.0	bc1001.bc1008	2		0	bc1001.bc1008	2
Fumarate	0.0	0.0	0.0	0.0	bc1010	1		0	bc1010	1
GTP	0.0	0.0	0.0	0.0	bc1001.bc1002.bc1008.bc1010	4		0	bc1001.bc1002.bc1008.bc1010	4
Galactose	0.0	0.0	0.0	0.0		0		0		0
Glucose-1-phosphate	0.0	0.0	0.0	0.0	bc1008	1		0	bc1008	1
Glucuronate	0.0	0.0	0.0	0.0		0		0		0
Glycerol	0.0	0.0	0.0	0.0	bc1001.bc1002.bc1008.bc1010	4		0	bc1001.bc1002.bc1008.bc1010	4
Glycine	0.0	0.0	0.0	0.0	bc1001.bc1002.bc1008.bc1010	4		0	bc1001.bc1002.bc1008.bc1010	4
H+	0.0	0.0	0.0	0.0	bc1001.bc1002.bc1008.bc1010	4		0	bc1001.bc1002.bc1008.bc1010	4
H2O	0.0	0.0	0.0	0.0	bc1001.bc1002.bc1008.bc1010	4		0	bc1001.bc1002.bc1008.bc1010	4
HYXN	0.0	0.0	0.0	0.0		0		0		0
Heme	0.0	0.0	0.0	0.0	bc1001.bc1002.bc1008.bc1010	4		0	bc1001.bc1002.bc1008.bc1010	4
Inosine	0.0	0.0	0.0	0.0		0		0		0
K+	0.0	0.0	0.0	0.0	bc1001.bc1002.bc1008.bc1010	4		0	bc1001.bc1002.bc1008.bc1010	4
L-Alanine	0.0	0.0	0.0	0.0	bc1001.bc1002.bc1008.bc1010	4		0	bc1001.bc1002.bc1008.bc1010	4
L-Arabinose	0.0	0.0	0.0	0.0		0		0		0
L-Arginine	0.0	0.0	0.0	0.0	bc1001.bc1002.bc1008.bc1010	4		0	bc1001.bc1002.bc1008.bc1010	4
L-Ascorbate	0.0	0.0	0.0	0.0		0		0		0
L-Asparagine	0.0	0.0	0.0	0.0	bc1001.bc1002.bc1008.bc1010	4		0	bc1001.bc1002.bc1008.bc1010	4
L-Aspartate	0.0	0.0	0.0	0.0	bc1001.bc1002.bc1008.bc1010	4		0	bc1001.bc1002.bc1008.bc1010	4
L-Cysteine	0.0	0.0	0.0	0.0	bc1001.bc1002.bc1008.bc1010	4		0	bc1001.bc1002.bc1008.bc1010	4
L-Glutamate	0.0	0.0	0.0	0.0	bc1001.bc1002.bc1008.bc1010	4		0	bc1001.bc1002.bc1008.bc1010	4
L-Glutamine	0.0	0.0	0.0	0.0	bc1001.bc1002.bc1008.bc1010	4		0	bc1001.bc1002.bc1008.bc1010	4
L-Histidine	0.0	0.0	0.0	0.0	bc1001.bc1002.bc1008.bc1010	4		0	bc1001.bc1002.bc1008.bc1010	4
L-Inositol	0.0	0.0	0.0	0.0		0		0		0
L-Isoleucine	0.0	0.0	0.0	0.0	bc1001.bc1002.bc1008.bc1010	4		0	bc1001.bc1002.bc1008.bc1010	4
L-Lactate	0.0	0.0	0.0	0.0	bc1008	1		0	bc1008	1
L-Leucine	0.0	0.0	0.0	0.0	bc1001.bc1002.bc1008.bc1010	4		0	bc1001.bc1002.bc1008.bc1010	4
L-Lysine	0.0	0.0	0.0	0.0	bc1001.bc1002.bc1008.bc1010	4		0	bc1001.bc1002.bc1008.bc1010	4
L-Malate	0.0	0.0	0.0	0.0		0		0		0
L-Methionine	0.0	0.0	0.0	0.0	bc1001.bc1002.bc1008.bc1010	4		0	bc1001.bc1002.bc1008.bc1010	4
L-Phenylalanine	0.0	0.0	0.0	0.0	bc1001.bc1002.bc1008.bc1010	4		0	bc1001.bc1002.bc1008.bc1010	4
L-Proline	0.0	0.0	0.0	0.0	bc1001.bc1002.bc1008.bc1010	4		0	bc1001.bc1002.bc1008.bc1010	4
L-Serine	0.0	0.0	0.0	0.0	bc1001.bc1002.bc1008.bc1010	4		0	bc1001.bc1002.bc1008.bc1010	4
L-Threonine	0.0	0.0	0.0	0.0	bc1001.bc1002.bc1008.bc1010	4		0	bc1001.bc1002.bc1008.bc1010	4
L-Tryptophan	0.0	0.0	0.0	0.0	bc1001.bc1002.bc1008.bc1010	4		0	bc1001.bc1002.bc1008.bc1010	4
L-Tyrosine	0.0	0.0	0.0	0.0	bc1001.bc1002.bc1008.bc1010	4		0	bc1001.bc1002.bc1008.bc1010	4
L-Valine	0.0	0.0	0.0	0.0	bc1001.bc1002.bc1008.bc1010	4		0	bc1001.bc1002.bc1008.bc1010	4
Methanol	0.0	0.0	0.0	0.0		0		0		0
Mg	0.0	0.0	0.0	0.0	bc1001.bc1002.bc1008.bc1010	4		0	bc1001.bc1002.bc1008.bc1010	4
Mn2+	0.0	0.0	0.0	0.0	bc1001.bc1002.bc1008.bc1010	4		0	bc1001.bc1002.bc1008.bc1010	4
Myristic acid	0.0	0.0	0.0	0.0	bc1001.bc1002.bc1008.bc1010	4		0	bc1001.bc1002.bc1008.bc1010	4
N-Acetyl-D-glucosamine	0.0	0.0	0.0	0.0	bc1001	1		0	bc1001	1
NADP	0.0	0.0	0.0	0.0	bc1001.bc1002.bc1008.bc1010	4		0	bc1001.bc1002.bc1008.bc1010	4
NH3	0.0	0.0	0.0	0.0	bc1008.bc1010	2		0	bc1008.bc1010	2
Na+	0.0	0.0	0.0	0.0		0		0		0
Niacin	0.0	0.0	0.0	0.0	bc1001.bc1002.bc1008.bc1010	4		0	bc1001.bc1002.bc1008.bc1010	4
Nicotinamide ribonucleotide	0.0	0.0	0.0	0.0	bc1001.bc1002.bc1010	3		0	bc1001.bc1002.bc1010	3
Nitrate	0.0	0.0	0.0	0.0		0		0		0
Nitrite	0.0	0.0	0.0	0.0	bc1001.bc1002.bc1010	3		0	bc1001.bc1002.bc1010	3
O2	0.15290050085943943	0.0	0.1525294697219451	0.1523613679485789	bc1001.bc1002.bc1008.bc1010	4	bc1001.bc1002.bc1010	3	bc1001.bc1002.bc1010bc1001.bc1002.bc1008.bc1010	7
Oxidized glutathione	0.0	0.0	0.0	0.0	bc1001.bc1002.bc1008.bc1010	4		0	bc1001.bc1002.bc1008.bc1010	4
PAN	0.0	0.0	0.0	0.0		0		0		0
PPi	0.0	0.0	0.0	0.0	bc1002	1		0	bc1002	1
Pimelate	0.0	0.0	0.0	0.0	bc1008	1		0	bc1008	1
Putrescine	0.0	0.0	0.0	0.0	bc1001.bc1002.bc1008.bc1010	4		0	bc1001.bc1002.bc1008.bc1010	4
Pyridoxal	0.0	0.0	0.0	0.0	bc1001.bc1002.bc1008.bc1010	4		0	bc1001.bc1002.bc1008.bc1010	4
Riboflavin	0.0	0.0	0.0	0.0	bc1001.bc1002.bc1008.bc1010	4		0	bc1001.bc1002.bc1008.bc1010	4
S-Adenosyl-L-methionine	0.0	0.0	0.0	0.0	bc1001.bc1002.bc1008.bc1010	4		0	bc1001.bc1002.bc1008.bc1010	4
Spermidine	0.0	0.0	0.0	0.0	bc1001.bc1002.bc1008.bc1010	4		0	bc1001.bc1002.bc1008.bc1010	4
Succinate	0.0	0.0	0.0	0.0	bc1010	1		0	bc1010	1
Sulfate	0.0	0.0	0.0	0.0	bc1001.bc1002.bc1008.bc1010	4		0	bc1001.bc1002.bc1008.bc1010	4
TRHL	0.0	0.0	0.0	0.0	bc1001.bc1002.bc1008.bc1010	4		0	bc1001.bc1002.bc1008.bc1010	4
TTP	0.0	0.0	0.0	0.0	bc1001.bc1002.bc1008.bc1010	4		0	bc1001.bc1002.bc1008.bc1010	4
Thiamin	0.0	0.0	0.0	0.0	bc1001.bc1002.bc1008.bc1010	4		0	bc1001.bc1002.bc1008.bc1010	4
Thymidine	0.0	0.0	0.0	0.0		0		0		0
UMP	0.0	0.0	0.0	0.0	bc1001.bc1002.bc1010	3		0	bc1001.bc1002.bc1010	3
Uracil	0.0	0.0	0.0	0.0		0		0		0
Uridine	0.0	0.0	0.0	0.0	bc1008	1		0	bc1008	1
Xylose	0.0	0.0	0.0	0.0		0		0		0
Zn2+	0.0	0.0	0.0	0.0	bc1001.bc1002.bc1008.bc1010	4		0	bc1001.bc1002.bc1008.bc1010	4
chromate	0.0	0.0	0.0	0.0		0		0		0
dATP	0.0	0.0	0.0	0.0	bc1001.bc1002.bc1008.bc1010	4		0	bc1001.bc1002.bc1008.bc1010	4
dGTP	0.0	0.0	0.0	0.0	bc1001.bc1002.bc1008.bc1010	4		0	bc1001.bc1002.bc1008.bc1010	4
ddca	0.0	0.0	0.0	0.0	bc1001.bc1002.bc1008.bc1010	4		0	bc1001.bc1002.bc1008.bc1010	4
fe3	0.0	0.0	0.0	0.0	bc1001.bc1002.bc1008.bc1010	4		0	bc1001.bc1002.bc1008.bc1010	4
gamma-butyrobetaine	0.0	0.0	0.0	0.0		0		0		0
