	Source	Target	Weight	Metabolites	ABSWeight	SignWeight	ABSRootWeight	SignedRootWeight
bc1002->bc1001	bc1002	bc1001	-0.15236136794857927	O2	0.15236136794857927	-1.0	0.3903349432840714	-0.3903349432840714
bc1003->bc1001	bc1003	bc1001	-0.15236136794857968	O2	0.15236136794857968	-1.0	0.390334943284072	-0.390334943284072
bc1011->bc1001	bc1011	bc1001	-0.2694062244660836	O2	0.2694062244660836	-1.0	0.5190435670211929	-0.5190435670211929
bc1001->bc1002	bc1001	bc1002	-0.15290050085943938	O2	0.15290050085943938	-1.0	0.3910249363652392	-0.3910249363652392
bc1003->bc1002	bc1003	bc1002	-0.1529005008594402	O2	0.1529005008594402	-1.0	0.39102493636524027	-0.39102493636524027
bc1011->bc1002	bc1011	bc1002	-0.27035952229975335	O2	0.27035952229975335	-1.0	0.5199610776776983	-0.5199610776776983
bc1001->bc1003	bc1001	bc1003	-0.15297633046741727	O2	0.15297633046741727	-1.0	0.3911218869705674	-0.3911218869705674
bc1002->bc1003	bc1002	bc1003	-0.15297633046741768	O2	0.15297633046741768	-1.0	0.3911218869705679	-0.3911218869705679
bc1011->bc1003	bc1011	bc1003	-0.2704936046374425	O2	0.2704936046374425	-1.0	0.5200899966711939	-0.5200899966711939
bc1001->bc1011	bc1001	bc1011	-0.1482312194865131	D-Glucose	0.1482312194865131	-1.0	0.3850080771704837	-0.3850080771704837
bc1002->bc1011	bc1002	bc1011	-0.1524971520310249	D-Glucose	0.1524971520310249	-1.0	0.3905088373276908	-0.3905088373276908
bc1003->bc1011	bc1003	bc1011	-0.14834252086459365	D-Glucose	0.14834252086459365	-1.0	0.38515259425920223	-0.38515259425920223
