	0.0000-0.2604	0.2604-0.2690	0.2690-0.2724	0.2724-0.3688	0.3688-0.3758	0.3758-1.2030	1.2030-2.0000	Source	Target
D-Glucose##bc1008##Metabolite##None	0.057453288118452996	0.057453288118452996	0.057453288118452996	0.057453288118452996	0.057453288118452996	0.057453288118452996	0.057453288118452996	D-Glucose	bc1008
bc1008##Cl-##Microbe##D-Glucose_e0	-0.00016122307070235342	-0.00016122307070235342	-0.00016122307070235342	-0.00016122307070235342	-0.00016122307070235342	-0.00016122307070235342	-0.00016122307070235342	bc1008	Cl-
bc1008##dGTP##Microbe##D-Glucose_e0	-0.0006940265934823077	-0.0006940265934823077	-0.0006940265934823077	-0.0006940265934823077	-0.0006940265934823077	-0.0006940265934823077	-0.0006940265934823077	bc1008	dGTP
bc1008##Citrate##Microbe##D-Glucose_e0	-0.007184705381496605	-0.007184705381496605	-0.007184705381496605	-0.007184705381496605	-0.007184705381496605	-0.007184705381496605	-0.007184705381496605	bc1008	Citrate
bc1008##Acetate##Microbe##D-Glucose_e0	1.4964829358244556	1.4964829358244556	1.4964829358244556	1.4964829358244556	1.4964829358244556	1.4964829358244556	1.4964829358244556	bc1008	Acetate
bc1008##L-Tryptophan##Microbe##D-Glucose_e0	-0.0027119054603828804	-0.0027119054603828804	-0.0027119054603828804	-0.0027119054603828804	-0.0027119054603828804	-0.0027119054603828804	-0.0027119054603828804	bc1008	L-Tryptophan
bc1008##Heme##Microbe##D-Glucose_e0	-0.00016122307070090834	-0.00016122307070090834	-0.00016122307070090834	-0.00016122307070090834	-0.00016122307070090834	-0.00016122307070090834	-0.00016122307070090834	bc1008	Heme
bc1008##L-Valine##Microbe##D-Glucose_e0	-0.020236954897763178	-0.020236954897763178	-0.020236954897763178	-0.020236954897763178	-0.020236954897763178	-0.020236954897763178	-0.020236954897763178	bc1008	L-Valine
bc1008##Chitobiose##Microbe##D-Glucose_e0	-0.0029544936879514357	-0.0029544936879514357	-0.0029544936879514357	-0.0029544936879514357	-0.0029544936879514357	-0.0029544936879514357	-0.0029544936879514357	bc1008	Chitobiose
bc1008##Folate##Microbe##D-Glucose_e0	-0.00048366921210616135	-0.00048366921210616135	-0.00048366921210616135	-0.00048366921210616135	-0.00048366921210616135	-0.00048366921210616135	-0.00048366921210616135	bc1008	Folate
bc1008##Putrescine##Microbe##D-Glucose_e0	-0.0001612230707022859	-0.0001612230707022859	-0.0001612230707022859	-0.0001612230707022859	-0.0001612230707022859	-0.0001612230707022859	-0.0001612230707022859	bc1008	Putrescine
bc1008##Cu2+##Microbe##D-Glucose_e0	-0.00016122307070339832	-0.00016122307070339832	-0.00016122307070339832	-0.00016122307070339832	-0.00016122307070339832	-0.00016122307070339832	-0.00016122307070339832	bc1008	Cu2+
bc1008##L-Glutamate##Microbe##D-Glucose_e0	-0.014024275854681256	-0.014024275854681256	-0.014024275854681256	-0.014024275854681256	-0.014024275854681256	-0.014024275854681256	-0.014024275854681256	bc1008	L-Glutamate
bc1008##D-Alanine##Microbe##D-Glucose_e0	-0.002873882152597456	-0.002873882152597456	-0.002873882152597456	-0.002873882152597456	-0.002873882152597456	-0.002873882152597456	-0.002873882152597456	bc1008	D-Alanine
bc1008##TRHL##Microbe##D-Glucose_e0	-0.0034030548548351146	-0.0034030548548351146	-0.0034030548548351146	-0.0034030548548351146	-0.0034030548548351146	-0.0034030548548351146	-0.0034030548548351146	bc1008	TRHL
bc1008##K+##Microbe##D-Glucose_e0	-0.00016122307070266613	-0.00016122307070266613	-0.00016122307070266613	-0.00016122307070266613	-0.00016122307070266613	-0.00016122307070266613	-0.00016122307070266613	bc1008	K+
