	Avg_bc1002	Var_bc1002	Avg_bc1001	Var_bc1001	Avg_InAmount	Var_InAmount	Avg_OutAmount	Var_OutAmount	Avg_AllAmount	Var_AllAmount	In	InAmount	Out	OutAmount	All	AllAmount
1,2-Diacyl-sn-glycerol dioctadecanoyl	0.0	0.0	0.0	0.0	1.998736515938639	1.5953834654063264e-06	0.0	0.0	1.998736515938639	1.5953834654063264e-06	bc1001.bc1002	1		1	bc1001.bc1002	1
4-Hydroxybenzoate	0.0	0.0	0.0	0.0	1.998736515938639	1.5953834654063264e-06	0.0	0.0	1.998736515938639	1.5953834654063264e-06	bc1001.bc1002	1		1	bc1001.bc1002	1
5-Aminolevulinate	0.0	0.0	0.0	0.0	1.998736515938639	1.5953834654063264e-06	0.0	0.0	1.998736515938639	1.5953834654063264e-06	bc1001.bc1002	1		1	bc1001.bc1002	1
AMP	0.0	0.0	0.0	0.0	1.998736515938639	1.5953834654063264e-06	0.0	0.0	1.998736515938639	1.5953834654063264e-06	bc1001.bc1002	1		1	bc1001.bc1002	1
ARSENOBETAINE	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Acetate	0.0	0.0	0.0	0.0	1.998736515938639	1.5953834654063264e-06	0.0	0.0	1.998736515938639	1.5953834654063264e-06	bc1001.bc1002	1		1	bc1001.bc1002	1
Adenine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Adenosine	0.0	0.0	0.0	0.0	0.9993682579693195	3.988458663515816e-07	0.0	0.0	0.9993682579693195	3.988458663515816e-07	bc1001	1		1	bc1001	1
Ala-Ala	0.0	0.0	0.0	0.0	1.998736515938639	1.5953834654063264e-06	0.0	0.0	1.998736515938639	1.5953834654063264e-06	bc1001.bc1002	1		1	bc1001.bc1002	1
BET	0.0	0.0	0.0	0.0	1.998736515938639	1.5953834654063264e-06	0.0	0.0	1.998736515938639	1.5953834654063264e-06	bc1001.bc1002	1		1	bc1001.bc1002	1
BIOT	0.0	0.0	0.0	0.0	1.998736515938639	1.5953834654063264e-06	0.0	0.0	1.998736515938639	1.5953834654063264e-06	bc1001.bc1002	1		1	bc1001.bc1002	1
CMP	0.0	0.0	0.0	0.0	1.998736515938639	1.5953834654063264e-06	0.0	0.0	1.998736515938639	1.5953834654063264e-06	bc1001.bc1002	1		1	bc1001.bc1002	1
CO2	0.0	0.0	0.0	0.0	1.998736515938639	1.5953834654063264e-06	0.0	0.0	1.998736515938639	1.5953834654063264e-06	bc1001.bc1002	1		1	bc1001.bc1002	1
Ca2+	0.0	0.0	0.0	0.0	1.998736515938639	1.5953834654063264e-06	0.0	0.0	1.998736515938639	1.5953834654063264e-06	bc1001.bc1002	1		1	bc1001.bc1002	1
Cbl	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Chorismate	0.0	0.0	0.0	0.0	1.998736515938639	1.5953834654063264e-06	0.0	0.0	1.998736515938639	1.5953834654063264e-06	bc1001.bc1002	1		1	bc1001.bc1002	1
Cl-	0.0	0.0	0.0	0.0	1.998736515938639	1.5953834654063264e-06	0.0	0.0	1.998736515938639	1.5953834654063264e-06	bc1001.bc1002	1		1	bc1001.bc1002	1
Co2+	0.0	0.0	0.0	0.0	1.998736515938639	1.5953834654063264e-06	0.0	0.0	1.998736515938639	1.5953834654063264e-06	bc1001.bc1002	1		1	bc1001.bc1002	1
CoA	0.0	0.0	0.0	0.0	1.998736515938639	1.5953834654063264e-06	0.0	0.0	1.998736515938639	1.5953834654063264e-06	bc1001.bc1002	1		1	bc1001.bc1002	1
Cu2+	0.0	0.0	0.0	0.0	1.998736515938639	1.5953834654063264e-06	0.0	0.0	1.998736515938639	1.5953834654063264e-06	bc1001.bc1002	1		1	bc1001.bc1002	1
D-Arabinose	0.0	0.0	0.0	0.0	1.998736515938639	1.5953834654063264e-06	0.0	0.0	1.998736515938639	1.5953834654063264e-06	bc1001.bc1002	1		1	bc1001.bc1002	1
D-Glucose	0.14382569184369098	0.018259292485001282	0.14744310853738682	0.0191893365108056	1.998736515938639	1.5953834654063264e-06	1.0619502350394612	0.9954497286937631	3.0606867509781	0.9954530193660599	bc1001.bc1002	1	.bc1001.bc1002	2	bc1001.bc1002.bc1001.bc1002bc1001.bc1002	2
Deoxycytidine	0.0	0.0	0.0	0.0	1.998736515938639	1.5953834654063264e-06	0.0	0.0	1.998736515938639	1.5953834654063264e-06	bc1001.bc1002	1		1	bc1001.bc1002	1
Deoxyguanosine	0.0	0.0	0.0	0.0	1.998736515938639	1.5953834654063264e-06	0.0	0.0	1.998736515938639	1.5953834654063264e-06	bc1001.bc1002	1		1	bc1001.bc1002	1
Enterobactin	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Fe-enterochlin	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Folate	0.0	0.0	0.0	0.0	1.998736515938639	1.5953834654063264e-06	0.0	0.0	1.998736515938639	1.5953834654063264e-06	bc1001.bc1002	1		1	bc1001.bc1002	1
Formate	0.0	0.0	0.0	0.0	0.9993682579693195	3.988458663515816e-07	0.0	0.0	0.9993682579693195	3.988458663515816e-07	bc1001	1		1	bc1001	1
GTP	0.0	0.0	0.0	0.0	1.998736515938639	1.5953834654063264e-06	0.0	0.0	1.998736515938639	1.5953834654063264e-06	bc1001.bc1002	1		1	bc1001.bc1002	1
Glycerol	0.0	0.0	0.0	0.0	1.998736515938639	1.5953834654063264e-06	0.0	0.0	1.998736515938639	1.5953834654063264e-06	bc1001.bc1002	1		1	bc1001.bc1002	1
Glycine	0.0	0.0	0.0	0.0	1.998736515938639	1.5953834654063264e-06	0.0	0.0	1.998736515938639	1.5953834654063264e-06	bc1001.bc1002	1		1	bc1001.bc1002	1
