	0.0000-0.0012	0.0727-0.0821	0.0821-0.0985	0.0985-0.1232	0.1246-0.2301	0.2301-0.2302	0.2302-0.2302	0.2302-0.2376	0.2378-0.2431	0.2431-0.2431	0.2431-0.2432	0.2471-19.3033	19.3711-19.3729	19.3729-19.5635	19.5635-19.5759	19.5759-19.5763	19.5909-19.5944	19.6012-19.6200	19.6200-19.8922	19.8922-20.0000	Source	Target
PAN##Bacteroides_caecimuris_I48##Metabolite##None	126.68907411728696	126.68907411545551	126.68907411568419	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	PAN	Bacteroides_caecimuris_I48
Bacteroides_caecimuris_I48##Phosphate-e0##Microbe##PAN	-127.45775495897772	-127.45775495746389	-127.45775495760914	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Bacteroides_caecimuris_I48	Phosphate-e0
Bacteroides_caecimuris_I48##Mn2+-e0##Microbe##PAN	-0.924111260316806	-0.9241112603037185	-0.924111260305527	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Bacteroides_caecimuris_I48	Mn2+-e0
Bacteroides_caecimuris_I48##Zn2+-e0##Microbe##PAN	-0.9241112603159789	-0.9241112603023377	-0.9241112603044027	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Bacteroides_caecimuris_I48	Zn2+-e0
Bacteroides_caecimuris_I48##Sulfate-e0##Microbe##PAN	-0.9241112602936624	-0.9241112594592881	-0.9241112597375314	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Bacteroides_caecimuris_I48	Sulfate-e0
Bacteroides_caecimuris_I48##Co2+-e0##Microbe##PAN	-0.9241112603165755	-0.9241112603013591	-0.9241112603034242	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Bacteroides_caecimuris_I48	Co2+-e0
Bacteroides_caecimuris_I48##Spermidine-e0##Microbe##Spermidine-e0	-1.0000000000000022	-0.9999999999999986	-1.0000000000000002	-0.9999999999999998	-0.9999999999999999	-1.0	-1.0000000000000004	-0.9999999999999983	-1.0000000000000007	-1.0000000000000013	-0.9999999999999999	-0.9999999999999993	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Bacteroides_caecimuris_I48	Spermidine-e0
Bacteroides_caecimuris_I48##fe3-e0##Microbe##PAN	-0.9241112603160383	-0.9241112599933768	-0.9241112600962215	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Bacteroides_caecimuris_I48	fe3-e0
Bacteroides_caecimuris_I48##H+-e0##Microbe##Spermidine-e0	4.000000000007075	5.66666666666247	5.666666666661895	5.450487560066396	6.000000000006539	5.222222222223195	4.999999999998497	5.888888888907586	5.133333333337108	5.666666666678081	5.500000000008008	5.666666666678822	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Bacteroides_caecimuris_I48	H+-e0
Bacteroides_caecimuris_I48##H+-e0##Microbe##O2-e0	2.0000000000226863	0.0	0.0	0.6485373198092121	-0.9999999999921004	1.33333333333398	1.9999999999983018	-0.666666666654577	1.600000000004159	0.0	0.5000000000062035	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Bacteroides_caecimuris_I48	H+-e0
Bacteroides_caecimuris_I48##H+-e0##Microbe##Folate	-3.9999999999890843	-1.6666666666865015	-1.6666666666878176	-4.368905499193989	2.499999999990197	-7.2222222222131975	-9.999999999984908	1.111111111114372	-8.33333333332684	-1.6666666666484335	-3.749999999996681	-2.1666666666408423	-2.1666666666408423	-2.1666666666408423	-2.1666666666408423	-2.1666666666408423	-2.1666666666408423	-2.1666666666408423	-2.1666666666408423	-2.1666666666408423	Bacteroides_caecimuris_I48	H+-e0
Bacteroides_caecimuris_I48##H+-e0##Microbe##Riboflavin	-4.999999999997646	-0.6666666666836099	-0.6666666666848422	-2.720368179385357	-2181.342956186451	1043.0382971851075	1962.541909606138	-1692.1635500031673	1528.3105298259604	-706.4116451223931	-8.498465447229954	-363.6115801738027	-363.6115801738027	-363.6115801738027	-363.6115801738027	-363.6115801738027	-363.6115801738027	-363.6115801738027	-363.6115801738027	-363.6115801738027	Bacteroides_caecimuris_I48	H+-e0
Bacteroides_caecimuris_I48##H+-e0##Microbe##PAN	1241.434911098955	-859.1274462824151	-859.1274462816341	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Bacteroides_caecimuris_I48	H+-e0
Bacteroides_caecimuris_I48##H+-e0##Microbe##XAN-e0-e0	1.0000000000012013	-1.6666666666539567	-1.6666666666530099	-0.4776815803544958	-3.499999999993683	0.7777777777735051	1.99999999999216	-2.888888888887221	1.266666666662834	-1.6666666666731507	-0.7500000000005216	-1.6666666666797074	-1.6666666666797074	-1.6666666666797074	-1.6666666666797074	-1.6666666666797074	-1.6666666666797074	-1.6666666666797074	-1.6666666666797074	-1.6666666666797074	Bacteroides_caecimuris_I48	H+-e0
Bacteroides_caecimuris_I48##Uracil-e0##Microbe##PAN	-39.64223087747396	-39.64223087670555	-39.642230876845076	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Bacteroides_caecimuris_I48	Uracil-e0
Bacteroides_caecimuris_I48##L-Aspartate-e0##Microbe##Folate	1.9999999999901308	-0.3333333333082318	0.9999999999915871	0.05165471716732647	4.1666666666578385	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Bacteroides_caecimuris_I48	L-Aspartate-e0
