	Source	Target	Weight	Metabolites	ABSWeight	SignWeight	ABSRootWeight	SignedRootWeight
bc1001->bc1012	bc1001	bc1012	-0.17147181143935014	D-Glucose	0.17147181143935014	-1.0	0.41409154958698463	-0.41409154958698463
bc1008->bc1012	bc1008	bc1012	-0.17147181143934911	D-Glucose	0.17147181143934911	-1.0	0.41409154958698335	-0.41409154958698335
bc1009->bc1012	bc1009	bc1012	-0.17147181143935114	D-Glucose	0.17147181143935114	-1.0	0.41409154958698585	-0.41409154958698585
bc1008->bc1001	bc1008	bc1001	-0.13296422013011364	D-Glucose	0.13296422013011364	-1.0	0.36464259231487706	-0.36464259231487706
bc1009->bc1001	bc1009	bc1001	-0.1329642201301152	D-Glucose	0.1329642201301152	-1.0	0.36464259231487917	-0.36464259231487917
bc1012->bc1001	bc1012	bc1001	-0.13296422013011483	D-Glucose	0.13296422013011483	-1.0	0.36464259231487867	-0.36464259231487867
bc1001->bc1009	bc1001	bc1009	-0.27912176357073537	D-Glucose	0.27912176357073537	-1.0	0.5283197550449305	-0.5283197550449305
bc1008->bc1009	bc1008	bc1009	-0.2791217635707337	D-Glucose	0.2791217635707337	-1.0	0.5283197550449289	-0.5283197550449289
bc1012->bc1009	bc1012	bc1009	-0.2791217635707362	D-Glucose	0.2791217635707362	-1.0	0.5283197550449313	-0.5283197550449313
bc1001->bc1008	bc1001	bc1008	-0.05745328811845293	D-Glucose	0.05745328811845293	-1.0	0.23969415536982316	-0.23969415536982316
bc1009->bc1008	bc1009	bc1008	-0.057453288118453266	D-Glucose	0.057453288118453266	-1.0	0.23969415536982389	-0.23969415536982389
bc1012->bc1008	bc1012	bc1008	-0.0574532881184531	D-Glucose	0.0574532881184531	-1.0	0.23969415536982352	-0.23969415536982352
