	0.0000-0.8223	0.8223-0.8223	0.8226-1.5541	Source	Target
bc1001##N-Acetyl-D-glucosamine##Microbe	-0.01567014577001474	-0.01567014577001474	-0.028559360732135518	bc1001	N-Acetyl-D-glucosamine
bc1009##CO2##Microbe	1.1048301105780152	2.073074178748573	2.0116783396771645	bc1009	CO2
bc1001##L-Aspartate##Microbe	-0.030598856469821547	-0.030598856469821547	-0.05576743144181081	bc1001	L-Aspartate
bc1009##Deoxycytidine##Microbe	-0.002239683828977428	-0.02292611228007457	-0.003663933434060307	bc1009	Deoxycytidine
bc1001##CO2##Microbe	1.1044735886227475	1.1044735886227475	2.0129397709210712	bc1001	CO2
bc1009##Pyridoxal##Microbe	-0.00042988893127938647	-0.004400479111796403	-0.000703261955044241	bc1009	Pyridoxal
bc1009##UMP##Microbe	-0.014344862496895651	-0.14683855104464325	-0.02346698253984818	bc1009	UMP
bc1009##Riboflavin##Microbe	-0.0012896667941149226	-0.013201437337475011	-0.002109785865602018	bc1009	Riboflavin
bc1009##Heme##Microbe	-0.00042988893128129705	-0.004400479111778438	-0.0007032619550482149	bc1009	Heme
bc1001##Formate##Microbe	-0.00042755024823842896	-0.00042755024823842896	-0.0007792245171018526	bc1001	Formate
bc1001##D-Arabinose##Microbe	-0.011431946641344282	-0.011431946641344282	-0.020835102161297206	bc1001	D-Arabinose
bc1001##Pyridoxal##Microbe	-0.0004275502482370468	-0.0004275502482370468	-0.0007792245170993398	bc1001	Pyridoxal
bc1001##K+##Microbe	-0.00042755024823795467	-0.00042755024823795467	-0.0007792245171003466	bc1001	K+
bc1001##UMP##Microbe	-0.014266823533210427	-0.014266823533210427	-0.026001759381609944	bc1001	UMP
bc1009##L-Histidine##Microbe	-0.012142769667466288	-0.12429723212932312	-0.019864544803652906	bc1009	L-Histidine
bc1001##Heme##Microbe	-0.0004275502482361686	-0.0004275502482361686	-0.0007792245170977323	bc1001	Heme
bc1009##L-Proline##Microbe	-0.028242172147927704	-0.289095809558943	-0.0462018064534468	bc1009	L-Proline
bc1001##L-Histidine##Microbe	-0.012076710535761228	-0.012076710535761228	-0.02201020575752186	bc1001	L-Histidine
