	Avg_bc1001	Var_bc1001	Avg_bc1009	Var_bc1009	Avg_InAmount	Var_InAmount	Avg_OutAmount	Var_OutAmount	Avg_AllAmount	Var_AllAmount	In	InAmount	Out	OutAmount	All	AllAmount
1,2-Diacyl-sn-glycerol dioctadecanoyl	0.0	0.0	0.0	0.0	1.7995857257965298	0.036140973329811324	0.0	0.0	1.7995857257965298	0.036140973329811324	bc1001.bc1009	1		1	bc1001.bc1009	1
4-Hydroxybenzoate	0.0	0.0	0.0	0.0	1.7995857257965298	0.036140973329811324	0.0	0.0	1.7995857257965298	0.036140973329811324	bc1001.bc1009	1		1	bc1001.bc1009	1
5-Aminolevulinate	0.0	0.0	0.0	0.0	1.7995857257965298	0.036140973329811324	0.0	0.0	1.7995857257965298	0.036140973329811324	bc1001.bc1009	1		1	bc1001.bc1009	1
AMP	0.0	0.0	0.0	0.0	1.7995857257965298	0.036140973329811324	0.0	0.0	1.7995857257965298	0.036140973329811324	bc1001.bc1009	1		1	bc1001.bc1009	1
Acetate	0.0	0.0	0.0	0.0	1.7995857257965298	0.036140973329811324	0.0	0.0	1.7995857257965298	0.036140973329811324	bc1001.bc1009	1		1	bc1001.bc1009	1
Adenine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Adenosine	0.0	0.0	0.0	0.0	0.8997928628982649	0.009035243332452831	0.0	0.0	0.8997928628982649	0.009035243332452831	bc1001	1		1	bc1001	1
Ala-Ala	0.0	0.0	0.0	0.0	1.7995857257965298	0.036140973329811324	0.0	0.0	1.7995857257965298	0.036140973329811324	bc1001.bc1009	1		1	bc1001.bc1009	1
Arsenate	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Arsenite	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
BET	0.0	0.0	0.0	0.0	1.7995857257965298	0.036140973329811324	0.0	0.0	1.7995857257965298	0.036140973329811324	bc1001.bc1009	1		1	bc1001.bc1009	1
BIOT	0.0	0.0	0.0	0.0	1.7995857257965298	0.036140973329811324	0.0	0.0	1.7995857257965298	0.036140973329811324	bc1001.bc1009	1		1	bc1001.bc1009	1
CMP	0.0	0.0	0.0	0.0	1.7995857257965298	0.036140973329811324	0.0	0.0	1.7995857257965298	0.036140973329811324	bc1001.bc1009	1		1	bc1001.bc1009	1
CO2	0.0	0.0	0.0	0.0	1.7995857257965298	0.036140973329811324	0.0	0.0	1.7995857257965298	0.036140973329811324	bc1001.bc1009	1		1	bc1001.bc1009	1
Ca2+	0.0	0.0	0.0	0.0	1.7995857257965298	0.036140973329811324	0.0	0.0	1.7995857257965298	0.036140973329811324	bc1001.bc1009	1		1	bc1001.bc1009	1
Cbl	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Chorismate	0.0	0.0	0.0	0.0	1.7995857257965298	0.036140973329811324	0.0	0.0	1.7995857257965298	0.036140973329811324	bc1001.bc1009	1		1	bc1001.bc1009	1
Cl-	0.0	0.0	0.0	0.0	1.7995857257965298	0.036140973329811324	0.0	0.0	1.7995857257965298	0.036140973329811324	bc1001.bc1009	1		1	bc1001.bc1009	1
Co2+	0.0	0.0	0.0	0.0	1.7995857257965298	0.036140973329811324	0.0	0.0	1.7995857257965298	0.036140973329811324	bc1001.bc1009	1		1	bc1001.bc1009	1
CoA	0.0	0.0	0.0	0.0	1.7995857257965298	0.036140973329811324	0.0	0.0	1.7995857257965298	0.036140973329811324	bc1001.bc1009	1		1	bc1001.bc1009	1
Cu2+	0.0	0.0	0.0	0.0	1.7995857257965298	0.036140973329811324	0.0	0.0	1.7995857257965298	0.036140973329811324	bc1001.bc1009	1		1	bc1001.bc1009	1
Cytosine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
D-Arabinose	0.0	0.0	0.0	0.0	1.7995857257965298	0.036140973329811324	0.0	0.0	1.7995857257965298	0.036140973329811324	bc1001.bc1009	1		1	bc1001.bc1009	1
D-Glucose	0.11763071969187369	0.017440576571928657	0.10618306727103112	0.01426270455277189	1.7995857257965298	0.036140973329811324	0.8472345101831449	0.9047271535366244	2.646820235979675	0.9748980476395313	bc1001.bc1009	1	.bc1009.bc1001.bc1009	3	bc1001.bc1009.bc1009bc1001.bc1009.bc1001.bc1009bc1001.bc1009	3
