	bc1003	bc1009	bc1001	bc1012	In	InAmount	Out	OutAmount	All	AllAmount
D-Glucose	0.2785952523668638	3.1363004459461545	0.0	0.1303837282787707	bc1001.bc1003.bc1009.bc1012	4	bc1003.bc1009.bc1012	3	bc1003.bc1009.bc1012bc1001.bc1003.bc1009.bc1012	7
Deoxycytidine	0.0	0.0	0.0	0.0	bc1001.bc1003.bc1009.bc1012	4		0	bc1001.bc1003.bc1009.bc1012	4
Deoxyguanosine	0.0	0.0	0.0	0.0	bc1001.bc1003.bc1009.bc1012	4		0	bc1001.bc1003.bc1009.bc1012	4
Enterobactin	0.0	0.0	0.0	0.0		0		0		0
Fe-enterochlin	0.0	0.0	0.0	0.0		0		0		0
Folate	0.0	0.0	0.0	0.0	bc1001.bc1003.bc1009.bc1012	4		0	bc1001.bc1003.bc1009.bc1012	4
Formate	0.0	0.0	0.0	0.0	bc1001.bc1003.bc1009.bc1012	4		0	bc1001.bc1003.bc1009.bc1012	4
Fumarate	0.0	0.0	0.0	0.0	bc1012	1		0	bc1012	1
GTP	0.0	0.0	0.0	0.0	bc1001.bc1003.bc1009.bc1012	4		0	bc1001.bc1003.bc1009.bc1012	4
Glycerol	0.0	0.0	0.0	0.0	bc1001.bc1003.bc1009.bc1012	4		0	bc1001.bc1003.bc1009.bc1012	4
Glycine	0.0	0.0	0.0	0.0	bc1001.bc1003.bc1009.bc1012	4		0	bc1001.bc1003.bc1009.bc1012	4
H+	0.0	0.0	0.0	0.0	bc1001.bc1003.bc1009.bc1012	4		0	bc1001.bc1003.bc1009.bc1012	4
H2O	0.0	0.0	0.0	0.0	bc1001.bc1003.bc1009.bc1012	4		0	bc1001.bc1003.bc1009.bc1012	4
Heme	0.0	0.0	0.0	0.0	bc1001.bc1003.bc1009.bc1012	4		0	bc1001.bc1003.bc1009.bc1012	4
K+	0.0	0.0	0.0	0.0	bc1001.bc1003.bc1009.bc1012	4		0	bc1001.bc1003.bc1009.bc1012	4
L-Alanine	0.0	0.0	0.0	0.0	bc1001.bc1003.bc1009.bc1012	4		0	bc1001.bc1003.bc1009.bc1012	4
L-Arginine	0.0	0.0	0.0	0.0	bc1001.bc1003.bc1009.bc1012	4		0	bc1001.bc1003.bc1009.bc1012	4
L-Asparagine	0.0	0.0	0.0	0.0	bc1001.bc1003.bc1009.bc1012	4		0	bc1001.bc1003.bc1009.bc1012	4
L-Aspartate	0.0	0.0	0.0	0.0	bc1001.bc1003.bc1009.bc1012	4		0	bc1001.bc1003.bc1009.bc1012	4
L-Cysteine	0.0	0.0	0.0	0.0	bc1001.bc1003.bc1009.bc1012	4		0	bc1001.bc1003.bc1009.bc1012	4
L-Glutamate	0.0	0.0	0.0	0.0	bc1001.bc1003.bc1009.bc1012	4		0	bc1001.bc1003.bc1009.bc1012	4
L-Glutamine	0.0	0.0	0.0	0.0	bc1001.bc1003.bc1009.bc1012	4		0	bc1001.bc1003.bc1009.bc1012	4
