	0.0000-20.0000	Source	Target
Acutalibacter_muris_KB1##L-Valine-e0##Microbe	-69.12938256425586	Acutalibacter_muris_KB1	L-Valine-e0
Acutalibacter_muris_KB1##5'-Deoxyadenosine-e0##Microbe	3.6692942122497763	Acutalibacter_muris_KB1	5'-Deoxyadenosine-e0
Acutalibacter_muris_KB1##Thiamine##Microbe	-1.0000000000000047	Acutalibacter_muris_KB1	Thiamine
Acutalibacter_muris_KB1##Mg-e0##Microbe	-1.4121250719516125	Acutalibacter_muris_KB1	Mg-e0
Acutalibacter_muris_KB1##L-Asparagine-e0##Microbe	-112.25906502307537	Acutalibacter_muris_KB1	L-Asparagine-e0
Acutalibacter_muris_KB1##L-Lactate-e0##Microbe	-1.0000000000000004	Acutalibacter_muris_KB1	L-Lactate-e0
Acutalibacter_muris_KB1##Glycine-e0##Microbe	-107.87094859988498	Acutalibacter_muris_KB1	Glycine-e0
Acutalibacter_muris_KB1##L-Tyrosine-e0##Microbe	-24.945489580474543	Acutalibacter_muris_KB1	L-Tyrosine-e0
Acutalibacter_muris_KB1##Ca2+-e0##Microbe	-1.412125071952282	Acutalibacter_muris_KB1	Ca2+-e0
Acutalibacter_muris_KB1##H2-e0##Microbe	12785.200060221687	Acutalibacter_muris_KB1	H2-e0
Acutalibacter_muris_KB1##H2O-e0##Microbe	-4122.655369089614	Acutalibacter_muris_KB1	H2O-e0
Acutalibacter_muris_KB1##fe3-e0##Microbe	-1.4121250719483869	Acutalibacter_muris_KB1	fe3-e0
Pyridoxal##Acutalibacter_muris_KB1##Metabolite	193.59229303371148	Pyridoxal	Acutalibacter_muris_KB1
Acutalibacter_muris_KB1##Mn2+-e0##Microbe	-1.4121250719524567	Acutalibacter_muris_KB1	Mn2+-e0
Acutalibacter_muris_KB1##L-Methionine-e0##Microbe	-28.497788242765356	Acutalibacter_muris_KB1	L-Methionine-e0
Acutalibacter_muris_KB1##K+-e0##Microbe	-1.412125071955017	Acutalibacter_muris_KB1	K+-e0
Acutalibacter_muris_KB1##PAN##Microbe	-2.0000000000076352	Acutalibacter_muris_KB1	PAN
Acutalibacter_muris_KB1##CO2-e0##Microbe	7119.69337044713	Acutalibacter_muris_KB1	CO2-e0
Acutalibacter_muris_KB1##Fe2+-e0##Microbe	-4.246772178070191	Acutalibacter_muris_KB1	Fe2+-e0
Acutalibacter_muris_KB1##L-Serine-e0##Microbe	-58.50491445238028	Acutalibacter_muris_KB1	L-Serine-e0
Acutalibacter_muris_KB1##L-Glutamine-e0##Microbe	-122.63775242578393	Acutalibacter_muris_KB1	L-Glutamine-e0
Acutalibacter_muris_KB1##L-Lysine-e0##Microbe	-72.7193238692557	Acutalibacter_muris_KB1	L-Lysine-e0
Acutalibacter_muris_KB1##Niacin##Microbe	-2.0000000000011053	Acutalibacter_muris_KB1	Niacin
Acutalibacter_muris_KB1##Co2+-e0##Microbe	-1.412125071936898	Acutalibacter_muris_KB1	Co2+-e0
Acutalibacter_muris_KB1##Uracil-e0##Microbe	-7.15762242384341	Acutalibacter_muris_KB1	Uracil-e0
Acutalibacter_muris_KB1##L-Alanine-e0##Microbe	-107.06888014609682	Acutalibacter_muris_KB1	L-Alanine-e0
Acutalibacter_muris_KB1##Acetate-e0##Microbe	6274.535613485465	Acutalibacter_muris_KB1	Acetate-e0
Acutalibacter_muris_KB1##L-Threonine-e0##Microbe	-117.1159145597341	Acutalibacter_muris_KB1	L-Threonine-e0
Acutalibacter_muris_KB1##Zn2+-e0##Microbe	-1.4121250719209246	Acutalibacter_muris_KB1	Zn2+-e0
Acutalibacter_muris_KB1##Cl--e0##Microbe	-1.4121250719496163	Acutalibacter_muris_KB1	Cl--e0
Acutalibacter_muris_KB1##H2S-e0##Microbe	2.000000000026785	Acutalibacter_muris_KB1	H2S-e0
Acutalibacter_muris_KB1##Sulfate-e0##Microbe	-1.4121250719541507	Acutalibacter_muris_KB1	Sulfate-e0
Acutalibacter_muris_KB1##Cu2+-e0##Microbe	-1.4121250719424934	Acutalibacter_muris_KB1	Cu2+-e0
Acutalibacter_muris_KB1##Puryvate##Microbe	-1.0000000000000007	Acutalibacter_muris_KB1	Puryvate
Acutalibacter_muris_KB1##Riboflavin##Microbe	2.429261364544314	Acutalibacter_muris_KB1	Riboflavin
Acutalibacter_muris_KB1##L-Arginine-e0##Microbe	-43.447494767458856	Acutalibacter_muris_KB1	L-Arginine-e0
Acutalibacter_muris_KB1##L-Tryptophan##Microbe	-12.242620347612323	Acutalibacter_muris_KB1	L-Tryptophan
Acutalibacter_muris_KB1##Inosine-e0##Microbe	-81.30471627459659	Acutalibacter_muris_KB1	Inosine-e0
Acutalibacter_muris_KB1##Phosphate-e0##Microbe	-259.7283712389129	Acutalibacter_muris_KB1	Phosphate-e0
Acutalibacter_muris_KB1##L-Histidine-e0##Microbe	-18.409955409936344	Acutalibacter_muris_KB1	L-Histidine-e0
