	bc1008	bc1012	bc1010	In	InAmount	Out	OutAmount	All	AllAmount
1,2-Diacyl-sn-glycerol dioctadecanoyl	0.0	0.0	0.0	bc1008.bc1010.bc1012	3		0	bc1008.bc1010.bc1012	3
2-Oxoglutarate	0.0	0.0	0.0	bc1008.bc1010	2		0	bc1008.bc1010	2
4-Hydroxybenzoate	0.0	0.0	0.0	bc1008.bc1010.bc1012	3		0	bc1008.bc1010.bc1012	3
5-Aminolevulinate	0.0	0.0	0.0	bc1008.bc1010.bc1012	3		0	bc1008.bc1010.bc1012	3
AMP	0.0	0.0	0.0	bc1008.bc1010.bc1012	3		0	bc1008.bc1010.bc1012	3
ARSENOBETAINE	0.0	0.0	0.0		0		0		0
Acetate	0.0	0.0	0.0	bc1008.bc1010.bc1012	3		0	bc1008.bc1010.bc1012	3
Adenine	0.0	0.0	0.0		0		0		0
Adenosine	0.0	0.0	0.0	bc1010	1		0	bc1010	1
Ala-Ala	0.0	0.0	0.0	bc1010.bc1012	2		0	bc1010.bc1012	2
Arsenate	0.0	0.0	0.0		0		0		0
Arsenite	0.0	0.0	0.0		0		0		0
BET	0.0	0.0	0.0	bc1008.bc1010.bc1012	3		0	bc1008.bc1010.bc1012	3
BIOT	0.0	0.0	0.0	bc1008.bc1010.bc1012	3		0	bc1008.bc1010.bc1012	3
CMP	0.0	0.0	0.0	bc1008.bc1010.bc1012	3		0	bc1008.bc1010.bc1012	3
CO2	0.0	0.0	0.0	bc1008.bc1010.bc1012	3		0	bc1008.bc1010.bc1012	3
Ca2+	0.0	0.0	0.0	bc1008.bc1010.bc1012	3		0	bc1008.bc1010.bc1012	3
Carnitine	0.0	0.0	0.0		0		0		0
Cbl	0.0	0.0	0.0		0		0		0
Chitobiose	0.0	0.0	0.0	bc1008	1		0	bc1008	1
Chorismate	0.0	0.0	0.0	bc1008.bc1010.bc1012	3		0	bc1008.bc1010.bc1012	3
Citrate	0.0	0.0	0.0	bc1008	1		0	bc1008	1
Cl-	0.0	0.0	0.0	bc1008.bc1010.bc1012	3		0	bc1008.bc1010.bc1012	3
Co2+	0.0	0.0	0.0	bc1008.bc1010.bc1012	3		0	bc1008.bc1010.bc1012	3
CoA	0.0	0.0	0.0	bc1008.bc1010.bc1012	3		0	bc1008.bc1010.bc1012	3
Cu2+	0.0	0.0	0.0	bc1008.bc1010.bc1012	3		0	bc1008.bc1010.bc1012	3
Cytidine	0.0	0.0	0.0	bc1008	1		0	bc1008	1
D-Alanine	0.0	0.0	0.0	bc1008	1		0	bc1008	1
D-Arabinose	0.0	0.0	0.0	bc1008.bc1010.bc1012	3		0	bc1008.bc1010.bc1012	3
D-Galacturonate	0.0	0.0	0.0		0		0		0
D-Glucose	0.057453288118452996	0.0	0.0	bc1008.bc1010.bc1012	3	bc1008	1	bc1008bc1008.bc1010.bc1012	4
D-Serine	0.0	0.0	0.0		0		0		0
Deoxyadenosine	0.0	0.0	0.0		0		0		0
Deoxycytidine	0.0	0.0	0.0	bc1008.bc1010.bc1012	3		0	bc1008.bc1010.bc1012	3
Deoxyguanosine	0.0	0.0	0.0	bc1010.bc1012	2		0	bc1010.bc1012	2
Deoxyinosine	0.0	0.0	0.0		0		0		0
Deoxyuridine	0.0	0.0	0.0		0		0		0
Enterobactin	0.0	0.0	0.0		0		0		0
Fe-enterochlin	0.0	0.0	0.0		0		0		0
Folate	0.0	0.0	0.0	bc1008.bc1010.bc1012	3		0	bc1008.bc1010.bc1012	3
Formate	0.0	0.0	0.0	bc1008.bc1012	2		0	bc1008.bc1012	2
Fumarate	0.0	0.03399847222152429	0.0	bc1010.bc1012	2	bc1012	1	bc1012bc1010.bc1012	3
GTP	0.0	0.0	0.0	bc1008.bc1010.bc1012	3		0	bc1008.bc1010.bc1012	3
Galactose	0.0	0.0	0.0		0		0		0
Glucose-1-phosphate	0.0	0.0	0.0	bc1008	1		0	bc1008	1
Glucuronate	0.0	0.0	0.0		0		0		0
Glycerol	0.0	0.0	0.0	bc1008.bc1010.bc1012	3		0	bc1008.bc1010.bc1012	3
Glycine	0.0	0.0	0.0	bc1008.bc1010.bc1012	3		0	bc1008.bc1010.bc1012	3
H+	0.0	0.0	0.0	bc1008.bc1010.bc1012	3		0	bc1008.bc1010.bc1012	3
H2O	0.0	0.0	0.0	bc1008.bc1010.bc1012	3		0	bc1008.bc1010.bc1012	3
HYXN	0.0	0.0	0.0		0		0		0
Heme	0.0	0.0	0.0	bc1008.bc1010.bc1012	3		0	bc1008.bc1010.bc1012	3
Inosine	0.0	0.0	0.0		0		0		0
K+	0.0	0.0	0.0	bc1008.bc1010.bc1012	3		0	bc1008.bc1010.bc1012	3
L-Alanine	0.0	0.0	0.0	bc1008.bc1010.bc1012	3		0	bc1008.bc1010.bc1012	3
L-Arabinose	0.0	0.0	0.0		0		0		0
L-Arginine	0.0	0.0	0.0	bc1008.bc1010.bc1012	3		0	bc1008.bc1010.bc1012	3
L-Ascorbate	0.0	0.0	0.0		0		0		0
L-Asparagine	0.0	0.0	0.0	bc1008.bc1010.bc1012	3		0	bc1008.bc1010.bc1012	3
L-Aspartate	0.0	0.0	0.0	bc1008.bc1010.bc1012	3		0	bc1008.bc1010.bc1012	3
L-Cysteine	0.0	0.0	0.0	bc1008.bc1010.bc1012	3		0	bc1008.bc1010.bc1012	3
L-Glutamate	0.0	0.0	0.0	bc1008.bc1010.bc1012	3		0	bc1008.bc1010.bc1012	3
L-Glutamine	0.0	0.0	0.0	bc1008.bc1010.bc1012	3		0	bc1008.bc1010.bc1012	3
L-Histidine	0.0	0.0	0.0	bc1008.bc1010.bc1012	3		0	bc1008.bc1010.bc1012	3
L-Inositol	0.0	0.0	0.0		0		0		0
L-Isoleucine	0.0	0.0	0.0	bc1008.bc1010.bc1012	3		0	bc1008.bc1010.bc1012	3
L-Lactate	0.0	0.0	0.0	bc1008	1		0	bc1008	1
L-Leucine	0.0	0.0	0.0	bc1008.bc1010.bc1012	3		0	bc1008.bc1010.bc1012	3
L-Lysine	0.0	0.0	0.0	bc1008.bc1010.bc1012	3		0	bc1008.bc1010.bc1012	3
