	0.0000-0.0000	0.0000-0.0020	0.0020-0.0084	0.0084-0.0086	0.0086-0.0086	0.0086-0.0088	0.0089-0.0254	0.0257-0.0257	0.0257-0.0261	0.0263-0.0268	0.0268-0.0419	0.0419-0.0420	0.0420-0.0484	0.0484-0.0489	0.0489-0.0559	0.0743-0.0753	0.0753-0.0892	0.0892-0.0899	0.0899-0.1056	0.1369-0.1453	0.1453-0.1454	0.1458-0.1460	0.1460-10.0400	10.0400-10.0401	10.0401-20.0000	Source	Target
Riboflavin##Phosphate-e0##Flavonifractor_plautii_YL31	-127.45775495898447	-127.45775495898447	-127.45775495959832	-127.45775495965583	-127.45775495965965	-127.45775495965108	-127.45775495963254	-127.45775495969792	-127.45775495971284	-127.45775495973672	-127.45775495964293	-127.4577549595238	-127.4577549595238	-127.4577549589216	-127.45775495935962	-127.45775495793752	-127.45775495789765	-127.45775495892363	-127.45775495893136	-127.45775495902014	-127.45775496131616	-127.45775495730689	-127.45775495121651	-127.45775496017332	-127.45775495915997	Riboflavin	Phosphate-e0
Riboflavin##L-Glutamate-e0##Flavonifractor_plautii_YL31	-68.22864673317743	-68.22864673317743	-68.22864673391727	-127.0874220214812	-126.05748352407973	-127.08742202147698	-254.6413118151243	-254.64131181525133	-275.7095420030077	-299.7192921376105	-414.3902978909917	-414.39029789064864	-414.39029789064864	-414.3902978887179	-414.3902978900787	-1768.2213288137868	-1768.2213288132236	-560.685333253374	-560.6853332534075	-717.2710875550388	842.6965259604872	-2705.6842448448183	-17177.09903116031	3249.836617294248	1837.8521161226176	Riboflavin	L-Glutamate-e0
Riboflavin##D-Glucose-e0##Flavonifractor_plautii_YL31	-8.74087128262523	-8.74087128262523	-8.740871282643976	-8.74087128264558	-8.74087128264588	-8.74087128264444	-8.740871282643138	-8.74087128264669	-8.74087128264712	-8.740871282649762	-8.740871282643694	-8.740871282638466	-8.740871282638466	-8.740871282601907	-8.740871282622773	-8.740871282519956	-8.74087128251814	-8.740871282596556	-8.740871282599274	-8.740871282601214	-8.740871282730254	-8.740871282512058	-8.740871281964084	-218.80870007416573	-8.740871282675684	Riboflavin	D-Glucose-e0
Riboflavin##Mn2+-e0##Flavonifractor_plautii_YL31	-0.9241112603168776	-0.9241112603168776	-0.9241112603206038	-0.9241112603209115	-0.924111260320945	-0.9241112603208796	-0.9241112603207152	-0.9241112603212184	-0.9241112603213187	-0.9241112603215297	-0.9241112603207923	-0.9241112603204078	-0.9241112603204078	-0.9241112603156849	-0.9241112603191886	-0.9241112603075806	-0.9241112603073166	-0.9241112603155268	-0.9241112603150666	-0.9241112603158234	-0.9241112603323195	-0.924111260302483	-0.9241112602417721	-0.9241112603293753	-0.9241112603213202	Riboflavin	Mn2+-e0
Riboflavin##Zn2+-e0##Flavonifractor_plautii_YL31	-0.9241112603181122	-0.9241112603181122	-0.9241112603208721	-0.9241112603210809	-0.9241112603211402	-0.924111260321012	-0.9241112603209184	-0.9241112603214313	-0.9241112603215007	-0.9241112603216993	-0.9241112603210938	-0.9241112603209649	-0.9241112603209649	-0.9241112603165825	-0.9241112603203014	-0.9241112603098768	-0.9241112603096177	-0.9241112603165385	-0.9241112603157354	-0.9241112603167478	-0.9241112603329373	-0.9241112603047632	-0.9241112602630538	-0.9241112603255708	-0.924111260317809	Riboflavin	Zn2+-e0
Riboflavin##L-Lysine-e0##Flavonifractor_plautii_YL31	-41.26899935741231	-41.26899935741231	-41.268999357645214	-41.26899935766811	-41.26899935766928	-41.26899935766692	-41.26899935765974	-41.26899935767923	-30.734884263820607	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Riboflavin	L-Lysine-e0
Riboflavin##L-Aspartate-e0##Flavonifractor_plautii_YL31	-57.82883678993728	-57.82883678993728	-57.828836790060734	1.029938497413596	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-528.6039407970289	-3128.549963353233	4049.746108220066	6461.648572425451	3205.5911318784006	3292.4900481138443	Riboflavin	L-Aspartate-e0
Riboflavin##Sulfate-e0##Flavonifractor_plautii_YL31	-0.9241112603193941	-0.9241112603193941	-0.9241112603206952	-0.9241112603206915	-0.9241112603207147	-0.9241112603206636	-0.9241112603204997	-0.9241112603209944	-0.9241112603210955	-0.9241112603213515	-0.9241112603204942	-0.9241112603202575	-0.9241112603202575	-0.92411126031631	-0.9241112603183128	-0.9241112603070275	-0.9241112603067585	-0.9241112603158176	-0.9241112603159463	-0.9241112603158828	-0.9241112603333077	-0.9241112602998717	-0.9241112602374398	-0.9241112603308144	-0.9241112603190588	Riboflavin	Sulfate-e0
Putrescine-e0##L-Arginine-e0##Flavonifractor_plautii_YL31	0.9999999999999839	0.9999999999999839	0.9999999999999745	0.9999999999999769	0.999999999999974	0.9999999999999717	0.9999999999999722	1.000000000000034	0.9999999999999526	1.0000000000000109	0.9999999999999479	0.0	0.0	0.0	0.4999999999978987	0.33333333333754034	0.3333333333376554	0.16666666666875218	0.1666666666686971	0.0	0.0	0.0	0.0	0.0	0.0	Putrescine-e0	L-Arginine-e0
Spermidine-e0##L-Arginine-e0##Flavonifractor_plautii_YL31	0.9999999999999823	0.9999999999999823	1.0000000000003852	1.0000000000002711	1.0000000000001736	1.0000000000002849	1.000000000000261	1.0000000000004021	1.0000000000002944	1.0000000000003777	1.0000000000002913	0.666666666675775	0.666666666675775	1.9999999999990183	1.000000000002901	1.333333333322911	1.3333333333226278	2.000000000001578	2.000000000001304	0.9999999999767515	0.0	0.0	0.0	0.0	0.0	Spermidine-e0	L-Arginine-e0
