	Avg_bc1015	Var_bc1015	Avg_bc1003	Var_bc1003	Avg_bc1012	Var_bc1012	Avg_bc1008	Var_bc1008	Avg_InAmount	Var_InAmount	Avg_OutAmount	Var_OutAmount	Avg_AllAmount	Var_AllAmount	In	InAmount	Out	OutAmount	All	AllAmount
1,2-Diacyl-sn-glycerol dioctadecanoyl	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.9852356496546686	0.00021718143554931706	0.0	0.0	3.9852356496546686	0.00021718143554931706	bc1003.bc1008.bc1012.bc1015	1		1	bc1003.bc1008.bc1012.bc1015	1
2-Oxoglutarate	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9963089124136671	1.3573839721832317e-05	0.0	0.0	0.9963089124136671	1.3573839721832317e-05	bc1008	1		1	bc1008	1
4-Hydroxybenzoate	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.9852356496546686	0.00021718143554931706	0.0	0.0	3.9852356496546686	0.00021718143554931706	bc1003.bc1008.bc1012.bc1015	1		1	bc1003.bc1008.bc1012.bc1015	1
5-Aminolevulinate	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.9852356496546686	0.00021718143554931706	0.0	0.0	3.9852356496546686	0.00021718143554931706	bc1003.bc1008.bc1012.bc1015	1		1	bc1003.bc1008.bc1012.bc1015	1
AMP	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.9852356496546686	0.00021718143554931706	0.0	0.0	3.9852356496546686	0.00021718143554931706	bc1003.bc1008.bc1012.bc1015	1		1	bc1003.bc1008.bc1012.bc1015	1
ARSENOBETAINE	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Acetate	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.9852356496546686	0.00021718143554931706	0.0	0.0	3.9852356496546686	0.00021718143554931706	bc1003.bc1008.bc1012.bc1015	1		1	bc1003.bc1008.bc1012.bc1015	1
Adenine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Adenosine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Ala-Ala	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.9889267372410013	0.00012216455749649332	0.0	0.0	2.9889267372410013	0.00012216455749649332	bc1003.bc1012.bc1015	1		1	bc1003.bc1012.bc1015	1
Arsenate	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9963089124136671	1.3573839721832317e-05	0.0	0.0	0.9963089124136671	1.3573839721832317e-05	bc1015	1		1	bc1015	1
Arsenite	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9963089124136671	1.3573839721832317e-05	0.0	0.0	0.9963089124136671	1.3573839721832317e-05	bc1015	1		1	bc1015	1
BET	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.9852356496546686	0.00021718143554931706	0.0	0.0	3.9852356496546686	0.00021718143554931706	bc1003.bc1008.bc1012.bc1015	1		1	bc1003.bc1008.bc1012.bc1015	1
