	Avg_bc1003	Var_bc1003	Avg_bc1009	Var_bc1009	Avg_bc1001	Var_bc1001	Avg_bc1012	Var_bc1012	Avg_InAmount	Var_InAmount	Avg_OutAmount	Var_OutAmount	Avg_AllAmount	Var_AllAmount	In	InAmount	Out	OutAmount	All	AllAmount
1,2-Diacyl-sn-glycerol dioctadecanoyl	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.9907601257944947	8.517806113247686e-05	0.0	0.0	3.9907601257944947	8.517806113247686e-05	bc1001.bc1003.bc1009.bc1012	1		1	bc1001.bc1003.bc1009.bc1012	1
4-Hydroxybenzoate	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.9907601257944947	8.517806113247686e-05	0.0	0.0	3.9907601257944947	8.517806113247686e-05	bc1001.bc1003.bc1009.bc1012	1		1	bc1001.bc1003.bc1009.bc1012	1
5-Aminolevulinate	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.9907601257944947	8.517806113247686e-05	0.0	0.0	3.9907601257944947	8.517806113247686e-05	bc1001.bc1003.bc1009.bc1012	1		1	bc1001.bc1003.bc1009.bc1012	1
AMP	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.9907601257944947	8.517806113247686e-05	0.0	0.0	3.9907601257944947	8.517806113247686e-05	bc1001.bc1003.bc1009.bc1012	1		1	bc1001.bc1003.bc1009.bc1012	1
Acetate	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.9907601257944947	8.517806113247686e-05	0.0	0.0	3.9907601257944947	8.517806113247686e-05	bc1001.bc1003.bc1009.bc1012	1		1	bc1001.bc1003.bc1009.bc1012	1
Adenine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Adenosine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9976900314486237	5.323628820779804e-06	0.0	0.0	0.9976900314486237	5.323628820779804e-06	bc1001	1		1	bc1001	1
Ala-Ala	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.9907601257944947	8.517806113247686e-05	0.0	0.0	3.9907601257944947	8.517806113247686e-05	bc1001.bc1003.bc1009.bc1012	1		1	bc1001.bc1003.bc1009.bc1012	1
Arsenate	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Arsenite	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
BET	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.9907601257944947	8.517806113247686e-05	0.0	0.0	3.9907601257944947	8.517806113247686e-05	bc1001.bc1003.bc1009.bc1012	1		1	bc1001.bc1003.bc1009.bc1012	1
BIOT	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.9907601257944947	8.517806113247686e-05	0.0	0.0	3.9907601257944947	8.517806113247686e-05	bc1001.bc1003.bc1009.bc1012	1		1	bc1001.bc1003.bc1009.bc1012	1
CMP	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.9907601257944947	8.517806113247686e-05	0.0	0.0	3.9907601257944947	8.517806113247686e-05	bc1001.bc1003.bc1009.bc1012	1		1	bc1001.bc1003.bc1009.bc1012	1
CO2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.9907601257944947	8.517806113247686e-05	0.0	0.0	3.9907601257944947	8.517806113247686e-05	bc1001.bc1003.bc1009.bc1012	1		1	bc1001.bc1003.bc1009.bc1012	1
Ca2+	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.9907601257944947	8.517806113247686e-05	0.0	0.0	3.9907601257944947	8.517806113247686e-05	bc1001.bc1003.bc1009.bc1012	1		1	bc1001.bc1003.bc1009.bc1012	1
