	0.0000-0.0000	0.0000-0.0006	0.0022-0.0057	0.0080-0.0084	0.0084-0.0085	0.0085-0.0106	0.0106-0.0111	0.0111-0.0114	0.0114-0.0135	0.0135-0.0136	0.0136-0.0249	0.0249-0.0250	0.0250-0.0250	0.0250-0.0251	0.0251-0.1171	0.1171-0.1181	0.1181-0.1425	0.1425-0.1585	0.1585-0.2326	0.2390-0.2400	0.2400-0.2483	0.2649-0.2723	0.2723-0.2773	0.2773-0.2773	0.2773-0.4333	0.4333-0.4334	0.4338-0.4363	0.4363-0.6850	0.6898-0.6900	0.6900-0.6927	0.6927-0.6930	0.6930-0.7258	0.7258-0.7378	0.7378-0.7378	0.7378-0.7394	0.7394-0.8024	0.8024-0.8767	0.8767-0.9098	0.9098-0.9102	0.9102-0.9112	0.9112-0.9112	0.9122-1.5684	1.5684-20.0000	Source	Target
O2-e0##Glycine-e0##Limosilactobacillus_reuteri_I49	-4.0000000000005285	-4.0000000000005285	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.9999999999993663	0.0	0.0	1.3793103448293975	0.0	0.0	0.0	0.0	0.546380322601714	0.0	0.0	0.0	-4.000000000002812	0.0	0.0	-4.0000000000009175	0.0	0.0	0.0	0.0	0.0	0.0	0.0	O2-e0	Glycine-e0
Thiamine##Glycine-e0##Limosilactobacillus_reuteri_I49	-1.0000000000048463	-1.0000000000048463	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0000000000071045	0.9999999999988067	1.0000000000008584	-2.4827586206915226	1.0000000000004572	1.0000000000005111	-40.72168750514894	-40.721687505122716	0.27319016130221657	0.0	0.0	0.0	17.99999999998102	0.0	0.0	17.999999999969692	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Thiamine	Glycine-e0
PAN##Glycine-e0##Limosilactobacillus_reuteri_I49	96.0635255719523	96.0635255719523	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	PAN	Glycine-e0
PAN##Phosphate-e0##Limosilactobacillus_reuteri_I49	-129.8641856201801	-129.8641856201801	-129.86418562026046	-129.86418561929983	-129.86418561713305	-129.86418561713305	-129.86418561858565	-129.8641856181052	-129.8641856186122	-129.86418561911188	-129.8641856189748	-129.86418561911242	-129.8641856188373	-129.86418561870096	-129.8641856191565	-129.86418562027993	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	PAN	Phosphate-e0
Folate-e0##L-Glutamate-e0##Limosilactobacillus_reuteri_I49	1.0000000000032727	1.0000000000032727	1.0000000000031024	1.0000000000023674	0.9999999999941284	0.9999999999941284	0.9999999999978736	0.9999999999969152	0.9999999999978852	1.0000000000000648	0.9999999999994204	1.0000000000014553	0.9999999999968502	0.9999999999935277	1.0000000000003213	1.0000000000004805	0.91862996211877	0.9135534575734158	1.0000000000002247	0.6905012701378042	1.0000000000001055	1.0000000000000109	1.0000000000002118	1.0000000000000953	1.0000000000000995	1.000000000000137	-21.071323080760497	-74.02993056414994	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Folate-e0	L-Glutamate-e0
PAN##L-Glutamate-e0##Limosilactobacillus_reuteri_I49	-68.81887621320892	-68.81887621320892	-68.81887621323544	-68.81887621312403	-68.81887621192136	-68.81887621192136	-68.81887621270059	-68.81887621249213	-68.81887621270263	-68.81887621291398	-68.81887621285412	-68.81887621291385	-68.81887621277352	-68.81887621269094	-68.81887621293437	-68.81887621316028	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	PAN	L-Glutamate-e0
Spermidine-e0##D-Glucose-e0##Limosilactobacillus_reuteri_I49	1.9999999999242237	1.9999999999242237	1.9999999999219837	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Spermidine-e0	D-Glucose-e0
Pyruvate-e0##D-Glucose-e0##Limosilactobacillus_reuteri_I49	1.000000000006674	1.000000000006674	1.0000000000062836	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Pyruvate-e0	D-Glucose-e0
D-Mannose-e0##D-Glucose-e0##Limosilactobacillus_reuteri_I49	1.000000000010306	1.000000000010306	1.0000000000095393	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	D-Mannose-e0	D-Glucose-e0
Melitose-e0##D-Glucose-e0##Limosilactobacillus_reuteri_I49	6.500000000058833	6.500000000058833	6.500000000057967	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Melitose-e0	D-Glucose-e0
Folate-e0##D-Glucose-e0##Limosilactobacillus_reuteri_I49	15.500000000173776	15.500000000173776	15.50000000016946	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Folate-e0	D-Glucose-e0
O2-e0##D-Glucose-e0##Limosilactobacillus_reuteri_I49	-4.99999999997602	-4.99999999997602	-0.9999999999859014	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	O2-e0	D-Glucose-e0
Urea-e0##D-Glucose-e0##Limosilactobacillus_reuteri_I49	1.5000000000344544	1.5000000000344544	1.5000000000336338	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Urea-e0	D-Glucose-e0
Sucrose##D-Glucose-e0##Limosilactobacillus_reuteri_I49	4.0000000000274465	4.0000000000274465	4.000000000026735	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Sucrose	D-Glucose-e0
