	0.5555	Source	Target
bc1003##bc1015##O2	0.0	bc1003	bc1015
bc1008##bc1015##O2	0.0	bc1008	bc1015
bc1016##bc1015##O2	0.0	bc1016	bc1015
bc1003##bc1008##D-Glucose	-0.02590575414226566	bc1003	bc1008
bc1015##bc1008##D-Glucose	-8.250344851745695e-15	bc1015	bc1008
bc1016##bc1008##D-Glucose	0.0	bc1016	bc1008
bc1008##bc1003##O2	0.003429276312228097	bc1008	bc1003
bc1015##bc1003##O2	0.1529763304673917	bc1015	bc1003
bc1016##bc1003##O2	0.0034292762875456568	bc1016	bc1003
bc1003##bc1016##D-Glucose	-0.025905753956100216	bc1003	bc1016
bc1008##bc1016##D-Glucose	0.0	bc1008	bc1016
bc1015##bc1016##D-Glucose	-8.250344851745695e-15	bc1015	bc1016
bc1003##bc1015##D-Glucose.O2	0.15102705137978845	bc1003	bc1015
bc1008##bc1015##O2.D-Glucose	3.0415027240468806	bc1008	bc1015
bc1016##bc1015##D-Glucose.O2	3.0415027242950576	bc1016	bc1015
bc1003##bc1015##D-Glucose	-0.25030228184986664	bc1003	bc1015
bc1008##bc1015##D-Glucose	-0.25030228184986436	bc1008	bc1015
bc1016##bc1015##D-Glucose	-0.2503022818498664	bc1016	bc1015
bc1008##bc1003##D-Glucose	-0.2785952523668618	bc1008	bc1003
bc1015##bc1003##D-Glucose	-0.2785952523668656	bc1015	bc1003
bc1016##bc1003##D-Glucose	-0.2785952523668641	bc1016	bc1003
