	0.0000-0.2601	0.2601-0.2687	0.2687-0.2722	0.2722-0.2733	0.2733-0.3685	0.3762-0.3763	0.3763-1.2045	1.2045-2.0000	Source	Target
bc1010##bc1008##D-Glucose	-0.03249226046660573	-0.03249226046660573	-0.03249226046660573	-0.03249226046660573	-0.03249226046660573	-0.057453288118453114	-0.057453288118453114	-0.057453288118453114	bc1010	bc1008
bc1012##bc1008##D-Glucose	-0.04652051298431076	-0.05745328811845745	-0.05745328811842349	-0.05745328811846915	-0.05745328811845333	-0.05745328811845333	-0.05745328811845347	-0.05745328811845347	bc1012	bc1008
bc1008##bc1012##O2	-0.003429652795845292	0.0	0.0	0.0	0.0	0.0	0.0	0.0	bc1008	bc1012
bc1010##bc1012##Fumarate.O2	-0.153007677089941	0.0	0.0	0.0	0.0	0.0	0.0	0.0	bc1010	bc1012
bc1008##bc1010##O2	-0.0034192590176268323	-0.0034192590176268323	-0.0034192590176268323	-0.0034192590176268323	-0.0034192590176268323	0.0	0.0	0.0	bc1008	bc1010
bc1012##bc1010##O2	-0.15252946972194373	-0.15252946972195197	-0.1525294697219525	-0.15252946972204978	-0.15252946972194528	0.0	0.0	0.0	bc1012	bc1010
bc1008##bc1012##D-Glucose.O2	0.0	-3.0965517013030937	-3.096551701303971	-3.0965517013389556	-0.1308758524298279	-0.1308758524298279	0.0	0.0	bc1008	bc1012
bc1010##bc1012##D-Glucose.Fumarate.O2	0.0	-0.204920398338426	-0.20492039833845976	-0.20492039833968367	0.0	0.0	0.0	0.0	bc1010	bc1012
bc1010##bc1012##D-Glucose.O2	0.0	0.0	0.0	0.0	-0.09547176397716321	-0.17140250845118832	0.0	0.0	bc1010	bc1012
bc1008##bc1010##D-Glucose	0.0	0.0	0.0	0.0	0.0	-0.13113491857070117	-0.13113491857070117	-0.13113491857070117	bc1008	bc1010
bc1012##bc1010##D-Glucose	0.0	0.0	0.0	0.0	0.0	-0.13113491857070286	-0.1311349185707032	-0.1311349185707032	bc1012	bc1010
bc1008##bc1012##D-Glucose	0.0	0.0	0.0	0.0	0.0	0.0	-0.1714614985190015	-0.1714614985190015	bc1008	bc1012
bc1010##bc1012##D-Glucose	0.0	0.0	0.0	0.0	0.0	0.0	-0.17146149851900305	-0.17146149851900305	bc1010	bc1012
