	0.0000-0.0000	0.0000-0.0805	0.0805-0.0843	0.1213-0.1215	0.1215-0.1885	0.1885-0.2207	0.2207-0.2207	0.2273-0.2294	0.2294-0.4758	0.4758-0.4760	0.4760-0.4760	0.4802-0.4803	0.4803-0.4979	0.4979-0.7269	0.7269-0.7283	0.9461-0.9461	0.9706-0.9725	0.9725-0.9726	0.9726-0.9727	0.9727-0.9728	0.9808-1.0567	1.0567-1.3064	1.3064-1.3621	1.3629-1.6015	1.6015-1.6015	1.6015-1.6688	1.6688-1.6701	1.6701-1.6702	1.6702-1.6703	1.6703-1.6703	1.6876-1.6878	1.6878-1.6878	1.6878-1.7052	1.7052-1.7056	1.7056-1.7276	1.7276-1.7675	1.7675-1.7675	1.7675-1.7676	1.7676-6.3268	6.3268-6.5370	6.5370-10.2751	10.2751-12.9607	12.9607-16.6732	16.6732-20.0000	Source	Target
Acutalibacter_muris_KB1##Muribaculum_intestinale_YL27##PAN	-253.37814823774022	-253.37814823769034	-253.3781482372055	-253.37814823562502	-253.37814823639098	-253.37814823351832	-253.3781482365563	-253.37814823686622	-253.3781482349372	-253.37814823506352	-253.37814823530854	-253.37814823496896	-253.3781482350096	-253.37814823507466	-253.3781482353128	-253.37814823489808	-253.3781482354026	-253.37814823479556	-253.37814823505286	-253.37814823553356	-253.37814823489776	-253.37814823527094	-253.3781482350388	-253.3781482351343	-253.37814823493767	-253.3781482344255	-253.37814823329967	-253.37814823466306	-253.3781482327835	-253.37814823725276	-253.37814823301997	-253.37814823333434	-253.37814823633585	-253.3781482384582	-253.37814823642188	-253.3781482338541	-253.37814823330694	-253.37814823456478	-253.37814823411836	-126.68907411676815	-126.6890741167797	-126.68907411686317	-126.68907411682181	-126.68907411682831	Acutalibacter_muris_KB1	Muribaculum_intestinale_YL27
Muribaculum_intestinale_YL27##Acutalibacter_muris_KB1##PAN	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-96.79614651648981	-96.79614651649132	-96.79614651656544	-96.79614651618247	-96.79614651619208	Muribaculum_intestinale_YL27	Acutalibacter_muris_KB1
