	Avg_bc1003	Var_bc1003	Avg_bc1001	Var_bc1001	Avg_bc1008	Var_bc1008	Avg_bc1010	Var_bc1010	Avg_InAmount	Var_InAmount	Avg_OutAmount	Var_OutAmount	Avg_AllAmount	Var_AllAmount	In	InAmount	Out	OutAmount	All	AllAmount
1,2-Diacyl-sn-glycerol dioctadecanoyl	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.9957968426479327	1.7647967923060003e-05	0.0	0.0	3.9957968426479327	1.7647967923060003e-05	bc1001.bc1003.bc1008.bc1010	1		1	bc1001.bc1003.bc1008.bc1010	1
2-Oxoglutarate	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.9978984213239663	4.411991980765001e-06	0.0	0.0	1.9978984213239663	4.411991980765001e-06	bc1008.bc1010	1		1	bc1008.bc1010	1
4-Hydroxybenzoate	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.9957968426479327	1.7647967923060003e-05	0.0	0.0	3.9957968426479327	1.7647967923060003e-05	bc1001.bc1003.bc1008.bc1010	1		1	bc1001.bc1003.bc1008.bc1010	1
5-Aminolevulinate	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.9957968426479327	1.7647967923060003e-05	0.0	0.0	3.9957968426479327	1.7647967923060003e-05	bc1001.bc1003.bc1008.bc1010	1		1	bc1001.bc1003.bc1008.bc1010	1
AMP	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.9957968426479327	1.7647967923060003e-05	0.0	0.0	3.9957968426479327	1.7647967923060003e-05	bc1001.bc1003.bc1008.bc1010	1		1	bc1001.bc1003.bc1008.bc1010	1
ARSENOBETAINE	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Acetate	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.9957968426479327	1.7647967923060003e-05	0.0	0.0	3.9957968426479327	1.7647967923060003e-05	bc1001.bc1003.bc1008.bc1010	1		1	bc1001.bc1003.bc1008.bc1010	1
Adenine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Adenosine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.9978984213239663	4.411991980765001e-06	0.0	0.0	1.9978984213239663	4.411991980765001e-06	bc1001.bc1010	1		1	bc1001.bc1010	1
Ala-Ala	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.996847631985949	9.92698195672335e-06	0.0	0.0	2.996847631985949	9.92698195672335e-06	bc1001.bc1003.bc1010	1		1	bc1001.bc1003.bc1010	1
