	Avg_bc1011	Var_bc1011	Avg_bc1009	Var_bc1009	Avg_bc1003	Var_bc1003	Avg_InAmount	Var_InAmount	Avg_OutAmount	Var_OutAmount	Avg_AllAmount	Var_AllAmount	In	InAmount	Out	OutAmount	All	AllAmount
1,2-Diacyl-sn-glycerol dioctadecanoyl	0.0	0.0	0.0	0.0	0.0	0.0	2.998060568285524	3.7589637186210427e-06	0.0	0.0	2.998060568285524	3.7589637186210427e-06	bc1003.bc1009.bc1011	1		1	bc1003.bc1009.bc1011	1
4-Hydroxybenzoate	0.0	0.0	0.0	0.0	0.0	0.0	2.998060568285524	3.7589637186210427e-06	0.0	0.0	2.998060568285524	3.7589637186210427e-06	bc1003.bc1009.bc1011	1		1	bc1003.bc1009.bc1011	1
5-Aminolevulinate	0.0	0.0	0.0	0.0	0.0	0.0	2.998060568285524	3.7589637186210427e-06	0.0	0.0	2.998060568285524	3.7589637186210427e-06	bc1003.bc1009.bc1011	1		1	bc1003.bc1009.bc1011	1
AMP	0.0	0.0	0.0	0.0	0.0	0.0	2.998060568285524	3.7589637186210427e-06	0.0	0.0	2.998060568285524	3.7589637186210427e-06	bc1003.bc1009.bc1011	1		1	bc1003.bc1009.bc1011	1
Acetate	0.0	0.0	0.0	0.0	0.0	0.0	2.998060568285524	3.7589637186210427e-06	0.0	0.0	2.998060568285524	3.7589637186210427e-06	bc1003.bc1009.bc1011	1		1	bc1003.bc1009.bc1011	1
Adenine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Adenosine	0.0	0.0	0.0	0.0	0.0	0.0	0.9993535227618414	4.176626354022903e-07	0.0	0.0	0.9993535227618414	4.176626354022903e-07	bc1011	1		1	bc1011	1
Ala-Ala	0.0	0.0	0.0	0.0	0.0	0.0	1.9987070455236828	1.6706505416091611e-06	0.0	0.0	1.9987070455236828	1.6706505416091611e-06	bc1003.bc1009	1		1	bc1003.bc1009	1
Arsenate	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Arsenite	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
BET	0.0	0.0	0.0	0.0	0.0	0.0	2.998060568285524	3.7589637186210427e-06	0.0	0.0	2.998060568285524	3.7589637186210427e-06	bc1003.bc1009.bc1011	1		1	bc1003.bc1009.bc1011	1
BIOT	0.0	0.0	0.0	0.0	0.0	0.0	2.998060568285524	3.7589637186210427e-06	0.0	0.0	2.998060568285524	3.7589637186210427e-06	bc1003.bc1009.bc1011	1		1	bc1003.bc1009.bc1011	1
CMP	0.0	0.0	0.0	0.0	0.0	0.0	2.998060568285524	3.7589637186210427e-06	0.0	0.0	2.998060568285524	3.7589637186210427e-06	bc1003.bc1009.bc1011	1		1	bc1003.bc1009.bc1011	1
CO2	0.0	0.0	0.0	0.0	0.0	0.0	2.998060568285524	3.7589637186210427e-06	0.0	0.0	2.998060568285524	3.7589637186210427e-06	bc1003.bc1009.bc1011	1		1	bc1003.bc1009.bc1011	1
Ca2+	0.0	0.0	0.0	0.0	0.0	0.0	2.998060568285524	3.7589637186210427e-06	0.0	0.0	2.998060568285524	3.7589637186210427e-06	bc1003.bc1009.bc1011	1		1	bc1003.bc1009.bc1011	1
Cbl	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Chorismate	0.0	0.0	0.0	0.0	0.0	0.0	2.998060568285524	3.7589637186210427e-06	0.0	0.0	2.998060568285524	3.7589637186210427e-06	bc1003.bc1009.bc1011	1		1	bc1003.bc1009.bc1011	1
Cl-	0.0	0.0	0.0	0.0	0.0	0.0	2.998060568285524	3.7589637186210427e-06	0.0	0.0	2.998060568285524	3.7589637186210427e-06	bc1003.bc1009.bc1011	1		1	bc1003.bc1009.bc1011	1
Co2+	0.0	0.0	0.0	0.0	0.0	0.0	2.998060568285524	3.7589637186210427e-06	0.0	0.0	2.998060568285524	3.7589637186210427e-06	bc1003.bc1009.bc1011	1		1	bc1003.bc1009.bc1011	1
CoA	0.0	0.0	0.0	0.0	0.0	0.0	2.998060568285524	3.7589637186210427e-06	0.0	0.0	2.998060568285524	3.7589637186210427e-06	bc1003.bc1009.bc1011	1		1	bc1003.bc1009.bc1011	1
Cu2+	0.0	0.0	0.0	0.0	0.0	0.0	2.998060568285524	3.7589637186210427e-06	0.0	0.0	2.998060568285524	3.7589637186210427e-06	bc1003.bc1009.bc1011	1		1	bc1003.bc1009.bc1011	1
Cytosine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
D-Alanine	0.0	0.0	0.0	0.0	0.0	0.0	0.9993535227618414	4.176626354022903e-07	0.0	0.0	0.9993535227618414	4.176626354022903e-07	bc1011	1		1	bc1011	1
D-Arabinose	0.0	0.0	0.0	0.0	0.0	0.0	2.998060568285524	3.7589637186210427e-06	0.0	0.0	2.998060568285524	3.7589637186210427e-06	bc1003.bc1009.bc1011	1		1	bc1003.bc1009.bc1011	1
D-Glucose	0.1437421685161048	0.018157686452842263	0.14850964037004868	0.019382901315780156	0.1482322758495812	0.019309795775708176	2.998060568285524	3.7589637186210427e-06	1.5962011287825453	2.239078316156719	4.59426169706807	2.2390860777494668	bc1003.bc1009.bc1011	1	.bc1003.bc1011.bc1003.bc1009.bc1011	3	bc1003.bc1009.bc1011.bc1003.bc1011bc1003.bc1009.bc1011.bc1003.bc1009.bc1011bc1003.bc1009.bc1011	3
D-Serine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Deoxycytidine	0.0	0.0	0.0	0.0	0.0	0.0	2.998060568285524	3.7589637186210427e-06	0.0	0.0	2.998060568285524	3.7589637186210427e-06	bc1003.bc1009.bc1011	1		1	bc1003.bc1009.bc1011	1
Deoxyguanosine	0.0	0.0	0.0	0.0	0.0	0.0	2.998060568285524	3.7589637186210427e-06	0.0	0.0	2.998060568285524	3.7589637186210427e-06	bc1003.bc1009.bc1011	1		1	bc1003.bc1009.bc1011	1
Enterobactin	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Fe-enterochlin	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
