	0.0000-0.0000	0.0000-0.0007	0.0007-0.0009	0.0013-0.0017	0.0017-0.0069	0.0069-0.0111	0.0111-0.0111	0.0111-0.0185	0.0185-0.0232	0.0232-0.0242	0.0244-0.0246	0.0246-0.0415	0.0415-0.0416	0.0417-0.0562	0.0562-0.0562	0.0562-0.0563	0.0563-0.0564	0.0564-0.0564	0.0565-0.0907	0.0907-0.1180	0.1180-11.2878	11.2878-13.6805	13.6805-14.1362	14.1362-20.0000	Source	Target
PAN##Muribaculum_intestinale_YL27##Metabolite##None	126.68907411837442	126.68907411842397	126.68907411842397	126.68907411842912	126.68907411848711	126.68907411848711	126.68907411848711	126.68907411848711	126.68907411776819	126.68907411794865	126.68907411754378	126.68907411771707	126.68907411771707	126.68907411771707	126.68907411771707	126.68907411771707	126.68907411771707	126.68907411771707	126.68907411771707	0.0	0.0	0.0	0.0	0.0	PAN	Muribaculum_intestinale_YL27
Muribaculum_intestinale_YL27##Phosphate-e0##Microbe##PAN	-127.45775496005653	-127.45775496010481	-127.45775496010481	-127.45775496011636	-127.45775496016572	-127.45775496016572	-127.45775496016572	-127.45775496016572	-127.45775495946765	-127.45775495963905	-127.45775495923743	-127.45775495941584	-127.45775495941584	-127.45775495941584	-127.45775495941584	-127.45775495941584	-127.45775495941584	-127.45775495941584	-127.45775495941584	0.0	0.0	0.0	0.0	0.0	Muribaculum_intestinale_YL27	Phosphate-e0
Muribaculum_intestinale_YL27##Mn2+-e0##Microbe##PAN	-0.9241112603260884	-0.9241112603263472	-0.9241112603263472	-0.9241112603263897	-0.9241112603268525	-0.9241112603268525	-0.9241112603268525	-0.9241112603268525	-0.9241112603208502	-0.9241112603220168	-0.9241112603192391	-0.9241112603205539	-0.9241112603205539	-0.9241112603205539	-0.9241112603205539	-0.9241112603205539	-0.9241112603205539	-0.9241112603205539	-0.9241112603205539	0.0	0.0	0.0	0.0	0.0	Muribaculum_intestinale_YL27	Mn2+-e0
Muribaculum_intestinale_YL27##Zn2+-e0##Microbe##PAN	-0.9241112603244502	-0.9241112603251546	-0.9241112603251546	-0.9241112603247734	-0.9241112603250036	-0.9241112603250036	-0.9241112603250036	-0.9241112603250036	-0.9241112603200318	-0.9241112603217749	-0.9241112603177353	-0.9241112603196731	-0.9241112603196731	-0.9241112603196731	-0.9241112603196731	-0.9241112603196731	-0.9241112603196731	-0.9241112603196731	-0.9241112603196731	0.0	0.0	0.0	0.0	0.0	Muribaculum_intestinale_YL27	Zn2+-e0
Muribaculum_intestinale_YL27##Co2+-e0##Microbe##PAN	-0.9241112603252524	-0.9241112603253675	-0.9241112603253675	-0.9241112603252224	-0.9241112603257566	-0.9241112603257566	-0.9241112603257566	-0.9241112603257566	-0.9241112603198083	-0.924111260320963	-0.9241112603170822	-0.9241112603191497	-0.9241112603191497	-0.9241112603191497	-0.9241112603191497	-0.9241112603191497	-0.9241112603191497	-0.9241112603191497	-0.9241112603191497	0.0	0.0	0.0	0.0	0.0	Muribaculum_intestinale_YL27	Co2+-e0
Muribaculum_intestinale_YL27##fe3-e0##Microbe##PAN	-0.9241112603212659	-0.9241112603247145	-0.9241112603247145	-0.9241112603212989	-0.9241112603196918	-0.9241112603196918	-0.9241112603196918	-0.9241112603196918	-0.9241112603066206	-0.9241112603070469	-0.9241112603063038	-0.9241112603060188	-0.9241112603060188	-0.9241112603060188	-0.9241112603060188	-0.9241112603060188	-0.9241112603060188	-0.9241112603060188	-0.9241112603060188	0.0	0.0	0.0	0.0	0.0	Muribaculum_intestinale_YL27	fe3-e0
Muribaculum_intestinale_YL27##H+-e0##Microbe##Neu5Ac-e0	0.2886597938071402	-3.0000000000271725	-3.0000000000271725	-2.9999999999828133	3.8164556961903027	3.8164556961903027	3.8164556961903027	3.8164556961903027	4.500000000016823	6.000000000029736	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Muribaculum_intestinale_YL27	H+-e0
Muribaculum_intestinale_YL27##H+-e0##Microbe##O2-e0	-1.195876288666111	2.000000000011615	2.000000000011615	1.9999999999690625	-3.8860759493702846	-3.8860759493702846	-3.8860759493702846	-3.8860759493702846	-1.0000000000041431	2.000000000006283	-4.000000000008839	-1.000000000007214	-1.000000000007214	-1.000000000007214	-1.000000000007214	-1.000000000007214	-1.000000000007214	-1.000000000007214	-1.000000000007214	0.47804248396995147	0.0	0.0	0.0	0.0	Muribaculum_intestinale_YL27	H+-e0
Muribaculum_intestinale_YL27##H+-e0##Microbe##Sucrose	0.2680412371127975	-1.000000000007438	-1.000000000007438	-0.9999999999900958	1.3354430379743965	1.3354430379743965	1.3354430379743965	1.3354430379743965	6.499999999985634	1.9999999999599414	11.000000000003197	6.4999999999857785	6.4999999999857785	6.4999999999857785	6.4999999999857785	6.4999999999857785	6.4999999999857785	6.4999999999857785	6.4999999999857785	2.804893790076824	3.999999999995978	3.9999999999961573	3.9999999999961573	4.000000000002381	Muribaculum_intestinale_YL27	H+-e0
Muribaculum_intestinale_YL27##H+-e0##Microbe##Folate	-4.8831615120327285	-6.000000000012509	-6.000000000012509	-6.000000000004377	-2.6772151898877916	-2.6772151898877916	-2.6772151898877916	-2.6772151898877916	0.5000000000136287	9.00000000005414	-8.000000000011212	2.000000000007737	2.000000000007737	2.000000000007737	2.000000000007737	2.000000000007737	2.000000000007737	2.000000000007737	2.000000000007737	-3.4194891078878866	-1.66666666666516	-1.666666666664841	-1.666666666664841	-7.0000000000019	Muribaculum_intestinale_YL27	H+-e0
