	0.0000-0.0009	0.0009-0.0010	0.0010-0.0019	0.0025-0.0029	0.0040-0.0040	0.0040-0.0050	0.0051-0.0051	0.0051-0.0053	0.0053-0.0053	0.0053-0.0067	0.0067-0.0071	0.0071-0.0101	0.0101-0.0105	0.0105-0.0113	0.0113-0.0128	0.0128-0.0161	0.0161-0.0180	0.0180-0.0181	0.0181-0.0181	0.0356-0.0502	0.0502-0.0863	0.0863-0.0870	0.0918-0.0969	0.0969-0.1022	0.1022-0.1708	0.1708-0.1715	0.1715-0.1721	0.1722-0.1732	0.1732-0.1736	0.1736-0.1769	0.1769-0.1776	0.1776-0.1776	0.1784-0.1807	0.1807-0.1914	0.2019-0.2019	0.2019-0.2056	0.2116-0.2118	0.2118-0.2154	0.2154-0.2183	0.2183-0.2238	0.2238-0.2831	0.2831-0.2856	0.3686-0.3797	0.3797-0.4153	0.4153-0.5310	0.5310-0.5310	0.5374-0.5374	0.6997-0.7178	0.7178-0.7199	0.7199-0.7209	0.7209-0.7572	0.7572-0.7577	0.7583-0.8098	0.8098-0.8100	0.8102-0.8173	0.8173-0.8480	0.8480-0.8493	0.8493-2.0160	2.0160-2.1866	2.1866-3.8648	3.8648-6.0006	6.0006-6.3403	6.3882-20.0000	Source	Target
PAN##Clostridium_innocuum_I46##Metabolite##None	126.68907411693637	126.68907411913383	126.6890741180047	126.68907411430233	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	126.68907410262598	126.68907410850377	126.68907410788347	126.68907410788347	126.68907409785962	126.68907411762092	126.68907411754081	126.68907412923512	126.68907412030589	126.68907415055983	126.68907411947193	126.6890741130228	126.689074117129	126.68907413209286	126.68907412729756	126.68907411983861	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	PAN	Clostridium_innocuum_I46
Clostridium_innocuum_I46##Phosphate-e0##Microbe##PAN	-127.45775495872242	-127.45775496091012	-127.45775495973163	-127.45775495607792	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-127.45775494451256	-127.45775495050951	-127.45775494992151	-127.45775494992151	-1296.6598907621212	1001.9400541464582	888.7917700459009	-628.5208243084619	-628.520824254024	-628.5208244025722	-628.5208242557082	-628.5208242233293	1514.7957777574948	-735.8331640997259	-735.8331640656944	-25.978912724634903	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Clostridium_innocuum_I46	Phosphate-e0
Clostridium_innocuum_I46##D-Glucose-e0##Microbe##L-Aspartate-e0	0.05555555557294457	-0.4999999999971064	-0.29166666665658103	0.12500000000598852	0.12500000000034775	0.12499999999937746	-0.011451397336826196	-0.010528554189236858	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05555555555329633	0.12499999999172828	0.12499999999181924	-0.010368601836857397	-0.7499999999628657	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Clostridium_innocuum_I46	D-Glucose-e0
Clostridium_innocuum_I46##D-Glucose-e0##Microbe##Spermidine-e0	0.4722222222294139	0.7500000000003154	0.6458333333354792	1.937499999945844	1.374999999984327	1.7499999999892524	4.631040097175174	0.7369987932440635	-177.83682328834	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.24999999999607495	3.9722222222823564	9.249999999844349	3.124999999983123	3.8018430091839353	7.499999999506712	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Clostridium_innocuum_I46	D-Glucose-e0
Clostridium_innocuum_I46##D-Glucose-e0##Microbe##Thiamin-e0	4.97222222214843	-1.2499999999954228	1.0833333333264952	8.749999999621995	9.124999999975035	8.374999999977186	-0.7672436215712418	-0.7054131306781283	8.083491967745722	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-1.749999999996501	1.527777777823832	5.62499999987672	7.374999999820436	-4.131331156136915	-66.99999999195387	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Clostridium_innocuum_I46	D-Glucose-e0
Clostridium_innocuum_I46##D-Glucose-e0##Microbe##N-Acetyl-D-glucosamine-e0	1.499999999984102	-0.4999999999977087	0.25000000000134776	0.7499999999796588	-446.67501874852564	-457.4034036422031	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Clostridium_innocuum_I46	D-Glucose-e0
Clostridium_innocuum_I46##D-Glucose-e0##Microbe##D-Mannose-e0	1.000000000004771	1.0000000000005542	1.0000000000023541	1.0000000000058076	0.9999999999954193	0.999999999995551	-0.09161117869491651	-0.0842284335139152	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0000000000000444	1.0000000000008606	1.000000000001427	1.0000000000014282	1.0000000000000866	0.9999999999700273	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Clostridium_innocuum_I46	D-Glucose-e0
Clostridium_innocuum_I46##D-Glucose-e0##Microbe##Folate-e0	6.583333333296586	-0.24999999999063413	2.3125000000121134	4.4374999999273745	4.6249999999866125	4.249999999983832	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Clostridium_innocuum_I46	D-Glucose-e0
Clostridium_innocuum_I46##D-Glucose-e0##Microbe##N-Acetyl-D-chondrosamine-e0	1.0555555555423586	1.4999999999976839	1.333333333325755	0.9999999999968351	0.999999999998685	1.0000000000000961	-1.4605710815213766	-0.3369137340548668	48.500951805925794	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.49999999999984274	0.5555555555543897	0.6249999999941037	0.62499999999393	0.4896313981630948	-0.24999999983446913	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Clostridium_innocuum_I46	D-Glucose-e0
Clostridium_innocuum_I46##D-Glucose-e0##Microbe##O2-e0	0.4444444444267957	-0.9999999999989171	-0.45833333333496595	0.6249999999438665	1.0000000000055245	0.25000000000129424	-1.3918626974998916	-0.27374240891933077	48.500951805919186	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.5000000000001349	-1.0555555555605869	-1.749999999973508	0.0	-1.6244232220426111	-10.49999999886162	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Clostridium_innocuum_I46	D-Glucose-e0
