	0
"1,2-Diacyl-sn-glycerol dioctadecanoyl_e0"	100
Folate_e0	100
L-Leucine_e0	100
Arsenite_e0	100
L-Lysine_e0	100
L-Valine_e0	100
4-Hydroxybenzoate_e0	100
5-Aminolevulinate_e0	100
L-Threonine_e0	100
L-Glutamine_e0	100
D-Arabinose_e0	100
Adenine_e0	100
Co2+_e0	100
Ca2+_e0	100
Methanol_e0	100
Putrescine_e0	100
Riboflavin_e0	100
Mg_e0	100
BET_e0	100
L-Asparagine_e0	100
Sulfate_e0	100
AMP_e0	100
Myristic acid_e0	100
dATP_e0	100
L-Phenylalanine_e0	100
Zn2+_e0	100
L-Proline_e0	100
TRHL_e0	100
Nitrate_e0	100
PAN_e0	100
Nitrite_e0	100
D-Alanine_e0	100
L-Alanine_e0	100
CO2_e0	100
L-Glutamate_e0	100
L-Isoleucine_e0	100
Glycerol_e0	100
Cl-_e0	100
L-Tyrosine_e0	100
L-Tryptophan_e0	100
TTP_e0	100
Enterobactin_e0	100
Formate_e0	100
L-Serine_e0	100
Oxidized glutathione_e0	100
CoA_e0	100
GTP_e0	100
Cbl_e0	100
Arsenate_e0	100
Spermidine_e0	100
K+_e0	100
L-Arginine_e0	100
Niacin_e0	100
Chorismate_e0	100
L-Cysteine_e0	100
H+_e0	100
Adenosine_e0	100
Glycine_e0	100
Na+_e0	100
ddca_e0	100
Thiamin_e0	100
fe3_e0	100
L-Histidine_e0	100
Deoxycytidine_e0	100
UMP_e0	100
Deoxyguanosine_e0	100
dGTP_e0	100
D-Glucose_e0	10
Acetate_e0	100
NADP_e0	100
Mn2+_e0	100
Fe-enterochlin_e0	100
BIOT_e0	100
L-Aspartate_e0	100
D-Serine_e0	100
Pyridoxal_e0	100
Nicotinamide ribonucleotide_e0	100
S-Adenosyl-L-methionine_e0	100
"meso-2,6-Diaminopimelate_e0"	100
O2_e0	10
Heme_e0	100
L-Methionine_e0	100
H2O_e0	100
CMP_e0	100
Cu2+_e0	100
Uracil_e0	100
NH3_e0	100
N-Acetyl-D-glucosamine_e0	100
Ala-Ala_e0	100
PPi_e0	100
chromate_e0	100
Cytosine_e0	100
ARSENOBETAINE_e0	100
Carnitine_e0	100
2-Oxoglutarate_e0	100
Succinate_e0	100
L-Malate_e0	100
Fumarate_e0	100
gamma-butyrobetaine_e0	100
L-Inositol_e0	100
Glucuronate_e0	100
Citrate_e0	100
Chitobiose_e0	100
D-Galacturonate_e0	100
Galactose_e0	100
L-Ascorbate_e0	100
L-Lactate_e0	100
Glucose-1-phosphate_e0	100
Deoxyinosine_e0	100
Cytidine_e0	100
HYXN_e0	100
Uridine_e0	100
hexadecenoate_e0	100
L-Arabinose_e0	100
Pimelate_e0	100
Deoxyadenosine_e0	100
Deoxyuridine_e0	100
Thymidine_e0	100
Xylose_e0	100
Inosine_e0	100
