,Species,ID,Name,File,GrowthRate
bc1011,bc1011,bc1011,bc1011,modelseedGems/bc1011.gbk_genome.fbamodel.SBML/bc1011.gbk_genome.fbamodel.xml,42.45156574325225
bc1015,bc1015,bc1015,bc1015,modelseedGems/bc1015.gbk_genome.fbamodel.SBML/bc1015.gbk_genome.fbamodel.xml,56.60339635316547
bc1003,bc1003,bc1003,bc1003,modelseedGems/bc1003.gbk_genome.fbamodel.SBML/bc1003.gbk_genome.fbamodel.xml,42.450171088782405
bc1002,bc1002,bc1002,bc1002,modelseedGems/bc1002.gbk_genome.fbamodel.SBML/bc1002.gbk_genome.fbamodel.xml,42.460887177128576
bc1010,bc1010,bc1010,bc1010,modelseedGems/bc1010.gbk_genome.fbamodel.SBML/bc1010.gbk_genome.fbamodel.xml,56.48972899842689
bc1008,bc1008,bc1008,bc1008,modelseedGems/bc1008.gbk_genome.fbamodel.SBML/bc1008.gbk_genome.fbamodel.xml,23.656035878347705
bc1012,bc1012,bc1012,bc1012,modelseedGems/bc1012.gbk_genome.fbamodel.SBML/bc1012.gbk_genome.fbamodel.xml,56.67131009607124
bc1016,bc1016,bc1016,bc1016,modelseedGems/bc1016.gbk_genome.fbamodel.SBML/bc1016.gbk_genome.fbamodel.xml,23.655908700955784
bc1001,bc1001,bc1001,bc1001,modelseedGems/bc1001.gbk_genome.fbamodel.SBML/bc1001.gbk_genome.fbamodel.xml,51.83073875191184
bc1009,bc1009,bc1009,bc1009,modelseedGems/bc1009.gbk_genome.fbamodel.SBML/bc1009.gbk_genome.fbamodel.xml,56.6336674041813
