	0.5395	0.5408	1.2610	Source	Target
O2##bc1002##Metabolite##None	-0.15290050085943943	0.0	0.0	O2	bc1002
bc1002##L-Proline##Microbe##O2_e0	0.028187920666259875	0.0	0.0	bc1002	L-Proline
bc1002##Co2+##Microbe##O2_e0	0.00042906314099203015	0.0	0.0	bc1002	Co2+
bc1002##L-Phenylalanine##Microbe##O2_e0	0.02362610741833851	0.0	0.0	bc1002	L-Phenylalanine
bc1002##Riboflavin##Microbe##O2_e0	0.0012871894229820617	0.0	0.0	bc1002	Riboflavin
bc1002##Glycerol##Microbe##O2_e0	0.00952427768247137	0.0	0.0	bc1002	Glycerol
bc1002##Glycine##Microbe##O2_e0	0.07624309324005939	0.0	0.0	bc1002	Glycine
bc1002##L-Lysine##Microbe##O2_e0	0.04364361629727644	0.0	0.0	bc1002	L-Lysine
bc1002##BET##Microbe##O2_e0	0.0008581262819837607	0.0	0.0	bc1002	BET
bc1002##Nicotinamide ribonucleotide##Microbe##O2_e0	0.0004290631409926027	0.0	0.0	bc1002	Nicotinamide ribonucleotide
bc1002##dGTP##Microbe##O2_e0	0.0030018758396420904	0.0	0.0	bc1002	dGTP
bc1002##Sulfate##Microbe##O2_e0	0.00042906314099432216	0.0	0.0	bc1002	Sulfate
bc1002##AMP##Microbe##O2_e0	0.016416862153532472	0.0	0.0	bc1002	AMP
bc1002##Mg##Microbe##O2_e0	0.0004290631409938619	0.0	0.0	bc1002	Mg
bc1002##L-Threonine##Microbe##O2_e0	0.03227312655992175	0.0	0.0	bc1002	L-Threonine
bc1002##CO2##Microbe##O2_e0	-1.1046287383612063	0.0	0.0	bc1002	CO2
bc1002##Niacin##Microbe##O2_e0	-0.000429063140993171	0.0	0.0	bc1002	Niacin
bc1002##L-Arginine##Microbe##O2_e0	0.037720067751468196	0.0	0.0	bc1002	L-Arginine
bc1002##O2##Microbe##O2_e0	1.0000000000000024	0.0	0.0	bc1002	O2
bc1002##Chorismate##Microbe##O2_e0	0.000858126281988958	0.0	0.0	bc1002	Chorismate
