	0.0000-0.0000	0.0000-0.0009	0.0009-0.0010	0.0015-0.0016	0.0016-0.0018	0.0018-0.0029	0.0029-0.0040	0.0040-0.0113	0.0113-0.0990	0.2037-0.2037	0.2037-0.2053	0.2053-0.2053	0.2053-0.2055	0.2068-0.2076	0.2084-0.2090	0.2090-0.2102	0.2102-0.2104	0.2104-0.2110	0.2110-0.2118	0.2118-0.2118	0.2118-0.2278	0.2278-0.2279	0.2279-0.2295	0.2295-0.2907	0.2907-0.2911	0.2911-0.3185	0.3189-0.3286	0.3286-0.3288	0.3288-0.3367	0.3377-0.3879	0.3879-0.3907	0.3907-0.3929	0.3929-0.3934	0.3934-0.3941	0.3941-0.4154	0.4185-0.4207	0.4207-0.4212	0.4212-0.4213	0.4213-0.4221	0.4239-0.4242	0.4249-0.6309	0.6313-0.6321	0.6453-0.6933	0.6933-0.6979	0.6979-0.6994	0.6994-0.7019	0.7019-0.7026	0.7029-0.7044	0.8170-0.8794	0.8794-0.8794	0.9298-0.9992	0.9992-1.2693	1.2693-1.4832	1.4901-1.5437	1.5437-1.5441	1.5441-1.5476	1.5476-1.5502	1.5502-8.3154	8.3154-15.1652	15.1652-16.8236	16.8236-16.8255	16.8255-20.0000	Source	Target
PAN##Phosphate-e0##Clostridium_innocuum_I46	-127.45775495872242	-127.45775495872242	-127.45775496092017	-127.45775496597179	-127.45775496597179	-127.45775495968263	-127.45775495953268	-127.45775495958647	-127.4577549594981	-127.4577549590688	-127.45775496005811	-127.4577549594932	-127.45775495962789	-127.45775495952788	-127.45775495915404	-127.45775495954035	-127.45775495952549	-127.45775495934383	-127.45775495940586	-127.45775495928814	-127.45775495828241	-127.45775495964796	-127.45775495993807	-127.45775495986038	-127.45775496864358	-127.45775496555724	-127.4577549653129	-127.45775496422242	-127.45775496422087	-127.45775496395163	-127.45775496374655	-127.45775496374655	-127.45775496347102	-127.45775496350336	-127.45775496344626	-127.4577549570501	-127.45775495758302	-127.45775495953501	-127.45775495907891	-127.45775496045599	-127.45775495971998	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	PAN	Phosphate-e0
L-Aspartate-e0##D-Glucose-e0##Clostridium_innocuum_I46	0.05555555557294457	0.05555555557294457	-0.4999999999971339	-1.593750000023197	-1.593750000023197	-0.49999999999805234	-0.49999999999836314	-0.4999999999981582	-0.4999999999981373	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	L-Aspartate-e0	D-Glucose-e0
Spermidine-e0##D-Glucose-e0##Clostridium_innocuum_I46	0.4722222222294139	0.4722222222294139	0.7500000000004913	-0.45312499996817523	-0.45312499996817523	-0.1250000000012988	-0.7500000000021008	-0.25000000000117806	-0.25000000000096784	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Spermidine-e0	D-Glucose-e0
Thiamin-e0##D-Glucose-e0##Clostridium_innocuum_I46	4.97222222214843	4.97222222214843	-1.2499999999953009	-17.87499999968835	-17.87499999968835	-0.6666666666695945	-0.250000000001972	-1.0000000000034754	-1.0000000000047993	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Thiamin-e0	D-Glucose-e0
N-Acetyl-D-glucosamine-e0##D-Glucose-e0##Clostridium_innocuum_I46	1.499999999984102	1.499999999984102	-0.4999999999977879	-4.437499999950994	-4.437499999950994	0.08333333333416164	0.5000000000013136	0.5000000000014576	0.500000000001538	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	N-Acetyl-D-glucosamine-e0	D-Glucose-e0
D-Mannose-e0##D-Glucose-e0##Clostridium_innocuum_I46	1.000000000004771	1.000000000004771	1.0000000000005296	0.9999999999916654	0.9999999999916654	1.0000000000004632	1.000000000000425	1.0000000000004363	1.0000000000004463	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	D-Mannose-e0	D-Glucose-e0
Folate-e0##D-Glucose-e0##Clostridium_innocuum_I46	6.583333333296586	6.583333333296586	-0.24999999999072306	-11.07812499992563	-11.07812499992563	0.04166666667083438	0.25000000000385864	0.7500000000053617	0.7500000000063451	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Folate-e0	D-Glucose-e0
N-Acetyl-D-chondrosamine-e0##D-Glucose-e0##Clostridium_innocuum_I46	1.0555555555423586	1.0555555555423586	1.4999999999976403	2.375000000016873	2.375000000016873	1.4999999999984475	1.4999999999987312	1.499999999998515	1.4999999999985703	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	N-Acetyl-D-chondrosamine-e0	D-Glucose-e0
O2-e0##D-Glucose-e0##Clostridium_innocuum_I46	0.4444444444267957	0.4444444444267957	-0.9999999999989713	-3.843749999953819	-3.843749999953819	-0.4166666666664293	0.0	-0.5000000000000155	-0.5000000000007203	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	O2-e0	D-Glucose-e0
Riboflavin##D-Glucose-e0##Clostridium_innocuum_I46	2.52777777768366	2.52777777768366	-3.7499999999974722	-17.859374999723933	-17.859374999723933	-2.291666666669174	-1.2500000000004172	-1.2500000000003741	-1.250000000000694	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Riboflavin	D-Glucose-e0
PAN##D-Glucose-e0##Clostridium_innocuum_I46	-2774.460073332106	-2774.460073332106	-289.182143877188	4680.588261950976	4680.588261950976	-234.32872647618012	-195.1477140484871	-223.39401728750883	-223.39401728735547	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	PAN	D-Glucose-e0
PAN##Mn2+-e0##Clostridium_innocuum_I46	-0.9241112603138921	-0.9241112603138921	-0.9241112603280536	-0.9241112603128674	-0.9241112603128674	-0.9241112603216987	-0.9241112603212183	-0.9241112603215734	-0.9241112603207589	-0.9241112603175528	-0.9241112603250284	-0.9241112603202079	-0.9241112603242871	-0.9241112603214198	-0.9241112603185965	-0.9241112603214574	-0.9241112603212607	-0.9241112603199364	-0.9241112603203973	-0.9241112603195539	-0.9241112603165762	-0.9241112603213787	-0.9241112603246922	-0.9241112603241366	-0.9241112603483994	-0.9241112603468254	-0.9241112603443741	-0.9241112603387843	-0.9241112603387747	-0.9241112603346073	-0.9241112603344018	-0.9241112603344018	-0.9241112603328365	-0.9241112603330778	-0.9241112603326342	-0.9241112603003677	-0.9241112603038482	-0.9241112603190856	-0.9241112603155643	-0.924111260327186	-0.9241112603204925	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	PAN	Mn2+-e0
