	Avg_bc1009	Var_bc1009	Avg_bc1001	Var_bc1001	Avg_bc1008	Var_bc1008	Avg_bc1002	Var_bc1002	Avg_InAmount	Var_InAmount	Avg_OutAmount	Var_OutAmount	Avg_AllAmount	Var_AllAmount	In	InAmount	Out	OutAmount	All	AllAmount
1,2-Diacyl-sn-glycerol dioctadecanoyl	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.9999690738541913	9.564190999337466e-10	0.0	0.0	3.9999690738541913	9.564190999337466e-10	bc1001.bc1002.bc1008.bc1009	1		1	bc1001.bc1002.bc1008.bc1009	1
2-Oxoglutarate	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9999922684635478	5.977619374585916e-11	0.0	0.0	0.9999922684635478	5.977619374585916e-11	bc1008	1		1	bc1008	1
4-Hydroxybenzoate	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.9999690738541913	9.564190999337466e-10	0.0	0.0	3.9999690738541913	9.564190999337466e-10	bc1001.bc1002.bc1008.bc1009	1		1	bc1001.bc1002.bc1008.bc1009	1
5-Aminolevulinate	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.9999690738541913	9.564190999337466e-10	0.0	0.0	3.9999690738541913	9.564190999337466e-10	bc1001.bc1002.bc1008.bc1009	1		1	bc1001.bc1002.bc1008.bc1009	1
AMP	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.9999690738541913	9.564190999337466e-10	0.0	0.0	3.9999690738541913	9.564190999337466e-10	bc1001.bc1002.bc1008.bc1009	1		1	bc1001.bc1002.bc1008.bc1009	1
ARSENOBETAINE	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Acetate	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.9999690738541913	9.564190999337466e-10	0.0	0.0	3.9999690738541913	9.564190999337466e-10	bc1001.bc1002.bc1008.bc1009	1		1	bc1001.bc1002.bc1008.bc1009	1
Adenine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Adenosine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9999922684635478	5.977619374585916e-11	0.0	0.0	0.9999922684635478	5.977619374585916e-11	bc1001	1		1	bc1001	1
Ala-Ala	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.9999768053906437	5.37985743702432e-10	0.0	0.0	2.9999768053906437	5.37985743702432e-10	bc1001.bc1002.bc1009	1		1	bc1001.bc1002.bc1009	1
Arsenate	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Arsenite	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
BET	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.9999690738541913	9.564190999337466e-10	0.0	0.0	3.9999690738541913	9.564190999337466e-10	bc1001.bc1002.bc1008.bc1009	1		1	bc1001.bc1002.bc1008.bc1009	1
BIOT	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.9999690738541913	9.564190999337466e-10	0.0	0.0	3.9999690738541913	9.564190999337466e-10	bc1001.bc1002.bc1008.bc1009	1		1	bc1001.bc1002.bc1008.bc1009	1
CMP	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.9999690738541913	9.564190999337466e-10	0.0	0.0	3.9999690738541913	9.564190999337466e-10	bc1001.bc1002.bc1008.bc1009	1		1	bc1001.bc1002.bc1008.bc1009	1
CO2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.9999690738541913	9.564190999337466e-10	0.0	0.0	3.9999690738541913	9.564190999337466e-10	bc1001.bc1002.bc1008.bc1009	1		1	bc1001.bc1002.bc1008.bc1009	1
Ca2+	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.9999690738541913	9.564190999337466e-10	0.0	0.0	3.9999690738541913	9.564190999337466e-10	bc1001.bc1002.bc1008.bc1009	1		1	bc1001.bc1002.bc1008.bc1009	1
Cbl	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Chitobiose	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9999922684635478	5.977619374585916e-11	0.0	0.0	0.9999922684635478	5.977619374585916e-11	bc1008	1		1	bc1008	1
Chorismate	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.9999690738541913	9.564190999337466e-10	0.0	0.0	3.9999690738541913	9.564190999337466e-10	bc1001.bc1002.bc1008.bc1009	1		1	bc1001.bc1002.bc1008.bc1009	1
Citrate	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9999922684635478	5.977619374585916e-11	0.0	0.0	0.9999922684635478	5.977619374585916e-11	bc1008	1		1	bc1008	1
