	0.0000-0.0000	0.0000-0.0006	0.0006-0.0057	0.0058-0.0058	0.0058-0.0060	0.0060-0.0097	0.0097-0.0103	0.0110-0.0123	0.0123-0.0124	0.0124-0.0126	0.0126-0.0128	0.0128-0.0128	0.0128-0.0131	0.0131-0.0132	0.0132-0.0163	0.0164-0.0173	0.0175-0.0177	0.0177-0.0178	0.0178-0.0180	0.0181-0.0181	0.0181-0.0318	0.0333-0.0333	0.0404-0.0432	0.0457-0.0459	0.0459-0.0470	0.0528-0.1927	0.1927-0.2431	0.2555-0.2772	0.2772-1.5905	1.5905-1.6150	1.6150-1.6153	1.6153-6.0477	6.0477-6.0526	6.0526-6.0530	6.0530-6.0804	6.0804-6.1199	6.1199-6.1255	6.1255-20.0000	Source	Target
Thiamine##Glycine-e0##Limosilactobacillus_reuteri_I49	-1.0000000000046734	-1.0000000000046734	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.99999999974296	-20.000000000343714	-25.00000000062978	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Thiamine	Glycine-e0
PAN##Glycine-e0##Limosilactobacillus_reuteri_I49	96.0635255718977	96.0635255718977	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-1242.4098405320378	-2882.744502178833	2177.0464806525147	2905.785889024727	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	PAN	Glycine-e0
PAN##Phosphate-e0##Limosilactobacillus_reuteri_I49	-129.86418562012176	-129.86418562012176	-129.86418562003135	-129.86418561451427	-129.8641856252899	-129.8641856198151	-129.86418561910713	-129.86418561909667	-129.86418561861746	-129.86418561854939	-129.86418561847077	-129.86418561786354	-129.86418561625743	-129.86418562102975	-129.86418562209198	-129.86418561882078	-129.86418562154748	-129.86418561845383	-129.86418561889053	-129.86418561931396	-129.86418561877508	-129.8641856140539	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	PAN	Phosphate-e0
Folate-e0##L-Glutamate-e0##Limosilactobacillus_reuteri_I49	1.0000000000032225	1.0000000000032225	1.0000000000031983	0.999999999991265	1.000000000012752	1.0000000000039808	1.0000000000020788	1.000000000001034	9.999999999960346	7.999999999980047	6.000000000006177	0.9999999999973684	0.9999999999897279	1.0000000000071172	-1.5000000000469293	-1.4999999999974958	-11.000000000089335	8.000000000012001	-1.4999999999986269	-0.20588235294422913	6.999999999975474	9.499999999825768	8.99999999998894	-4.500000000003263	-7.675120582499049	-14.166666666681337	-14.166666666681337	-14.166666666681337	-14.166666666681337	-14.166666666681337	-14.166666666681337	-14.166666666681142	-14.166666666681142	-14.166666666681142	-14.166666666681142	-14.166666666681142	-14.166666667096962	-14.16666666668076	Folate-e0	L-Glutamate-e0
PAN##L-Glutamate-e0##Limosilactobacillus_reuteri_I49	-68.8188762131833	-68.8188762131833	-68.81887621312738	-68.81887620975955	-68.81887621590627	-68.81887621332567	-68.81887621302103	-68.81887621297177	-547.355135761405	-581.4761162690658	-615.5970967766799	-68.81887621224767	-68.8188762114172	-68.81887621394344	295.550827963145	295.5508279556107	1857.5227582528164	-1266.421102328229	311.2117118106039	156.20520453343116	-1014.646120275735	-4143.0482686958485	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	PAN	L-Glutamate-e0
Spermidine-e0##D-Glucose-e0##Limosilactobacillus_reuteri_I49	1.9999999999219058	1.9999999999219058	1.9999999999184852	6.999999999366842	4.9999999999570734	0.9999999999800888	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Spermidine-e0	D-Glucose-e0
Pyruvate-e0##D-Glucose-e0##Limosilactobacillus_reuteri_I49	1.000000000006881	1.000000000006881	1.0000000000068956	1.0000000000269766	1.0000000000205431	1.000000000001904	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Pyruvate-e0	D-Glucose-e0
D-Mannose-e0##D-Glucose-e0##Limosilactobacillus_reuteri_I49	1.0000000000097742	1.0000000000097742	1.0000000000098237	1.000000000038667	1.0000000000295408	1.0000000000026197	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	D-Mannose-e0	D-Glucose-e0
Melitose-e0##D-Glucose-e0##Limosilactobacillus_reuteri_I49	6.500000000060041	6.500000000060041	6.50000000006167	18.999999999467267	14.000000000638671	4.000000000020253	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Melitose-e0	D-Glucose-e0
Folate-e0##D-Glucose-e0##Limosilactobacillus_reuteri_I49	15.5000000001715	15.5000000001715	15.500000000174106	57.99999999805043	41.000000002102645	7.000000000060754	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Folate-e0	D-Glucose-e0
Urea-e0##D-Glucose-e0##Limosilactobacillus_reuteri_I49	1.5000000000347806	1.5000000000347806	1.5000000000340739	8.999999999666619	6.000000000381718	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Urea-e0	D-Glucose-e0
Sucrose##D-Glucose-e0##Limosilactobacillus_reuteri_I49	4.000000000027218	4.000000000027218	4.000000000027355	13.999999999490992	10.0000000004502	2.0000000000106546	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Sucrose	D-Glucose-e0
Thiamine##D-Glucose-e0##Limosilactobacillus_reuteri_I49	21.50000000023325	21.50000000023325	22.500000000208086	69.9999999978677	50.000000002580265	8.00000000007512	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Thiamine	D-Glucose-e0
Riboflavin##D-Glucose-e0##Limosilactobacillus_reuteri_I49	14.50000000011219	14.50000000011219	14.500000000112784	51.9999999981019	37.00000000172804	7.000000000043267	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Riboflavin	D-Glucose-e0
PAN##D-Glucose-e0##Limosilactobacillus_reuteri_I49	-3840.517356490753	-3840.517356490753	-3936.58088205972	-16214.90628122631	-11327.458088465884	-1144.767336251355	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	PAN	D-Glucose-e0
PAN##Mn2+-e0##Limosilactobacillus_reuteri_I49	-0.706062535977117	-0.706062535977117	-0.7060625359765361	-0.7060625359458796	-0.7060625360093065	-0.7060625359776137	-0.7060625359736769	-0.7060625359732824	-0.7060625359706285	-0.7060625359702247	-0.7060625359698014	-0.7060625359654796	-0.7060625359567158	-0.7060625359837103	-0.7060625359893205	-0.706062535971272	-0.7060625359771933	-0.7060625359730675	-0.7060625359716147	-0.7060625359771302	-0.7060625359707768	-0.7060625359414782	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	PAN	Mn2+-e0
