	0.0000-0.0000	0.0000-0.0012	0.0727-0.0728	0.0728-0.0732	0.0732-0.0827	0.0827-0.0992	0.0992-0.0992	0.1043-0.1047	0.1047-0.2051	0.2051-0.2306	0.2306-0.2358	0.2358-0.2377	0.2377-0.2377	0.2377-0.2453	0.2453-0.2454	0.2454-0.2508	0.2508-0.2510	0.2510-0.2510	0.2510-0.3018	0.3018-0.3018	0.3018-0.3272	0.3272-0.3272	0.3272-0.5181	0.5181-0.5181	0.5181-0.5182	0.5182-0.5182	0.5182-0.5524	0.5524-0.5525	0.5525-0.8022	1.0523-1.0523	1.0523-1.0577	1.0577-1.1162	1.1162-1.2203	1.2203-1.2203	1.2322-1.3973	1.3973-1.4067	1.4067-1.4927	1.4927-1.4927	1.4928-1.4928	1.4928-1.4929	1.4929-1.4930	1.4930-1.4987	1.4987-20.0000	Source	Target
PAN##Phosphate-e0##Bacteroides_caecimuris_I48	-127.45775495892029	-127.45775495892029	-127.45775495791591	-127.45775495762192	-127.45775495747088	-127.45775495761104	-127.4577549600479	-127.4577549588781	-127.45775495857677	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	PAN	Phosphate-e0
PAN##Mn2+-e0##Bacteroides_caecimuris_I48	-0.9241112603164005	-0.9241112603164005	-0.9241112603074175	-0.9241112603044185	-0.9241112603037515	-0.9241112603055115	-0.9241112603253013	-0.9241112603153001	-0.9241112603124015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	PAN	Mn2+-e0
PAN##Zn2+-e0##Bacteroides_caecimuris_I48	-0.9241112603159567	-0.9241112603159567	-0.9241112603063276	-0.9241112603024005	-0.924111260302531	-0.9241112603042841	-0.9241112603264107	-0.9241112603150703	-0.9241112603112025	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	PAN	Zn2+-e0
PAN##Sulfate-e0##Bacteroides_caecimuris_I48	-0.9241112602964816	-0.9241112602964816	-0.9241112596076421	-0.9241112591507964	-0.9241112594578055	-0.9241112597272283	-0.9241112606154003	-0.9241112600442297	-0.924111259561069	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	PAN	Sulfate-e0
PAN##Co2+-e0##Bacteroides_caecimuris_I48	-0.9241112603161589	-0.9241112603161589	-0.9241112603063973	-0.9241112603013213	-0.9241112603014658	-0.9241112603035199	-0.9241112603274625	-0.9241112603158215	-0.9241112603111157	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	PAN	Co2+-e0
Spermidine-e0##Spermidine-e0##Bacteroides_caecimuris_I48	-0.9999999999999999	-0.9999999999999999	-0.9999999999999991	-1.0000000000000002	-1.0000000000000004	-0.9999999999999996	-1.0	-0.9999999999999999	-1.0000000000000013	-1.0000000000000009	-1.0000000000000007	-1.0000000000000009	-0.9999999999995279	-1.000000000000018	-1.000000000000208	-0.9999999999997382	-1.0000000000001588	-1.000000000000145	-1.000000000000027	-1.0000000000001297	-0.9999999999998425	-1.0000000000000522	-1.0000000000000522	-0.9999999999999446	-0.9999999999999615	-1.000000000000039	-0.9999999999999827	-1.000000000000141	-0.9999999999999788	-1.0000000000000226	-0.9999999999998803	-0.999999999999898	-1.0000000000001212	-1.0000000000000973	-0.9999999999999972	-0.9999999999999976	-1.0000000000000326	-1.000000000000111	-1.000000000000001	0.0	0.0	0.0	0.0	Spermidine-e0	Spermidine-e0
PAN##fe3-e0##Bacteroides_caecimuris_I48	-0.9241112603173197	-0.9241112603173197	-0.9241112600400481	-0.9241112598548852	-0.9241112599939361	-0.9241112600919609	-0.9241112604488345	-0.9241112602132088	-0.9241112600188242	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	PAN	fe3-e0
Spermidine-e0##H+-e0##Bacteroides_caecimuris_I48	4.000000000005727	4.000000000005727	7.333333333315683	5.66666666666395	5.666666666661175	5.666666666660817	5.00000000000483	6.333333333313858	5.999999999984846	5.472956766699914	5.47282689009407	5.471329284802353	3866.321187849839	-3368.311226192287	4098.237772889211	3013.5768879272505	441.910757023104	-723.6020981337608	-17.815337769189384	1524.6597388951748	1524.6597388947857	1508.6597390070212	1508.6597390070212	380.0232529636976	380.02325295082346	380.02325295143237	2629.4489862146597	-1677.0689329517054	-1677.0689329125794	-1677.0689329531774	-1677.0689329573179	572.704443384444	-3276.603717284768	293.211732849016	-5053.299632733183	-5053.2996327432265	-1637.2624512626924	-6538.86263175826	4.4559525207206265	0.0	0.0	0.0	0.0	Spermidine-e0	H+-e0
Folate##H+-e0##Bacteroides_caecimuris_I48	-3.999999999987941	-3.999999999987941	0.6666666665979895	-1.6666666666853913	-1.6666666666863874	-1.66666666668687	-9.000000000056936	5.666666666683132	2.499999999997884	-4.088040416262029	-4.0896638738387745	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Folate	H+-e0
Riboflavin##H+-e0##Bacteroides_caecimuris_I48	-4.9999999999973355	-4.9999999999973355	3.6666666666085055	-0.6666666666799275	-0.6666666666853343	-0.6666666666862961	-7.000000000043815	5.666666666669062	2.4999999999882934	-2.50691071635825	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Riboflavin	H+-e0
