	0.4202	0.4202	0.4203	0.4217	0.4217	0.4218	0.4222	0.4229	0.4234	0.4235	1.1763	Source	Target
bc1002##bc1001##O2	0.0	0.0	-0.11755440083516433	0.0	0.0	0.269915768783746	0.0	0.0	0.0	0.0	0.0	bc1002	bc1001
bc1003##bc1001##O2	0.0	0.0	0.0	0.0	0.0	0.2774753036950088	0.0	0.0	0.0	0.0	0.0	bc1003	bc1001
bc1008##bc1001##O2	0.0	0.0	0.0	0.0	0.0	0.0034154906736591317	0.0	0.0	0.0	0.0	0.0	bc1008	bc1001
bc1009##bc1001##O2	0.0	0.0	0.0	0.0	0.0	0.15236136794858157	0.0	0.0	0.0	0.0	0.0	bc1009	bc1001
bc1010##bc1001##O2	0.0	0.0	0.0	0.0	0.0	0.15236136794858018	0.0	0.0	0.0	0.0	0.0	bc1010	bc1001
bc1011##bc1001##O2	-0.11704485651750102	-0.11704485651750102	0.0	0.0	0.0	0.26940622446608276	0.0	0.0	0.0	0.0	0.0	bc1011	bc1001
bc1012##bc1001##O2	0.0	0.0	0.0	0.0	0.0	0.15236136794858154	0.0	0.0	0.0	0.0	0.0	bc1012	bc1001
bc1015##bc1001##O2	0.0	0.0	0.0	7.66053886991358e-15	7.66053886991358e-15	0.15236136794857424	0.0	0.0	0.0	0.0	0.0	bc1015	bc1001
bc1016##bc1001##O2	0.0	0.0	0.0	0.0	0.0	0.003415490649107333	0.0	0.0	0.0	0.0	0.0	bc1016	bc1001
bc1001##bc1002##O2	0.0	0.0	0.15290050085943388	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	bc1001	bc1002
bc1003##bc1002##O2	0.0	0.0	0.15290050085943346	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	bc1003	bc1002
bc1008##bc1002##O2	0.0	0.0	0.0034275764369577303	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	bc1008	bc1002
bc1009##bc1002##O2	0.0	0.0	0.15290050085943344	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	bc1009	bc1002
bc1010##bc1002##O2	0.0	0.0	0.15290050085943205	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	bc1010	bc1002
bc1011##bc1002##O2	-0.11745902144030362	-0.11745902144030362	0.2703595222997372	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	bc1011	bc1002
bc1012##bc1002##O2	0.0	0.0	0.1529005008594334	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	bc1012	bc1002
bc1015##bc1002##O2	0.0	0.0	0.15290050085943377	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	bc1015	bc1002
bc1016##bc1002##O2	0.0	0.0	0.003427576412319055	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	bc1016	bc1002
bc1001##bc1003##O2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	bc1001	bc1003
bc1002##bc1003##O2	0.0	0.0	-0.1180288751156938	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	bc1002	bc1003
bc1008##bc1003##O2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	bc1008	bc1003
bc1009##bc1003##O2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	bc1009	bc1003
bc1010##bc1003##O2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	bc1010	bc1003
bc1011##bc1003##O2	-0.11751727417001995	-0.11751727417001995	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	bc1011	bc1003
bc1012##bc1003##O2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	bc1012	bc1003
bc1015##bc1003##O2	0.0	0.0	0.0	7.716050021144838e-15	7.716050021144838e-15	0.0	0.0	0.0	0.0	0.0	0.0	bc1015	bc1003
bc1016##bc1003##O2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	bc1016	bc1003
bc1001##bc1008##D-Glucose	0.0	0.0	0.0	0.0	0.0	-0.025929424253753643	0.0	0.0	0.0	0.0	0.0	bc1001	bc1008
bc1002##bc1008##D-Glucose	0.0	0.0	-0.02502220189360877	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	bc1002	bc1008
bc1003##bc1008##D-Glucose	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	bc1003	bc1008
bc1009##bc1008##D-Glucose	0.0	0.0	0.0	0.0	0.0	-0.025920298204576912	0.0	0.0	0.0	0.0	0.0	bc1009	bc1008
bc1010##bc1008##D-Glucose	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-4.0245584642661925e-16	0.0	bc1010	bc1008
