	Avg_bc1003	Var_bc1003	Avg_bc1009	Var_bc1009	Avg_InAmount	Var_InAmount	Avg_OutAmount	Var_OutAmount	Avg_AllAmount	Var_AllAmount	In	InAmount	Out	OutAmount	All	AllAmount
1,2-Diacyl-sn-glycerol dioctadecanoyl	0.0	0.0	0.0	0.0	1.9999999451668065	3.006679031501517e-15	0.0	0.0	1.9999999451668065	3.006679031501517e-15	bc1003.bc1009	1		1	bc1003.bc1009	1
4-Hydroxybenzoate	0.0	0.0	0.0	0.0	1.9999999451668065	3.006679031501517e-15	0.0	0.0	1.9999999451668065	3.006679031501517e-15	bc1003.bc1009	1		1	bc1003.bc1009	1
5-Aminolevulinate	0.0	0.0	0.0	0.0	1.9999999451668065	3.006679031501517e-15	0.0	0.0	1.9999999451668065	3.006679031501517e-15	bc1003.bc1009	1		1	bc1003.bc1009	1
AMP	0.0	0.0	0.0	0.0	1.9999999451668065	3.006679031501517e-15	0.0	0.0	1.9999999451668065	3.006679031501517e-15	bc1003.bc1009	1		1	bc1003.bc1009	1
Acetate	0.0	0.0	0.0	0.0	1.9999999451668065	3.006679031501517e-15	0.0	0.0	1.9999999451668065	3.006679031501517e-15	bc1003.bc1009	1		1	bc1003.bc1009	1
Adenine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Ala-Ala	0.0	0.0	0.0	0.0	1.9999999451668065	3.006679031501517e-15	0.0	0.0	1.9999999451668065	3.006679031501517e-15	bc1003.bc1009	1		1	bc1003.bc1009	1
Arsenate	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Arsenite	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
BET	0.0	0.0	0.0	0.0	1.9999999451668065	3.006679031501517e-15	0.0	0.0	1.9999999451668065	3.006679031501517e-15	bc1003.bc1009	1		1	bc1003.bc1009	1
BIOT	0.0	0.0	0.0	0.0	1.9999999451668065	3.006679031501517e-15	0.0	0.0	1.9999999451668065	3.006679031501517e-15	bc1003.bc1009	1		1	bc1003.bc1009	1
CMP	0.0	0.0	0.0	0.0	1.9999999451668065	3.006679031501517e-15	0.0	0.0	1.9999999451668065	3.006679031501517e-15	bc1003.bc1009	1		1	bc1003.bc1009	1
CO2	0.0	0.0	0.0	0.0	1.9999999451668065	3.006679031501517e-15	0.0	0.0	1.9999999451668065	3.006679031501517e-15	bc1003.bc1009	1		1	bc1003.bc1009	1
Ca2+	0.0	0.0	0.0	0.0	1.9999999451668065	3.006679031501517e-15	0.0	0.0	1.9999999451668065	3.006679031501517e-15	bc1003.bc1009	1		1	bc1003.bc1009	1
