	Source	Target	SourceType	Weight	ABS_Weight	Sign_Weight	ABSRootWeight	SignedRootWeight
0	Clostridium_innocuum_I46	L-Isoleucine-e0	Microbe	-44.48445267430042	44.48445267430042	-1.0	6.669666608931846	-6.669666608931846
1	Clostridium_innocuum_I46	L-Leucine-e0	Microbe	-64.72644010481257	64.72644010481257	-1.0	8.045274395868208	-8.045274395868208
2	Clostridium_innocuum_I46	L-Phenylalanine	Microbe	-22.28019597208944	22.28019597208944	-1.0	4.720190247446541	-4.720190247446541
3	Clostridium_innocuum_I46	NAD-e0-e0	Microbe	98.03931375725598	98.03931375725598	1.0	9.901480382107312	9.901480382107312
4	Clostridium_innocuum_I46	H+-e0	Microbe	-545.8198762630204	545.8198762630204	-1.0	23.362788281004054	-23.362788281004054
5	Clostridium_innocuum_I46	L-Glutamate-e0	Microbe	-1403.4681891999053	1403.4681891999053	-1.0	37.46289082812357	-37.46289082812357
6	Clostridium_innocuum_I46	Thiamin-e0	Microbe	-1.0000000000000016	1.0000000000000016	-1.0	1.0000000000000007	-1.0000000000000007
7	Clostridium_innocuum_I46	Inosine	Microbe	-291.5574697492996	291.5574697492996	-1.0	17.07505401892772	-17.07505401892772
8	Clostridium_innocuum_I46	Mg-e0	Microbe	-0.9241112603164184	0.9241112603164184	-1.0	0.9613070582890871	-0.9613070582890871
9	Clostridium_innocuum_I46	L-Asparagine-e0	Microbe	-0.999999999999997	0.999999999999997	-1.0	0.9999999999999984	-0.9999999999999984
10	Clostridium_innocuum_I46	Ca2+-e0	Microbe	-0.9241112603164343	0.9241112603164343	-1.0	0.9613070582890955	-0.9613070582890955
11	Clostridium_innocuum_I46	H2O-e0	Microbe	2234.7817254024553	2234.7817254024553	1.0	47.27347803369724	47.27347803369724
12	Clostridium_innocuum_I46	fe3-e0	Microbe	-0.9241112603142138	0.9241112603142138	-1.0	0.9613070582879405	-0.9613070582879405
13	Clostridium_innocuum_I46	Mn2+-e0	Microbe	-0.9241112603126375	0.9241112603126375	-1.0	0.9613070582871206	-0.9613070582871206
14	Clostridium_innocuum_I46	D-Mannose-e0	Microbe	-0.9999999999999991	0.9999999999999991	-1.0	0.9999999999999996	-0.9999999999999996
15	Clostridium_innocuum_I46	CO2-e0	Microbe	-142.46363815643844	142.46363815643844	-1.0	11.93581325911387	-11.93581325911387
16	Clostridium_innocuum_I46	Fe2+-e0	Microbe	-1.9241112603099966	1.9241112603099966	-1.0	1.387123376023199	-1.387123376023199
17	Clostridium_innocuum_I46	L-Methionine-e0	Microbe	-19.482435294900988	19.482435294900988	-1.0	4.413891173885123	-4.413891173885123
18	Clostridium_innocuum_I46	K+-e0	Microbe	-0.9241112603149753	0.9241112603149753	-1.0	0.9613070582883365	-0.9613070582883365
19	Clostridium_innocuum_I46	O2-e0	Microbe	-0.9999999999999996	0.9999999999999996	-1.0	0.9999999999999998	-0.9999999999999998
20	Clostridium_innocuum_I46	L-Tyrosine	Microbe	-16.083554956494222	16.083554956494222	-1.0	4.010430769442881	-4.010430769442881
21	Clostridium_innocuum_I46	PAN	Microbe	-0.9999999999998209	0.9999999999998209	-1.0	0.9999999999999104	-0.9999999999999104
22	Clostridium_innocuum_I46	L-Glutamine-e0	Microbe	-0.9999999999999998	0.9999999999999998	-1.0	0.9999999999999999	-0.9999999999999999
23	Clostridium_innocuum_I46	XAN-e0	Microbe	136.9333703781868	136.9333703781868	1.0	11.701853288184175	11.701853288184175
24	Clostridium_innocuum_I46	Uracil-e0	Microbe	-39.642230877478035	39.642230877478035	-1.0	6.2962076583827855	-6.2962076583827855
25	Clostridium_innocuum_I46	Co2+-e0	Microbe	-0.9241112603166571	0.9241112603166571	-1.0	0.9613070582892114	-0.9613070582892114
26	Clostridium_innocuum_I46	L-Alanine-e0	Microbe	692.5572176206229	692.5572176206229	1.0	26.316481862525297	26.316481862525297
27	Clostridium_innocuum_I46	Acetate-e0	Microbe	-1579.2296515082924	1579.2296515082924	-1.0	39.73952253749776	-39.73952253749776
28	Clostridium_innocuum_I46	L-Threonine-e0	Microbe	-167.1238598539038	167.1238598539038	-1.0	12.92763937669611	-12.92763937669611
29	Clostridium_innocuum_I46	Sulfate-e0	Microbe	-0.9241112603150873	0.9241112603150873	-1.0	0.9613070582883948	-0.9613070582883948
30	Clostridium_innocuum_I46	Zn2+-e0	Microbe	-0.9241112603182388	0.9241112603182388	-1.0	0.9613070582900339	-0.9613070582900339
31	Clostridium_innocuum_I46	N-Acetyl-D-glucosamine-e0	Microbe	-0.9999999999999984	0.9999999999999984	-1.0	0.9999999999999992	-0.9999999999999992
32	Clostridium_innocuum_I46	Cl--e0	Microbe	-0.9241112603139972	0.9241112603139972	-1.0	0.9613070582878278	-0.9613070582878278
33	Clostridium_innocuum_I46	H2S-e0	Microbe	1.0000000000105744	1.0000000000105744	1.0	1.000000000005287	1.000000000005287
34	Clostridium_innocuum_I46	5-Methylthio-D-ribose-e0	Microbe	-0.500000000016611	0.500000000016611	-1.0	0.7071067811982933	-0.7071067811982933
35	Clostridium_innocuum_I46	Riboflavin	Microbe	-0.9999999999999992	0.9999999999999992	-1.0	0.9999999999999996	-0.9999999999999996
36	Clostridium_innocuum_I46	Cu2+-e0	Microbe	-0.9241112603194139	0.9241112603194139	-1.0	0.9613070582906452	-0.9613070582906452
37	PAN	Clostridium_innocuum_I46	Metabolite	126.68907411722167	126.68907411722167	1.0	11.25562411051567	11.25562411051567
