	0.0000-0.0000	0.0067-0.0071	0.0071-0.0078	0.0078-0.0113	0.0113-0.0176	0.0176-0.2791	0.2791-0.3051	0.3051-8.5359	8.5359-9.4819	9.4819-11.8500	11.8500-16.1491	16.1491-20.0000	Source	Target
Akkermansia_muciniphilaYL44##Enterocloster_clostridioformis_YL32##PAN	-126.68907411876174	-126.68907412074664	-126.68907412024826	-126.68907412241025	-126.68907412109681	-126.68907411870055	-126.6890741212407	-126.68907411849325	-126.68907411989076	-126.6890741198993	-126.68907411987657	-126.68907411979654	Akkermansia_muciniphilaYL44	Enterocloster_clostridioformis_YL32
Enterocloster_clostridioformis_YL32##Akkermansia_muciniphilaYL44##PAN	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-126.68907411953197	-126.68907411951875	-126.68907407768793	-126.6890740776118	Enterocloster_clostridioformis_YL32	Akkermansia_muciniphilaYL44
