	Source	Target	SourceType	Weight	ABS_Weight	Sign_Weight	ABSRootWeight	SignedRootWeight
0	Riboflavin	Bifidobacterium_animalis_YL2	Metabolite	96.79614651533197	96.79614651533197	1.0	9.838503266012161	9.838503266012161
21	Muribaculum_intestinale_YL27	Riboflavin	Microbe	-1.0000000000000049	1.0000000000000049	-1.0	1.0000000000000024	-1.0000000000000024
59	Riboflavin	Muribaculum_intestinale_YL27	Metabolite	126.68907411823325	126.68907411823325	1.0	11.255624110560607	11.255624110560607
83	Bifidobacterium_animalis_YL2	Riboflavin	Microbe	-1.0000000000013445	1.0000000000013445	-1.0	1.0000000000006721	-1.0000000000006721
