	Avg_bc1009	Var_bc1009	Avg_bc1015	Var_bc1015	Avg_InAmount	Var_InAmount	Avg_OutAmount	Var_OutAmount	Avg_AllAmount	Var_AllAmount	In	InAmount	Out	OutAmount	All	AllAmount
1,2-Diacyl-sn-glycerol dioctadecanoyl	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	2.0	0.0	bc1009.bc1015	1		1	bc1009.bc1015	1
4-Hydroxybenzoate	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	2.0	0.0	bc1009.bc1015	1		1	bc1009.bc1015	1
5-Aminolevulinate	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	2.0	0.0	bc1009.bc1015	1		1	bc1009.bc1015	1
AMP	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	2.0	0.0	bc1009.bc1015	1		1	bc1009.bc1015	1
Acetate	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	2.0	0.0	bc1009.bc1015	1		1	bc1009.bc1015	1
Adenine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Ala-Ala	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	2.0	0.0	bc1009.bc1015	1		1	bc1009.bc1015	1
Arsenate	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	bc1015	1		1	bc1015	1
Arsenite	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	bc1015	1		1	bc1015	1
BET	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	2.0	0.0	bc1009.bc1015	1		1	bc1009.bc1015	1
BIOT	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	2.0	0.0	bc1009.bc1015	1		1	bc1009.bc1015	1
CMP	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	2.0	0.0	bc1009.bc1015	1		1	bc1009.bc1015	1
CO2	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	2.0	0.0	bc1009.bc1015	1		1	bc1009.bc1015	1
Ca2+	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	2.0	0.0	bc1009.bc1015	1		1	bc1009.bc1015	1
Cbl	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Chorismate	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	2.0	0.0	bc1009.bc1015	1		1	bc1009.bc1015	1
Cl-	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	2.0	0.0	bc1009.bc1015	1		1	bc1009.bc1015	1
Co2+	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	2.0	0.0	bc1009.bc1015	1		1	bc1009.bc1015	1
CoA	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	2.0	0.0	bc1009.bc1015	1		1	bc1009.bc1015	1
Cu2+	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	2.0	0.0	bc1009.bc1015	1		1	bc1009.bc1015	1
Cytosine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
D-Arabinose	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	2.0	0.0	bc1009.bc1015	1		1	bc1009.bc1015	1
D-Glucose	0.13050409844687375	0.017627251433480075	0.14446083180578353	0.019395825466766922	2.0	0.0	1.0365467796398868	0.99862560812559	3.036546779639887	0.99862560812559	bc1009.bc1015	1	.bc1015.bc1009.bc1015	3	bc1009.bc1015.bc1015bc1009.bc1015.bc1009.bc1015bc1009.bc1015	3
