	bc1016	bc1015	bc1011	In	InAmount	Out	OutAmount	All	AllAmount
1,2-Diacyl-sn-glycerol dioctadecanoyl	0.0	0.0	0.0	bc1011.bc1015.bc1016	3		0	bc1011.bc1015.bc1016	3
2-Oxoglutarate	0.0	0.0	0.0	bc1016	1		0	bc1016	1
4-Hydroxybenzoate	0.0	0.0	0.0	bc1011.bc1015.bc1016	3		0	bc1011.bc1015.bc1016	3
5-Aminolevulinate	0.0	0.0	0.0	bc1011.bc1015.bc1016	3		0	bc1011.bc1015.bc1016	3
AMP	0.0	0.0	0.0	bc1011.bc1015.bc1016	3		0	bc1011.bc1015.bc1016	3
ARSENOBETAINE	0.0	0.0	0.0		0		0		0
Acetate	0.0	0.0	0.0	bc1011.bc1015.bc1016	3		0	bc1011.bc1015.bc1016	3
Adenine	0.0	0.0	0.0		0		0		0
Adenosine	0.0	0.0	0.0	bc1011	1		0	bc1011	1
Ala-Ala	0.0	0.0	0.0	bc1015	1		0	bc1015	1
Arsenate	0.0	0.0	0.0	bc1015	1		0	bc1015	1
Arsenite	0.0	0.0	0.0	bc1015	1		0	bc1015	1
BET	0.0	0.0	0.0	bc1011.bc1015.bc1016	3		0	bc1011.bc1015.bc1016	3
BIOT	0.0	0.0	0.0	bc1011.bc1015.bc1016	3		0	bc1011.bc1015.bc1016	3
CMP	0.0	0.0	0.0	bc1011.bc1015.bc1016	3		0	bc1011.bc1015.bc1016	3
CO2	0.0	0.0	0.0	bc1011.bc1015.bc1016	3		0	bc1011.bc1015.bc1016	3
Ca2+	0.0	0.0	0.0	bc1011.bc1015.bc1016	3		0	bc1011.bc1015.bc1016	3
Cbl	0.0	0.0	0.0		0		0		0
Chitobiose	0.0	0.0	0.0	bc1016	1		0	bc1016	1
Chorismate	0.0	0.0	0.0	bc1011.bc1015.bc1016	3		0	bc1011.bc1015.bc1016	3
Citrate	0.0	0.0	0.0	bc1016	1		0	bc1016	1
