	IntegralDiff	MaxDiff	MaxTime
1,2-Diacyl-sn-glycerol dioctadecanoyl_e0	2.4371482106945127e-07	1.870818955353236e-06	0.29574357435743576
4-Hydroxybenzoate_e0	5.426302459276465e-09	4.123180583798419e-08	0.29554455445544553
5-Aminolevulinate_e0	4.317340694662798e-08	3.328537199333387e-07	0.29554455445544553
AMP_e0	1.8327704933256025e-07	1.3863047213660796e-06	0.29574357435743576
ARSENOBETAINE_e0	0.0	0.0	0.0
Acetate_e0	6.55106144535053e-06	4.946828981878199e-05	0.29554455445544553
Adenine_e0	0.0	0.0	0.0
Adenosine_e0	3.307700955311525e-08	2.1733798624704855e-07	0.29554455445544553
Ala-Ala_e0	4.825692144229749e-08	3.70693851673088e-07	0.29574357435743576
BET_e0	1.0902763832106543e-08	8.329110164012361e-08	0.29574357435743576
BIOT_e0	5.426302459276465e-09	4.123180583798419e-08	0.29554455445544553
CMP_e0	1.63623568265171e-07	1.2565783113901088e-06	0.29574357435743576
CO2_e0	7.54091154750617e-06	5.606204999856092e-05	0.29554455445544553
Ca2+_e0	5.426302459276465e-09	4.123180583798419e-08	0.29554455445544553
Cbl_e0	0.0	0.0	0.0
Chorismate_e0	1.083722427280097e-08	8.329110164012361e-08	0.29574357435743576
Cl-_e0	5.426302459276465e-09	4.123180583798419e-08	0.29554455445544553
Co2+_e0	5.426302459276465e-09	4.123180583798419e-08	0.29554455445544553
CoA_e0	1.083722427280097e-08	8.329110164012361e-08	0.29574357435743576
Cu2+_e0	5.426302459276465e-09	4.123180583798419e-08	0.29554455445544553
D-Arabinose_e0	1.455026111336208e-07	1.119296877026388e-06	0.29574357435743576
D-Glucose_e0	0.08789945496624252	596.3848341648817	1.4604080408040805
Deoxycytidine_e0	4.381461028281045e-08	3.3709290400535845e-07	0.29574357435743576
Deoxyguanosine_e0	5.426302459276465e-09	4.123180583798419e-08	0.29554455445544553
Enterobactin_e0	0.0	0.0	0.0
Fe-enterochlin_e0	0.0	0.0	0.0
Folate_e0	1.6185876453805035e-08	1.2434866554565476e-07	0.29554455445544553
Formate_e0	2.7920416177121197e-09	2.07895596460196e-08	0.29554455445544553
