	0.0000-0.0000	0.0000-20.0000	Source	Target
Spermidine-e0##H2O-e0##Turicimonas_muris_YL45	-0.9999999999836297	-0.999999999983026	Spermidine-e0	H2O-e0
Folate##H2O-e0##Turicimonas_muris_YL45	10.499999999980227	10.499999999961402	Folate	H2O-e0
Riboflavin##H2O-e0##Turicimonas_muris_YL45	-5254.119353031597	-5247.119353027718	Riboflavin	H2O-e0
Riboflavin##Phosphate-e0##Turicimonas_muris_YL45	-127.45775495970794	-127.45775495960842	Riboflavin	Phosphate-e0
Spermidine-e0##L-Glutamate-e0##Turicimonas_muris_YL45	3.0000000000011817	3.0000000000012768	Spermidine-e0	L-Glutamate-e0
Folate##L-Glutamate-e0##Turicimonas_muris_YL45	-1.500000000000839	-1.5000000000027378	Folate	L-Glutamate-e0
Riboflavin##L-Glutamate-e0##Turicimonas_muris_YL45	-466.21326904911086	-467.2132690487409	Riboflavin	L-Glutamate-e0
Riboflavin##Zn2+-e0##Turicimonas_muris_YL45	-0.9241112603174525	-0.9241112603179752	Riboflavin	Zn2+-e0
Riboflavin##L-Lysine-e0##Turicimonas_muris_YL45	-41.26899935746336	-41.26899935742889	Riboflavin	L-Lysine-e0
Spermidine-e0##L-Aspartate-e0##Turicimonas_muris_YL45	-2.9999999999975935	-2.999999999997623	Spermidine-e0	L-Aspartate-e0
Folate##L-Aspartate-e0##Turicimonas_muris_YL45	10.499999999999376	10.499999999997545	Folate	L-Aspartate-e0
Riboflavin##L-Aspartate-e0##Turicimonas_muris_YL45	-688.117161642343	-682.1171616418994	Riboflavin	L-Aspartate-e0
Riboflavin##Sulfate-e0##Turicimonas_muris_YL45	-0.924111260303212	-0.9241112602976418	Riboflavin	Sulfate-e0
Riboflavin##L-Arginine-e0##Turicimonas_muris_YL45	-35.57235834185061	-35.572358341825215	Riboflavin	L-Arginine-e0
Riboflavin##L-Histidine-e0##Turicimonas_muris_YL45	-11.39328203119662	-11.393282031188376	Riboflavin	L-Histidine-e0
Riboflavin##L-Proline-e0##Turicimonas_muris_YL45	-26.584324739480696	-26.584324739459074	Riboflavin	L-Proline-e0
Riboflavin##Co2+-e0##Turicimonas_muris_YL45	-0.9241112603174906	-0.9241112603165876	Riboflavin	Co2+-e0
Riboflavin##L-Threonine-e0##Turicimonas_muris_YL45	-75.99313011327494	-75.99313011324399	Riboflavin	L-Threonine-e0
Spermidine-e0##Spermidine-e0##Turicimonas_muris_YL45	-0.9999999999999991	-0.9999999999999997	Spermidine-e0	Spermidine-e0
Riboflavin##fe3-e0##Turicimonas_muris_YL45	-0.9241112603308173	-0.9241112603232884	Riboflavin	fe3-e0
Spermidine-e0##H+-e0##Turicimonas_muris_YL45	4.999999999982178	4.999999999981624	Spermidine-e0	H+-e0
Folate##H+-e0##Turicimonas_muris_YL45	-20.499999999975977	-20.499999999957076	Folate	H+-e0
Riboflavin##H+-e0##Turicimonas_muris_YL45	5574.150782367626	5559.150782363717	Riboflavin	H+-e0
Riboflavin##Uracil-e0##Turicimonas_muris_YL45	-39.642230877609016	-39.6422308775792	Riboflavin	Uracil-e0
Riboflavin##L-Methionine-e0##Turicimonas_muris_YL45	-18.98243529510627	-18.982435295089385	Riboflavin	L-Methionine-e0
Riboflavin##L-Cysteine-e0##Turicimonas_muris_YL45	-13.013505963508988	-13.013505963498087	Riboflavin	L-Cysteine-e0
Spermidine-e0##L-Serine-e0##Turicimonas_muris_YL45	-0.9999999999769005	-0.9999999999761446	Spermidine-e0	L-Serine-e0
Pyruvate-e0##L-Serine-e0##Turicimonas_muris_YL45	0.999999999991031	0.9999999999907866	Pyruvate-e0	L-Serine-e0
Folate##L-Serine-e0##Turicimonas_muris_YL45	23.499999999973642	23.4999999999479	Folate	L-Serine-e0
Riboflavin##L-Serine-e0##Turicimonas_muris_YL45	-7444.948477067639	-7428.615143728969	Riboflavin	L-Serine-e0
Spermidine-e0##NH3-e0##Turicimonas_muris_YL45	3.999999999975617	3.9999999999747793	Spermidine-e0	NH3-e0
Pyruvate-e0##NH3-e0##Turicimonas_muris_YL45	-0.9999999999904823	-0.999999999990221	Pyruvate-e0	NH3-e0
Folate##NH3-e0##Turicimonas_muris_YL45	-24.499999999975103	-24.499999999947555	Folate	NH3-e0
Riboflavin##NH3-e0##Turicimonas_muris_YL45	7880.786923854314	7865.453590515264	Riboflavin	NH3-e0
Pyruvate-e0##Pyruvate-e0##Turicimonas_muris_YL45	-0.9999999999999998	-0.9999999999999987	Pyruvate-e0	Pyruvate-e0
Riboflavin##L-Asparagine-e0##Turicimonas_muris_YL45	-28.98957316828693	-28.98957316826345	Riboflavin	L-Asparagine-e0
Riboflavin##Ca2+-e0##Turicimonas_muris_YL45	-0.9241112603174336	-0.9241112603167059	Riboflavin	Ca2+-e0
Riboflavin##Cu2+-e0##Turicimonas_muris_YL45	-0.9241112603208673	-0.9241112603206404	Riboflavin	Cu2+-e0
Riboflavin##Fe2+-e0##Turicimonas_muris_YL45	-1.9241112602932702	-1.924111260298342	Riboflavin	Fe2+-e0
Folate##Glycine-e0##Turicimonas_muris_YL45	-0.9999999999992477	-0.9999999999994825	Folate	Glycine-e0
