	Avg_bc1010	Var_bc1010	Avg_bc1015	Var_bc1015	Avg_bc1002	Var_bc1002	Avg_bc1011	Var_bc1011	Avg_InAmount	Var_InAmount	Avg_OutAmount	Var_OutAmount	Avg_AllAmount	Var_AllAmount	In	InAmount	Out	OutAmount	All	AllAmount
1,2-Diacyl-sn-glycerol dioctadecanoyl	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.999999558229954	1.951607518810812e-13	0.0	0.0	3.999999558229954	1.951607518810812e-13	bc1002.bc1010.bc1011.bc1015	1		1	bc1002.bc1010.bc1011.bc1015	1
2-Oxoglutarate	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9999998895574885	1.2197546992567574e-14	0.0	0.0	0.9999998895574885	1.2197546992567574e-14	bc1010	1		1	bc1010	1
4-Hydroxybenzoate	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.999999558229954	1.951607518810812e-13	0.0	0.0	3.999999558229954	1.951607518810812e-13	bc1002.bc1010.bc1011.bc1015	1		1	bc1002.bc1010.bc1011.bc1015	1
5-Aminolevulinate	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.999999558229954	1.951607518810812e-13	0.0	0.0	3.999999558229954	1.951607518810812e-13	bc1002.bc1010.bc1011.bc1015	1		1	bc1002.bc1010.bc1011.bc1015	1
AMP	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.999999558229954	1.951607518810812e-13	0.0	0.0	3.999999558229954	1.951607518810812e-13	bc1002.bc1010.bc1011.bc1015	1		1	bc1002.bc1010.bc1011.bc1015	1
ARSENOBETAINE	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Acetate	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.999999558229954	1.951607518810812e-13	0.0	0.0	3.999999558229954	1.951607518810812e-13	bc1002.bc1010.bc1011.bc1015	1		1	bc1002.bc1010.bc1011.bc1015	1
Adenine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Adenosine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.999999779114977	4.87901879702703e-14	0.0	0.0	1.999999779114977	4.87901879702703e-14	bc1010.bc1011	1		1	bc1010.bc1011	1
Ala-Ala	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.9999996686724653	1.0977792315381664e-13	0.0	0.0	2.9999996686724653	1.0977792315381664e-13	bc1002.bc1010.bc1015	1		1	bc1002.bc1010.bc1015	1
Arsenate	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9999998895574885	1.2197546992567574e-14	0.0	0.0	0.9999998895574885	1.2197546992567574e-14	bc1015	1		1	bc1015	1
Arsenite	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9999998895574885	1.2197546992567574e-14	0.0	0.0	0.9999998895574885	1.2197546992567574e-14	bc1015	1		1	bc1015	1
BET	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.999999558229954	1.951607518810812e-13	0.0	0.0	3.999999558229954	1.951607518810812e-13	bc1002.bc1010.bc1011.bc1015	1		1	bc1002.bc1010.bc1011.bc1015	1
BIOT	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.999999558229954	1.951607518810812e-13	0.0	0.0	3.999999558229954	1.951607518810812e-13	bc1002.bc1010.bc1011.bc1015	1		1	bc1002.bc1010.bc1011.bc1015	1
CMP	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.999999558229954	1.951607518810812e-13	0.0	0.0	3.999999558229954	1.951607518810812e-13	bc1002.bc1010.bc1011.bc1015	1		1	bc1002.bc1010.bc1011.bc1015	1
CO2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.999999558229954	1.951607518810812e-13	0.0	0.0	3.999999558229954	1.951607518810812e-13	bc1002.bc1010.bc1011.bc1015	1		1	bc1002.bc1010.bc1011.bc1015	1
Ca2+	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.999999558229954	1.951607518810812e-13	0.0	0.0	3.999999558229954	1.951607518810812e-13	bc1002.bc1010.bc1011.bc1015	1		1	bc1002.bc1010.bc1011.bc1015	1
Carnitine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Cbl	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Chorismate	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.999999558229954	1.951607518810812e-13	0.0	0.0	3.999999558229954	1.951607518810812e-13	bc1002.bc1010.bc1011.bc1015	1		1	bc1002.bc1010.bc1011.bc1015	1
Cl-	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.999999558229954	1.951607518810812e-13	0.0	0.0	3.999999558229954	1.951607518810812e-13	bc1002.bc1010.bc1011.bc1015	1		1	bc1002.bc1010.bc1011.bc1015	1
Co2+	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.999999558229954	1.951607518810812e-13	0.0	0.0	3.999999558229954	1.951607518810812e-13	bc1002.bc1010.bc1011.bc1015	1		1	bc1002.bc1010.bc1011.bc1015	1
CoA	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.999999558229954	1.951607518810812e-13	0.0	0.0	3.999999558229954	1.951607518810812e-13	bc1002.bc1010.bc1011.bc1015	1		1	bc1002.bc1010.bc1011.bc1015	1
Cu2+	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.999999558229954	1.951607518810812e-13	0.0	0.0	3.999999558229954	1.951607518810812e-13	bc1002.bc1010.bc1011.bc1015	1		1	bc1002.bc1010.bc1011.bc1015	1
Cytosine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
D-Alanine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9999998895574885	1.2197546992567574e-14	0.0	0.0	0.9999998895574885	1.2197546992567574e-14	bc1011	1		1	bc1011	1
D-Arabinose	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.999999558229954	1.951607518810812e-13	0.0	0.0	3.999999558229954	1.951607518810812e-13	bc1002.bc1010.bc1011.bc1015	1		1	bc1002.bc1010.bc1011.bc1015	1
D-Glucose	0.14920421099464057	0.017979197255650198	0.1389216158832309	0.017327240217182988	0.14983816420205492	0.01813531591273872	0.1494539797510639	0.01803944220974179	3.999999558229954	1.951607518810812e-13	2.212205161691835	3.9531102904802173	6.21220471992179	3.9531102904806286	bc1002.bc1010.bc1011.bc1015	1	.bc1010.bc1011.bc1002.bc1010.bc1011.bc1002.bc1010.bc1011.bc1015	4	bc1002.bc1010.bc1011.bc1015.bc1010.bc1011bc1002.bc1010.bc1011.bc1015.bc1002.bc1010.bc1011bc1002.bc1010.bc1011.bc1015.bc1002.bc1010.bc1011.bc1015bc1002.bc1010.bc1011.bc1015	4
D-Serine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Deoxycytidine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.999999558229954	1.951607518810812e-13	0.0	0.0	3.999999558229954	1.951607518810812e-13	bc1002.bc1010.bc1011.bc1015	1		1	bc1002.bc1010.bc1011.bc1015	1
