	0.34855	0.37629999999999997	0.40315	0.7985	Source	Target
bc1012##Heme##Microbe	0.03993492	0.00371198	0.00227494	0.0034011700000000002	bc1012	Heme
Heme##bc1012##Metabolite	-0.03993492	-0.00371198	-0.00227494	-0.0034011700000000002	Heme	bc1012
bc1012##K+##Microbe	0.03993492	0.00371198	0.00227494	0.0034011700000000002	bc1012	K+
K+##bc1012##Metabolite	-0.03993492	-0.00371198	-0.00227494	-0.0034011700000000002	K+	bc1012
bc1012##L-Alanine##Microbe	6.445934879999999	0.59915503	0.36720102999999993	0.5489848300000001	bc1012	L-Alanine
L-Alanine##bc1012##Metabolite	-6.445934879999999	-0.59915503	-0.36720102999999993	-0.5489848300000001	L-Alanine	bc1012
bc1012##L-Arginine##Microbe	3.51078328	0.32633024	0.19999631	0.29900501	bc1012	L-Arginine
L-Arginine##bc1012##Metabolite	-3.51078328	-0.32633024	-0.19999631	-0.29900501	L-Arginine	bc1012
bc1012##L-Asparagine##Microbe	2.85805642	0.26565874	0.16281288	0.24341382	bc1012	L-Asparagine
L-Asparagine##bc1012##Metabolite	-2.85805642	-0.26565874	-0.16281288	-0.24341382	L-Asparagine	bc1012
bc1012##L-Aspartate##Microbe	2.85805642	0.26565874	0.16281288	0.24341382	bc1012	L-Aspartate
L-Aspartate##bc1012##Metabolite	-2.85805642	-0.26565874	-0.16281288	-0.24341382	L-Aspartate	bc1012
bc1012##L-Cysteine##Microbe	1.0836533199999998	0.10072648000000001	0.061731720000000004	0.09229215	bc1012	L-Cysteine
L-Cysteine##bc1012##Metabolite	-1.0836533199999998	-0.10072648000000001	-0.061731720000000004	-0.09229215	L-Cysteine	bc1012
bc1012##L-Glutamate##Microbe	3.63354935	0.33774145	0.20698984000000004	0.30946069000000004	bc1012	L-Glutamate
L-Glutamate##bc1012##Metabolite	-3.63354935	-0.33774145	-0.20698984000000004	-0.30946069000000004	L-Glutamate	bc1012
bc1012##L-Glutamine##Microbe	3.0380099	0.28238556000000004	0.17306417000000002	0.25874002999999995	bc1012	L-Glutamine
