	In	InAmount	Out	OutAmount	All	AllAmount	Type
1,2-Diacyl-sn-glycerol dioctadecanoyl	bc1003.bc1016.bc1002	3	bc1003.bc1016.bc1002	3	bc1003.bc1016.bc1002bc1003.bc1016.bc1002	6	Metabolite
2-Oxoglutarate	bc1016	1	bc1016	1	bc1016bc1016	2	Metabolite
4-Hydroxybenzoate	bc1003.bc1016.bc1002	3	bc1003.bc1016.bc1002	3	bc1003.bc1016.bc1002bc1003.bc1016.bc1002	6	Metabolite
5-Aminolevulinate	bc1003.bc1016.bc1002	3	bc1003.bc1016.bc1002	3	bc1003.bc1016.bc1002bc1003.bc1016.bc1002	6	Metabolite
AMP	bc1003.bc1016.bc1002	3	bc1003.bc1016.bc1002	3	bc1003.bc1016.bc1002bc1003.bc1016.bc1002	6	Metabolite
Acetate	bc1003.bc1016.bc1002	3		0	bc1003.bc1016.bc1002	3	Metabolite
Ala-Ala	bc1003.bc1002	2	bc1003.bc1002	2	bc1003.bc1002bc1003.bc1002	4	Metabolite
BET	bc1003.bc1016.bc1002	3	bc1003.bc1016.bc1002	3	bc1003.bc1016.bc1002bc1003.bc1016.bc1002	6	Metabolite
BIOT	bc1003.bc1016.bc1002	3	bc1003.bc1016.bc1002	3	bc1003.bc1016.bc1002bc1003.bc1016.bc1002	6	Metabolite
CMP	bc1003.bc1016.bc1002	3	bc1003.bc1016.bc1002	3	bc1003.bc1016.bc1002bc1003.bc1016.bc1002	6	Metabolite
CO2	bc1003.bc1016.bc1002	3		0	bc1003.bc1016.bc1002	3	Metabolite
Ca2+	bc1003.bc1016.bc1002	3	bc1003.bc1016.bc1002	3	bc1003.bc1016.bc1002bc1003.bc1016.bc1002	6	Metabolite
Chitobiose	bc1016	1	bc1016	1	bc1016bc1016	2	Metabolite
Chorismate	bc1003.bc1016.bc1002	3	bc1003.bc1016.bc1002	3	bc1003.bc1016.bc1002bc1003.bc1016.bc1002	6	Metabolite
Citrate	bc1016	1	bc1016	1	bc1016bc1016	2	Metabolite
Cl-	bc1003.bc1016.bc1002	3	bc1003.bc1016.bc1002	3	bc1003.bc1016.bc1002bc1003.bc1016.bc1002	6	Metabolite
Co2+	bc1003.bc1016.bc1002	3	bc1003.bc1016.bc1002	3	bc1003.bc1016.bc1002bc1003.bc1016.bc1002	6	Metabolite
CoA	bc1003.bc1016.bc1002	3	bc1003.bc1016.bc1002	3	bc1003.bc1016.bc1002bc1003.bc1016.bc1002	6	Metabolite
Cu2+	bc1003.bc1016.bc1002	3	bc1003.bc1016.bc1002	3	bc1003.bc1016.bc1002bc1003.bc1016.bc1002	6	Metabolite
Cytidine	bc1016	1	bc1016	1	bc1016bc1016	2	Metabolite
D-Alanine	bc1016	1	bc1016	1	bc1016bc1016	2	Metabolite
