	0.0000-0.0006	0.0006-0.0020	0.0020-0.0022	0.0022-0.0057	0.0057-0.0080	0.0084-0.0085	0.0086-0.0094	0.0098-0.0111	0.0111-0.0116	0.0119-0.0119	0.0119-0.0120	0.0120-0.0120	0.0121-0.0124	0.0125-0.0125	0.0125-0.0152	0.0152-0.0153	0.0153-0.0154	0.0257-0.0257	0.0257-0.0484	0.0484-0.0485	0.0485-0.0485	0.0510-0.0511	0.0511-0.0512	0.0512-0.1668	0.1668-0.2756	0.2756-0.2758	0.2758-0.2758	0.2758-0.2773	0.2773-0.3754	0.3754-0.3835	0.3835-0.4900	0.4900-0.5254	0.5254-10.3682	10.3682-10.3684	10.3684-10.4667	10.4667-10.4667	10.4668-20.0000	Source	Target
Flavonifractor_plautii_YL31##Limosilactobacillus_reuteri_I49##PAN	-96.79614651756714	-96.79614651749019	-96.79614651492733	-96.79614651495454	-96.79614651528225	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Flavonifractor_plautii_YL31	Limosilactobacillus_reuteri_I49
Limosilactobacillus_reuteri_I49##Flavonifractor_plautii_YL31##Riboflavin	-126.68907411730459	-126.68907411730459	-126.68907411806526	-126.68907411806515	-126.68907411806514	-126.68907411821252	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Limosilactobacillus_reuteri_I49	Flavonifractor_plautii_YL31
Flavonifractor_plautii_YL31##Limosilactobacillus_reuteri_I49##D-Glucose-e0.O2-e0.Riboflavin.Spermidine-e0.D-Mannose-e0.Folate-e0	0.0	0.0	0.0	0.0	0.0	-3.928505564203505	-2.532281345063192	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Flavonifractor_plautii_YL31	Limosilactobacillus_reuteri_I49
Limosilactobacillus_reuteri_I49##Flavonifractor_plautii_YL31##Folate-e0	0.0	0.0	0.0	0.0	0.0	0.0	-84.45938274524327	-84.45938274523198	-84.45938274523952	-84.4593827452412	-84.45938274524227	-84.45938274523881	-84.4593827452448	-84.45938274524323	-84.45938274524333	-84.45938274524491	-84.4593827452411	-84.45938274506952	-84.45938274517319	-84.45938274527761	-84.45938274646599	-84.45938274508629	-84.45938274498755	-84.45938274524008	-84.45938274521224	-84.45938274526269	-84.45938274524222	-84.45938274530285	-84.45938274524131	-84.45938274524211	-84.45938274524134	-84.45938274524659	-84.45938274524606	0.0	-84.45938274558941	0.0	0.0	Limosilactobacillus_reuteri_I49	Flavonifractor_plautii_YL31
Flavonifractor_plautii_YL31##Limosilactobacillus_reuteri_I49##Riboflavin.Folate-e0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-203.34556282515115	-203.3455628281802	-203.34556282895403	-203.34556282889733	-203.3455628332772	-203.34556283135416	0.0	0.0	-203.34556281204857	-203.34556282058153	-203.34556285004047	-203.3455628499455	-203.34556285100226	-203.3455628550184	-203.34556285049678	-203.3455628499962	-203.34556285061922	-203.34556279256162	-203.3455627770295	0.0	-203.3455627627169	-203.34556278878028	0.0	-103.33991452125093	-103.33991452130559	-103.33991452188698	-57.52398405758723	-103.3399145221778	-29.531202022372877	-45.884211675267835	Flavonifractor_plautii_YL31	Limosilactobacillus_reuteri_I49
Flavonifractor_plautii_YL31##Limosilactobacillus_reuteri_I49##D-Glucose-e0.O2-e0.Riboflavin.Spermidine-e0.D-Mannose-e0.Folate-e0.Urea-e0.L-Asparagine-e0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-11.268993454267552	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Flavonifractor_plautii_YL31	Limosilactobacillus_reuteri_I49
Flavonifractor_plautii_YL31##Limosilactobacillus_reuteri_I49##O2-e0.Riboflavin.Spermidine-e0.D-Mannose-e0.Putrescine-e0.Folate-e0.Urea-e0.L-Asparagine-e0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-5.654642621235611	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Flavonifractor_plautii_YL31	Limosilactobacillus_reuteri_I49
Flavonifractor_plautii_YL31##Limosilactobacillus_reuteri_I49##D-Glucose-e0.O2-e0.Riboflavin.Spermidine-e0.D-Mannose-e0.Putrescine-e0.Folate-e0.L-Aspartate-e0.Urea-e0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.246213647846876	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Flavonifractor_plautii_YL31	Limosilactobacillus_reuteri_I49
Flavonifractor_plautii_YL31##Limosilactobacillus_reuteri_I49##O2-e0.Riboflavin.Spermidine-e0.D-Mannose-e0.Putrescine-e0.L-Glutamate-e0.Folate-e0.L-Aspartate-e0.Urea-e0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	24.043828712253443	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Flavonifractor_plautii_YL31	Limosilactobacillus_reuteri_I49
Limosilactobacillus_reuteri_I49##Flavonifractor_plautii_YL31##Folate-e0.5'-Deoxyadenosine-e0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-17.090642244125707	0.0	23.63942994256407	-0.3108716883099465	Limosilactobacillus_reuteri_I49	Flavonifractor_plautii_YL31
