	Avg_bc1016	Var_bc1016	Avg_bc1010	Var_bc1010	Avg_bc1015	Var_bc1015	Avg_bc1011	Var_bc1011	Avg_InAmount	Var_InAmount	Avg_OutAmount	Var_OutAmount	Avg_AllAmount	Var_AllAmount	In	InAmount	Out	OutAmount	All	AllAmount
O2	0.0	0.0	0.0664173763660505	0.005277013434053321	0.06684866678309488	0.005327626947008739	0.0665288965552228	0.0052947493830765024	3.598912701082451	0.1447401904958322	1.3070900677205042	2.0399305696650103	4.906002768802955	2.2898072172581068	bc1010.bc1011.bc1015.bc1016	1	bc1010.bc1011.bc1015.bc1015.	3	bc1010.bc1011.bc1015bc1010.bc1011.bc1015.bc1016.bc1015bc1010.bc1011.bc1015.bc1016.bc1010.bc1011.bc1015.bc1016	3
Oxidized glutathione	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.598912701082451	0.1447401904958322	0.0	0.0	3.598912701082451	0.1447401904958322	bc1010.bc1011.bc1015.bc1016	1		1	bc1010.bc1011.bc1015.bc1016	1
PAN	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
PPi	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8997281752706128	0.009046261905989512	0.0	0.0	0.8997281752706128	0.009046261905989512	bc1015	1		1	bc1015	1
Pimelate	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8997281752706128	0.009046261905989512	0.0	0.0	0.8997281752706128	0.009046261905989512	bc1016	1		1	bc1016	1
Putrescine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.598912701082451	0.1447401904958322	0.0	0.0	3.598912701082451	0.1447401904958322	bc1010.bc1011.bc1015.bc1016	1		1	bc1010.bc1011.bc1015.bc1016	1
Pyridoxal	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.598912701082451	0.1447401904958322	0.0	0.0	3.598912701082451	0.1447401904958322	bc1010.bc1011.bc1015.bc1016	1		1	bc1010.bc1011.bc1015.bc1016	1
Riboflavin	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.598912701082451	0.1447401904958322	0.0	0.0	3.598912701082451	0.1447401904958322	bc1010.bc1011.bc1015.bc1016	1		1	bc1010.bc1011.bc1015.bc1016	1
S-Adenosyl-L-methionine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.598912701082451	0.1447401904958322	0.0	0.0	3.598912701082451	0.1447401904958322	bc1010.bc1011.bc1015.bc1016	1		1	bc1010.bc1011.bc1015.bc1016	1
Spermidine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.598912701082451	0.1447401904958322	0.0	0.0	3.598912701082451	0.1447401904958322	bc1010.bc1011.bc1015.bc1016	1		1	bc1010.bc1011.bc1015.bc1016	1
