	Source	Target	SourceType	Weight	ABS_Weight	Sign_Weight	ABSRootWeight	SignedRootWeight
bc1015##1,2-Diacyl-sn-glycerol dioctadecanoyl	bc1015	1,2-Diacyl-sn-glycerol dioctadecanoyl	Microbe	-0.14609473	0.14609473	-1.0	0.38222340326044923	-0.38222340326044923
1,2-Diacyl-sn-glycerol dioctadecanoyl##bc1015	1,2-Diacyl-sn-glycerol dioctadecanoyl	bc1015	Metabolite	0.14609473	0.14609473	1.0	0.38222340326044923	0.38222340326044923
bc1015##4-Hydroxybenzoate	bc1015	4-Hydroxybenzoate	Microbe	-0.00329074	0.00329074	-1.0	0.057364971890518694	-0.057364971890518694
4-Hydroxybenzoate##bc1015	4-Hydroxybenzoate	bc1015	Metabolite	0.00329074	0.00329074	1.0	0.057364971890518694	0.057364971890518694
bc1015##5-Aminolevulinate	bc1015	5-Aminolevulinate	Microbe	-0.02632593	0.02632593	-1.0	0.16225267332158197	-0.16225267332158197
5-Aminolevulinate##bc1015	5-Aminolevulinate	bc1015	Metabolite	0.02632593	0.02632593	1.0	0.16225267332158197	0.16225267332158197
bc1015##AMP	bc1015	AMP	Microbe	-0.1259107	0.1259107	-1.0	0.3548389775658813	-0.3548389775658813
AMP##bc1015	AMP	bc1015	Metabolite	0.1259107	0.1259107	1.0	0.3548389775658813	0.3548389775658813
bc1015##Acetate	bc1015	Acetate	Microbe	6.82128806	6.82128806	1.0	2.6117595716298236	2.6117595716298236
bc1015##Ala-Ala	bc1015	Ala-Ala	Microbe	-0.02932955	0.02932955	-1.0	0.17125872240560477	-0.17125872240560477
Ala-Ala##bc1015	Ala-Ala	bc1015	Metabolite	0.02932955	0.02932955	1.0	0.17125872240560477	0.17125872240560477
bc1015##Arsenate	bc1015	Arsenate	Microbe	0.00164537	0.00164537	1.0	0.04056316062636145	0.04056316062636145
bc1015##Arsenite	bc1015	Arsenite	Microbe	-0.00164537	0.00164537	-1.0	0.04056316062636145	-0.04056316062636145
Arsenite##bc1015	Arsenite	bc1015	Metabolite	0.00164537	0.00164537	1.0	0.04056316062636145	0.04056316062636145
bc1015##BET	bc1015	BET	Microbe	-0.00658148	0.00658148	-1.0	0.0811263212527229	-0.0811263212527229
BET##bc1015	BET	bc1015	Metabolite	0.00658148	0.00658148	1.0	0.0811263212527229	0.0811263212527229
bc1015##BIOT	bc1015	BIOT	Microbe	-0.00329074	0.00329074	-1.0	0.057364971890518694	-0.057364971890518694
BIOT##bc1015	BIOT	bc1015	Metabolite	0.00329074	0.00329074	1.0	0.057364971890518694	0.057364971890518694
bc1015##CMP	bc1015	CMP	Microbe	-0.09862706	0.09862706	-1.0	0.31404945470419143	-0.31404945470419143
CMP##bc1015	CMP	bc1015	Metabolite	0.09862706	0.09862706	1.0	0.31404945470419143	0.31404945470419143
bc1015##CO2	bc1015	CO2	Microbe	8.46930295	8.46930295	1.0	2.9102066850998742	2.9102066850998742
bc1015##Ca2+	bc1015	Ca2+	Microbe	-0.00329074	0.00329074	-1.0	0.057364971890518694	-0.057364971890518694
Ca2+##bc1015	Ca2+	bc1015	Metabolite	0.00329074	0.00329074	1.0	0.057364971890518694	0.057364971890518694
bc1015##Chorismate	bc1015	Chorismate	Microbe	-0.00658148	0.00658148	-1.0	0.0811263212527229	-0.0811263212527229
Chorismate##bc1015	Chorismate	bc1015	Metabolite	0.00658148	0.00658148	1.0	0.0811263212527229	0.0811263212527229
bc1015##Cl-	bc1015	Cl-	Microbe	-0.00329074	0.00329074	-1.0	0.057364971890518694	-0.057364971890518694
Cl-##bc1015	Cl-	bc1015	Metabolite	0.00329074	0.00329074	1.0	0.057364971890518694	0.057364971890518694
bc1015##Co2+	bc1015	Co2+	Microbe	-0.00329074	0.00329074	-1.0	0.057364971890518694	-0.057364971890518694
Co2+##bc1015	Co2+	bc1015	Metabolite	0.00329074	0.00329074	1.0	0.057364971890518694	0.057364971890518694
bc1015##CoA	bc1015	CoA	Microbe	-0.00658148	0.00658148	-1.0	0.0811263212527229	-0.0811263212527229
CoA##bc1015	CoA	bc1015	Metabolite	0.00658148	0.00658148	1.0	0.0811263212527229	0.0811263212527229
bc1015##Cu2+	bc1015	Cu2+	Microbe	-0.00329074	0.00329074	-1.0	0.057364971890518694	-0.057364971890518694
Cu2+##bc1015	Cu2+	bc1015	Metabolite	0.00329074	0.00329074	1.0	0.057364971890518694	0.057364971890518694
bc1015##D-Arabinose	bc1015	D-Arabinose	Microbe	-0.08798866	0.08798866	-1.0	0.2966288253019251	-0.2966288253019251
D-Arabinose##bc1015	D-Arabinose	bc1015	Metabolite	0.08798866	0.08798866	1.0	0.2966288253019251	0.2966288253019251
bc1015##D-Glucose	bc1015	D-Glucose	Microbe	-4.20732852	4.20732852	-1.0	2.0511773497189365	-2.0511773497189365
D-Glucose##bc1015	D-Glucose	bc1015	Metabolite	4.20732852	4.20732852	1.0	2.0511773497189365	2.0511773497189365
bc1015##Deoxycytidine	bc1015	Deoxycytidine	Microbe	-0.01714447	0.01714447	-1.0	0.13093689319668464	-0.13093689319668464
Deoxycytidine##bc1015	Deoxycytidine	bc1015	Metabolite	0.01714447	0.01714447	1.0	0.13093689319668464	0.13093689319668464
bc1015##Deoxyguanosine	bc1015	Deoxyguanosine	Microbe	-0.00329074	0.00329074	-1.0	0.057364971890518694	-0.057364971890518694
Deoxyguanosine##bc1015	Deoxyguanosine	bc1015	Metabolite	0.00329074	0.00329074	1.0	0.057364971890518694	0.057364971890518694
bc1015##Folate	bc1015	Folate	Microbe	-0.00987222	0.00987222	-1.0	0.09935904588913885	-0.09935904588913885
Folate##bc1015	Folate	bc1015	Metabolite	0.00987222	0.00987222	1.0	0.09935904588913885	0.09935904588913885
bc1015##Formate	bc1015	Formate	Microbe	-0.00329074	0.00329074	-1.0	0.057364971890518694	-0.057364971890518694
Formate##bc1015	Formate	bc1015	Metabolite	0.00329074	0.00329074	1.0	0.057364971890518694	0.057364971890518694
bc1015##GTP	bc1015	GTP	Microbe	-0.15878956	0.15878956	-1.0	0.3984840774736175	-0.3984840774736175
GTP##bc1015	GTP	bc1015	Metabolite	0.15878956	0.15878956	1.0	0.3984840774736175	0.3984840774736175
bc1015##Glycerol	bc1015	Glycerol	Microbe	-0.07304736	0.07304736	-1.0	0.2702727511237491	-0.2702727511237491
Glycerol##bc1015	Glycerol	bc1015	Metabolite	0.07304736	0.07304736	1.0	0.2702727511237491	0.2702727511237491
bc1015##Glycine	bc1015	Glycine	Microbe	-0.58804447	0.58804447	-1.0	0.7668405766520183	-0.7668405766520183
Glycine##bc1015	Glycine	bc1015	Metabolite	0.58804447	0.58804447	1.0	0.7668405766520183	0.7668405766520183
bc1015##H+	bc1015	H+	Microbe	5.97481635	5.97481635	1.0	2.4443437462844706	2.4443437462844706
bc1015##H2O	bc1015	H2O	Microbe	15.45411314	15.45411314	1.0	3.9311719804658765	3.9311719804658765
