,Proportion MetConSIN Shared,Proportion DirectDFBA Shared,Number Different Sign,Average ABS Difference
0,1.0,0.5294117647058824,1.0,3.7064986668235007
2,1.0,0.5422535211267606,0.0,3.6356423789410073
5,1.0,0.5230769230769231,1.0,4.4024019635277885
6,1.0,0.5382830626450116,0.0,0.6382532951299489
7,1.0,0.5316742081447964,0.0,1.4281922821342996
9,1.0,0.5368421052631579,0.0,0.6001965443506393
10,1.0,0.5368421052631579,0.0,0.752822938929043
12,1.0,0.53,0.0,1.8482465542815025
13,1.0,0.5384615384615384,0.0,0.545540570241859
14,1.0,0.5230769230769231,1.0,4.261648581772389
15,1.0,0.5429553264604811,0.0,3.1440679866194623
16,1.0,0.5342465753424658,0.0,2.9068049084253973
17,1.0,0.5191986644407346,0.0,1.0543159004102114
18,1.0,0.5340136054421769,0.0,1.0353464976917572
19,1.0,0.5284280936454849,0.0,1.6691264271171646
20,1.0,0.5363321799307958,0.0,0.7407045693956994
21,1.0,0.5338983050847458,0.0,1.320165340349426
22,1.0,0.5365853658536586,0.0,1.301939408584499
23,1.0,0.514003294892916,0.0,1.757073864755082
24,1.0,0.5362997658079626,0.0,0.7023158146644499
26,1.0,0.5272108843537415,0.0,4.2382313293044955
28,1.0,0.5383275261324042,0.0,2.6964182628297357
29,1.0,0.5381944444444444,0.0,0.8781948395538266
31,1.0,0.5344827586206896,0.0,0.7630515635911813
32,1.0,0.5185185185185185,0.0,1.335681887345119
34,1.0,0.5371024734982333,0.0,1.16027324549154
35,1.0,0.5306122448979592,0.0,2.7524501500122174
36,1.0,0.5365853658536586,0.0,1.301939408584499
37,1.0,0.5256124721603563,0.0,4.7038711522671734
38,1.0,0.5308924485125858,0.0,1.3167612935443616
40,1.0,0.5392670157068062,0.0,0.7960430354529082
41,1.0,0.5334476843910806,0.0,1.0355646206367548
42,1.0,0.5397923875432526,0.0,3.104744983129874
44,1.0,0.5247524752475248,0.0,1.9083765103508727
45,1.0,0.5258426966292135,0.0,3.130091486145828
46,1.0,0.534804753820034,0.0,2.5603365322695604
47,1.0,0.5365853658536586,0.0,0.76923788795299
48,1.0,0.5360281195079086,0.0,0.8201909360009298
