	Proportion MetConSIN Shared	Proportion DirectDFBA Shared	Number Different Sign	Average ABS Difference	Trial	Number of Shared Edges	Time	Community Size	Proportion Different Sign	Direct DFBA Number Edges	MetConSIN Number Edges	Direct DFBA Number Extra Edges
0	1.0	0.527681660899654	0.0	2.985237067990757	32	305.0	0.3299	4	0.0	578.0	305.0	578.0
1	1.0	0.527681660899654	0.0	0.2715704052212522	32	305.0	0.66035	4	0.0	578.0	305.0	578.0
2	1.0	0.5294117647058824	3.0	0.2567575177237865	32	306.0	0.6611	4	0.00980392156862745	578.0	306.0	578.0
3	1.0	0.5294117647058824	3.0	0.2567575177258274	32	306.0	0.6613	4	0.00980392156862745	578.0	306.0	578.0
4	1.0	0.527681660899654	0.0	0.1523041626699041	32	305.0	1.00225	4	0.0	578.0	305.0	578.0
5	0.0950819672131147	0.6444444444444445	29.0	1.4262795724076218	32	29.0	1.6716	4	1.0	45.0	305.00000000000017	45.0
6	1.0	0.5282051282051282	0.0	11.397035910793235	35	309.0	0.13195	4	0.0	585.0	309.0	585.0
7	1.0	0.5299145299145299	2.0	4.687097835235183	35	310.0	0.27249999999999996	4	0.0064516129032258064	585.0	310.0	585.0
8	1.0	0.5282051282051282	0.0	1.8071136416978253	35	309.0	0.33009999999999995	4	0.0	585.0	309.0	585.0
9	1.0	0.5282051282051282	0.0	0.7168894473368158	35	309.0	0.38749999999999996	4	0.0	585.0	309.0	585.0
10	0.9935275080906149	0.5274914089347079	0.0	0.5453823563271172	35	307.0	0.39005	4	0.0	582.0	309.0	582.0
11	1.0	0.5257731958762887	0.0	0.1497123798348606	35	306.0	0.7811	4	0.0	582.0	306.0	582.0
12	0.0098039215686274	0.5	3.0	3.459319168118701	35	3.0	1.5854	4	1.0	6.0	306.0000000000016	6.0
13	1.0	0.5300353356890459	0.0	1.512089618579328	34	150.0	0.398	2	0.0	283.0	150.0	283.0
14	1.0	0.5300353356890459	0.0	0.1768177033657056	34	150.0	1.1632	2	0.0	283.0	150.0	283.0
15	0.0933333333333333	0.875	0.0	1.6694857651393655	34	14.0	1.7647	2	0.0	16.0	150.00000000000006	16.0
16	1.0	0.5331010452961672	0.0	1.131024347141445	20	153.0	0.4102	2	0.0	287.0	153.0	287.0
17	1.0	0.5331010452961672	0.0	0.2529240469939321	20	153.0	0.8204	2	0.0	287.0	153.0	287.0
18	1.0	0.5365853658536586	3.0	0.2918761993384728	20	154.0	0.8206	2	0.01948051948051948	287.0	154.0	287.0
19	1.0	0.5331010452961672	0.0	0.1742064379474801	20	153.0	1.17675	2	0.0	287.0	153.0	287.0
20	0.0130718954248366	0.5	2.0	3.588241951782688	20	2.0	1.76635	2	1.0	4.0	153.00000000000003	4.0
21	1.0	0.5289115646258503	0.0	2.9133816826756105	18	311.0	0.32265	4	0.0	588.0	311.0	588.0
22	1.0	0.5289115646258503	0.0	0.2573469960043383	18	311.0	0.64585	4	0.0	588.0	311.0	588.0
23	1.0	0.5289115646258503	0.0	0.148096921537522	18	311.0	0.9902500000000001	4	0.0	588.0	311.0	588.0
24	1.0	0.5298245614035088	0.0	1.159374689417221	9	151.0	0.41115	2	0.0	285.0	151.0	285.0
25	1.0	0.5333333333333333	3.0	0.3470341497371944	9	152.0	0.8223	2	0.019736842105263157	285.0	152.0	285.0
26	1.0	0.5298245614035088	0.0	0.1765173902059083	9	151.0	1.18835	2	0.0	285.0	151.0	285.0
27	1.0	0.5296803652968036	0.0	12.05690384189956	0	232.0	0.1302	3	0.0	438.0	232.0	438.0
28	1.0	0.5319634703196348	2.0	6.224859900937775	0	233.0	0.26470000000000005	3	0.008583690987124463	437.99999999999994	233.0	437.99999999999994
29	1.0	0.5319634703196348	2.0	5.4842843276759625	0	233.0	0.2707	3	0.008583690987124463	437.99999999999994	233.0	437.99999999999994
30	1.0	0.5296803652968036	0.0	2.436916096854399	0	232.0	0.3206	3	0.0	438.0	232.0	438.0
31	0.9913793103448276	0.5287356321839081	0.0	0.8832890902508607	0	230.0	0.3723	3	0.0	435.0	232.0	435.0
32	1.0	0.5264367816091954	0.0	0.1414196053021576	0	229.0	0.7894000000000001	3	0.0	435.0	229.0	435.0
33	0.0218340611353711	0.5555555555555556	5.0	1.255062740493254	0	5.0	1.6015000000000001	3	1.0	9.0	229.00000000000082	9.0
34	1.0	0.5271493212669683	0.0	4.173094586080142	7	233.0	0.31965	3	0.0	442.0	233.0	442.0
35	1.0	0.5271493212669683	0.0	0.2731888706642393	7	233.0	0.6398999999999999	3	0.0	442.0	233.0	442.0
36	1.0	0.5271493212669683	0.0	0.1426930790892776	7	233.0	0.9852000000000001	3	0.0	442.0	233.0	442.0
37	0.0815450643776824	0.9047619047619048	0.0	1.5443236562144456	7	19.0	1.6649500000000002	3	0.0	21.0	233.0	21.0
38	1.0	0.53125	0.0	1.4689730589876353	29	153.0	0.39635	2	0.0	288.0	153.0	288.0
39	1.0	0.53125	0.0	0.2636121559686419	29	153.0	0.79325	2	0.0	288.0	153.0	288.0
40	1.0	0.5347222222222222	3.0	0.2960978734964354	29	154.0	0.794	2	0.01948051948051948	288.0	154.0	288.0
41	1.0	0.53125	0.0	0.1717271627602379	29	153.0	1.1656499999999999	2	0.0	288.0	153.0	288.0
42	1.0	0.5291095890410958	0.0	11.396869006701612	16	309.0	0.1347	4	0.0	584.0	309.0	584.0
43	1.0	0.5308219178082192	2.0	4.720368645253474	16	310.0	0.2729	4	0.0064516129032258064	584.0	310.0	584.0
44	1.0	0.5291095890410958	0.0	1.8263842125438716	16	309.0	0.3336	4	0.0	584.0	309.0	584.0
45	0.9935275080906149	0.5283993115318416	0.0	0.6050385292922426	16	307.0	0.3908	4	0.0	581.0	309.0	581.0
