	Avg_bc1015	Var_bc1015	Avg_bc1008	Var_bc1008	Avg_bc1003	Var_bc1003	Avg_bc1016	Var_bc1016	Avg_InAmount	Var_InAmount	Avg_OutAmount	Var_OutAmount	Avg_AllAmount	Var_AllAmount	In	InAmount	Out	OutAmount	All	AllAmount
1,2-Diacyl-sn-glycerol dioctadecanoyl	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.598881020416812	0.14476178224701045	0.0	0.0	3.598881020416812	0.14476178224701045	bc1003.bc1008.bc1015.bc1016	1		1	bc1003.bc1008.bc1015.bc1016	1
2-Oxoglutarate	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.799440510208406	0.03619044556175261	0.0	0.0	1.799440510208406	0.03619044556175261	bc1008.bc1016	1		1	bc1008.bc1016	1
4-Hydroxybenzoate	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.598881020416812	0.14476178224701045	0.0	0.0	3.598881020416812	0.14476178224701045	bc1003.bc1008.bc1015.bc1016	1		1	bc1003.bc1008.bc1015.bc1016	1
5-Aminolevulinate	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.598881020416812	0.14476178224701045	0.0	0.0	3.598881020416812	0.14476178224701045	bc1003.bc1008.bc1015.bc1016	1		1	bc1003.bc1008.bc1015.bc1016	1
AMP	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.598881020416812	0.14476178224701045	0.0	0.0	3.598881020416812	0.14476178224701045	bc1003.bc1008.bc1015.bc1016	1		1	bc1003.bc1008.bc1015.bc1016	1
ARSENOBETAINE	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Acetate	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.598881020416812	0.14476178224701045	0.0	0.0	3.598881020416812	0.14476178224701045	bc1003.bc1008.bc1015.bc1016	1		1	bc1003.bc1008.bc1015.bc1016	1
Adenine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Adenosine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Ala-Ala	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.799440510208406	0.03619044556175261	0.0	0.0	1.799440510208406	0.03619044556175261	bc1003.bc1015	1		1	bc1003.bc1015	1
Arsenate	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.899720255104203	0.009047611390438153	0.0	0.0	0.899720255104203	0.009047611390438153	bc1015	1		1	bc1015	1
Arsenite	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.899720255104203	0.009047611390438153	0.0	0.0	0.899720255104203	0.009047611390438153	bc1015	1		1	bc1015	1
BET	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.598881020416812	0.14476178224701045	0.0	0.0	3.598881020416812	0.14476178224701045	bc1003.bc1008.bc1015.bc1016	1		1	bc1003.bc1008.bc1015.bc1016	1
BIOT	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.598881020416812	0.14476178224701045	0.0	0.0	3.598881020416812	0.14476178224701045	bc1003.bc1008.bc1015.bc1016	1		1	bc1003.bc1008.bc1015.bc1016	1
CMP	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.598881020416812	0.14476178224701045	0.0	0.0	3.598881020416812	0.14476178224701045	bc1003.bc1008.bc1015.bc1016	1		1	bc1003.bc1008.bc1015.bc1016	1
CO2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.598881020416812	0.14476178224701045	0.0	0.0	3.598881020416812	0.14476178224701045	bc1003.bc1008.bc1015.bc1016	1		1	bc1003.bc1008.bc1015.bc1016	1
Ca2+	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.598881020416812	0.14476178224701045	0.0	0.0	3.598881020416812	0.14476178224701045	bc1003.bc1008.bc1015.bc1016	1		1	bc1003.bc1008.bc1015.bc1016	1
Cbl	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Chitobiose	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.799440510208406	0.03619044556175261	0.0	0.0	1.799440510208406	0.03619044556175261	bc1008.bc1016	1		1	bc1008.bc1016	1
