	Avg_bc1012	Var_bc1012	Avg_bc1010	Var_bc1010	Avg_bc1008	Var_bc1008	Avg_InAmount	Var_InAmount	Avg_OutAmount	Var_OutAmount	Avg_AllAmount	Var_AllAmount	In	InAmount	Out	OutAmount	All	AllAmount
1,2-Diacyl-sn-glycerol dioctadecanoyl	0.0	0.0	0.0	0.0	0.0	0.0	2.982952072409681	0.0002889802782978781	0.0	0.0	2.982952072409681	0.0002889802782978781	bc1008.bc1010.bc1012	1		1	bc1008.bc1010.bc1012	1
2-Oxoglutarate	0.0	0.0	0.0	0.0	0.0	0.0	1.988634714939787	0.00012843567924350976	0.0	0.0	1.988634714939787	0.00012843567924350976	bc1008.bc1010	1		1	bc1008.bc1010	1
4-Hydroxybenzoate	0.0	0.0	0.0	0.0	0.0	0.0	2.982952072409681	0.0002889802782978781	0.0	0.0	2.982952072409681	0.0002889802782978781	bc1008.bc1010.bc1012	1		1	bc1008.bc1010.bc1012	1
5-Aminolevulinate	0.0	0.0	0.0	0.0	0.0	0.0	2.982952072409681	0.0002889802782978781	0.0	0.0	2.982952072409681	0.0002889802782978781	bc1008.bc1010.bc1012	1		1	bc1008.bc1010.bc1012	1
AMP	0.0	0.0	0.0	0.0	0.0	0.0	2.982952072409681	0.0002889802782978781	0.0	0.0	2.982952072409681	0.0002889802782978781	bc1008.bc1010.bc1012	1		1	bc1008.bc1010.bc1012	1
ARSENOBETAINE	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Acetate	0.0	0.0	0.0	0.0	0.0	0.0	2.982952072409681	0.0002889802782978781	0.0	0.0	2.982952072409681	0.0002889802782978781	bc1008.bc1010.bc1012	1		1	bc1008.bc1010.bc1012	1
Adenine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Adenosine	0.0	0.0	0.0	0.0	0.0	0.0	0.9943173574698935	3.210891981087744e-05	0.0	0.0	0.9943173574698935	3.210891981087744e-05	bc1010	1		1	bc1010	1
Ala-Ala	0.0	0.0	0.0	0.0	0.0	0.0	1.988634714939787	0.00012843567924350976	0.0	0.0	1.988634714939787	0.00012843567924350976	bc1010.bc1012	1		1	bc1010.bc1012	1
