	0.0000-0.0000	0.0000-20.0000	Source	Target
Riboflavin##Turicimonas_muris_YL45##Metabolite##None	126.68907411748705	126.68907411739079	Riboflavin	Turicimonas_muris_YL45
Turicimonas_muris_YL45##H2O-e0##Microbe##Spermidine-e0	-0.9999999999836297	-0.999999999983026	Turicimonas_muris_YL45	H2O-e0
Turicimonas_muris_YL45##H2O-e0##Microbe##Folate	10.499999999980227	10.499999999961402	Turicimonas_muris_YL45	H2O-e0
Turicimonas_muris_YL45##H2O-e0##Microbe##Riboflavin	-5254.119353031597	-5247.119353027718	Turicimonas_muris_YL45	H2O-e0
Turicimonas_muris_YL45##Phosphate-e0##Microbe##Riboflavin	-127.45775495970794	-127.45775495960842	Turicimonas_muris_YL45	Phosphate-e0
Turicimonas_muris_YL45##L-Glutamate-e0##Microbe##Spermidine-e0	3.0000000000011817	3.0000000000012768	Turicimonas_muris_YL45	L-Glutamate-e0
Turicimonas_muris_YL45##L-Glutamate-e0##Microbe##Folate	-1.500000000000839	-1.5000000000027378	Turicimonas_muris_YL45	L-Glutamate-e0
Turicimonas_muris_YL45##L-Glutamate-e0##Microbe##Riboflavin	-466.21326904911086	-467.2132690487409	Turicimonas_muris_YL45	L-Glutamate-e0
Turicimonas_muris_YL45##Zn2+-e0##Microbe##Riboflavin	-0.9241112603174525	-0.9241112603179752	Turicimonas_muris_YL45	Zn2+-e0
Turicimonas_muris_YL45##L-Lysine-e0##Microbe##Riboflavin	-41.26899935746336	-41.26899935742889	Turicimonas_muris_YL45	L-Lysine-e0
Turicimonas_muris_YL45##L-Aspartate-e0##Microbe##Spermidine-e0	-2.9999999999975935	-2.999999999997623	Turicimonas_muris_YL45	L-Aspartate-e0
Turicimonas_muris_YL45##L-Aspartate-e0##Microbe##Folate	10.499999999999376	10.499999999997545	Turicimonas_muris_YL45	L-Aspartate-e0
Turicimonas_muris_YL45##L-Aspartate-e0##Microbe##Riboflavin	-688.117161642343	-682.1171616418994	Turicimonas_muris_YL45	L-Aspartate-e0
Turicimonas_muris_YL45##Sulfate-e0##Microbe##Riboflavin	-0.924111260303212	-0.9241112602976418	Turicimonas_muris_YL45	Sulfate-e0
Turicimonas_muris_YL45##L-Arginine-e0##Microbe##Riboflavin	-35.57235834185061	-35.572358341825215	Turicimonas_muris_YL45	L-Arginine-e0
Turicimonas_muris_YL45##L-Histidine-e0##Microbe##Riboflavin	-11.39328203119662	-11.393282031188376	Turicimonas_muris_YL45	L-Histidine-e0
Turicimonas_muris_YL45##L-Proline-e0##Microbe##Riboflavin	-26.584324739480696	-26.584324739459074	Turicimonas_muris_YL45	L-Proline-e0
