	0.0000-0.0020	0.0084-0.0084	0.0084-0.0085	0.0085-0.0086	0.0086-0.0087	0.0087-0.0254	0.0329-0.0337	0.0337-0.0348	0.0463-0.0464	0.0464-0.0495	0.0495-0.0497	0.0497-0.0498	0.0498-0.0499	0.0499-0.0499	0.0499-0.0522	0.0622-0.0750	0.0750-0.0750	0.0750-0.0751	0.0751-0.0752	0.0752-0.1059	0.1059-0.1133	0.1133-0.1195	0.1195-0.1205	0.1205-0.1453	0.1453-0.1453	0.1453-0.1454	0.1454-0.1879	0.1879-0.2089	0.2091-0.2162	0.2164-0.2410	0.2410-0.2700	0.2700-0.3483	0.3483-0.3483	0.3483-0.4735	0.4735-0.5060	0.5060-0.5077	0.5077-0.5130	0.5130-0.5600	0.5600-0.5814	0.5814-0.5818	0.5818-0.8009	0.8011-0.8014	0.8014-0.8091	0.8091-0.8091	0.8091-0.9883	1.0265-1.0833	1.0833-1.0838	1.0838-18.3854	18.3854-20.0000	Source	Target
Riboflavin##Phosphate-e0##Flavonifractor_plautii_YL31	-127.4577549589879	-127.45775495965268	-127.4577549596765	-127.45775495964547	-127.45775495963801	-127.45775495965145	-127.45775495994644	-127.45775495986408	-127.45775496052597	-127.45775495967965	-127.45775495984991	-127.45775495971857	-127.45775495979989	-127.45775495981142	-127.45775495972157	-127.45775495962747	-127.45775495965268	-127.45775495930158	-127.45775495925153	-127.4577549592754	-127.45775495863217	-127.4577549591456	-127.45775495953089	-127.45775495999493	-127.45775496053392	-127.45775495975262	-127.45775495976554	-127.45775495970193	-127.45775496310927	-127.45775496150277	-127.45775496622639	-127.45775495981688	-127.45775495926465	-127.4577549593948	-127.4577549600501	-127.45775495960723	-127.45775495984664	-127.4577549596844	-127.45775495980072	-127.45775496013913	-127.45775496011906	-127.45775495939759	-127.45775495957007	-127.45775496015993	-127.45775496014272	-127.45775496029212	-127.45775496045705	-127.45775495928453	-127.45775495928416	Riboflavin	Phosphate-e0
Riboflavin##L-Glutamate-e0##Flavonifractor_plautii_YL31	-68.22864673318477	-68.22864673399604	-68.22864673400795	-176.85133816514897	-196.81247502507537	-196.81247502509558	302.2828139365267	439.42585533869044	-494.4349943694542	424.9310687538513	242.23682441745837	69.15850059228873	381.5404222710712	381.54042227110597	86.92493321063563	-18.980814954526956	745.9646820492643	0.5532850301415362	-717.7333529734888	-373.54291399362603	-1334.2899913409592	-1334.2899913460642	233.89073307127967	891.0233403257769	881.1373517858596	1634.373646548618	129.40105701479152	-101.91273556663351	-3010.538084753427	1851.5516832009428	-633.6493706668738	-633.6493706354934	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Riboflavin	L-Glutamate-e0
Riboflavin##D-Glucose-e0##Flavonifractor_plautii_YL31	-8.74087128262677	-8.740871282646038	-8.740871282645998	-8.740871282644227	-8.74087128264387	-8.74087128264443	-8.740871282663635	-8.740871282656013	-8.740871282694544	-8.740871282653917	-8.740871282664246	-8.740871282648497	-8.740871282650128	-8.740871282650783	-8.74087128264845	-8.740871282642516	-8.740871282648031	-8.740871282633025	-8.740871282620443	-8.740871282619016	-8.740871282549838	-8.74087128253981	-8.740871282670435	-8.740871282701422	-8.740871282625509	-8.74087128268452	-8.740871282675405	-8.740871282669017	-53.44533486473033	-53.44533486426007	-53.445334866105675	-57.39973028047507	-57.39973028025344	-57.39973028033974	-57.399730280601766	-57.39973028041579	-57.39973028049173	-372.7358167436997	-372.7358167440005	528.2752733655132	528.2752733654364	-372.73581674293865	-372.73581674331194	80.24122544602054	-69.59585643007091	0.0	0.0	0.0	0.0	Riboflavin	D-Glucose-e0
Riboflavin##Mn2+-e0##Flavonifractor_plautii_YL31	-0.9241112603170188	-0.9241112603208748	-0.9241112603210403	-0.924111260320817	-0.9241112603207601	-0.9241112603208514	-0.9241112603230218	-0.924111260322282	-0.9241112603272511	-0.924111260321711	-0.9241112603232825	-0.9241112603220162	-0.9241112603230552	-0.9241112603231435	-0.9241112603220797	-0.9241112603213854	-0.9241112603210575	-0.9241112603191456	-0.9241112603177682	-0.9241112603184451	-0.9241112603134782	-0.9241112603175423	-0.9241112603200836	-0.9241112603238013	-0.9241112603235131	-0.9241112603223692	-0.9241112603226467	-0.9241112603223969	-0.9241112603469454	-0.9241112603380092	-0.9241112603723454	-0.9241112603215572	-0.9241112603176029	-0.9241112603193076	-0.9241112603238153	-0.9241112603201751	-0.9241112603214633	-0.9241112603212311	-0.9241112603217113	-0.9241112603230345	-0.9241112603228333	-0.9241112603189889	-0.9241112603198428	-0.9241112603236615	-0.9241112603242152	-0.9241112603252126	-0.9241112603272658	-0.9241112603182554	-0.9241112603182479	Riboflavin	Mn2+-e0
Riboflavin##Zn2+-e0##Flavonifractor_plautii_YL31	-0.9241112603180938	-0.9241112603210293	-0.9241112603211624	-0.9241112603209786	-0.9241112603209342	-0.9241112603210285	-0.9241112603230164	-0.9241112603222693	-0.9241112603264174	-0.924111260322045	-0.9241112603232121	-0.9241112603225442	-0.9241112603239008	-0.9241112603239467	-0.9241112603226249	-0.924111260321868	-0.9241112603202605	-0.9241112603188251	-0.9241112603182438	-0.9241112603181302	-0.9241112603137226	-0.9241112603204955	-0.9241112603192165	-0.9241112603222087	-0.9241112603200441	-0.9241112603222494	-0.9241112603229051	-0.9241112603231966	-0.924111260340802	-0.9241112603364017	-0.9241112603648538	-0.9241112603216808	-0.9241112603169374	-0.924111260319488	-0.9241112603232214	-0.924111260319584	-0.9241112603206278	-0.924111260321287	-0.9241112603220033	-0.9241112603216637	-0.9241112603215064	-0.9241112603197581	-0.924111260319607	-0.9241112603233084	-0.9241112603239547	-0.9241112603247065	-0.9241112603273428	-0.9241112603180087	-0.9241112603180135	Riboflavin	Zn2+-e0
Riboflavin##L-Lysine-e0##Flavonifractor_plautii_YL31	-41.2689993574145	-41.26899935766655	-41.26899935767474	-41.268999357663766	-41.26899935766112	-41.26899935766489	-41.26899935776064	-41.26899935773397	-41.26899935793514	-41.26899935768196	-41.26899935773045	-41.26899935769085	-41.26899935772494	-41.268999357728575	-41.268999357692024	-41.26899935766139	-41.268999357667504	-41.26899935756275	-41.26899935753177	-41.2689993575458	-41.26899935734652	-41.26899935754544	-41.26899935760812	-41.26899935776641	-41.268999357978196	-41.268999357707266	-41.268999357697695	-41.26899935767885	-41.26899935870155	-41.26899935828981	-41.268999359752826	-41.26899935770416	-41.26899935753487	-41.26899935758464	-41.26899935779351	-41.268999357649925	-41.2689993577166	-41.2689993576723	-41.2689993577182	-41.268999357813335	-41.26899935780706	-41.26899935758238	-41.2689993576317	-41.2689993578229	-41.268999357822544	-41.268999357870854	-41.26899935790016	-41.26899935754917	-41.268999357549106	Riboflavin	L-Lysine-e0
Riboflavin##L-Aspartate-e0##Flavonifractor_plautii_YL31	-57.82883678993975	-57.828836790065175	-57.82883679007322	-57.82883679006361	-57.828836790060144	-57.82883679006786	-57.82883679018391	-57.82883679013704	-1925.5505362110425	-86.8184099585219	-86.81840995863611	-86.81840995854314	-86.8184099585924	-86.81840995860043	-86.81840995854407	-86.81840995848182	-86.81840995848951	-86.81840995828237	-86.81840995822532	-431.0088489382868	-1391.755926285221	-3624.010575924905	1083.531597328577	1083.531597332565	-1933.3679771637137	1079.577201913861	1079.5772019137044	1079.5772019132125	1079.5772019406725	1079.5772019285498	1079.57720196742	1079.5772019137407	1713.2265725420684	1080.577201910466	1080.577201915881	2345.8759431814174	453.8594244039131	1715.2037702563678	1715.2037702577607	-86.81840995873134	-86.81840995872119	1715.2037702528432	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Riboflavin	L-Aspartate-e0
Riboflavin##Sulfate-e0##Flavonifractor_plautii_YL31	-0.9241112603194245	-0.9241112603206846	-0.9241112603207597	-0.9241112603206372	-0.924111260320578	-0.924111260320678	-0.9241112603232423	-0.9241112603227218	-0.9241112603266631	-0.9241112603223666	-0.9241112603227619	-0.9241112603215811	-0.9241112603215094	-0.9241112603215944	-0.9241112603215649	-0.9241112603207781	-0.9241112603211565	-0.9241112603191218	-0.9241112603180749	-0.9241112603183514	-0.9241112603125814	-0.9241112603161795	-0.9241112603207722	-0.9241112603262637	-0.924111260327897	-0.9241112603211028	-0.9241112603215872	-0.9241112603202105	-0.9241112603451919	-0.9241112603370493	-0.9241112603700344	-0.9241112603246555	-0.9241112603210166	-0.924111260321096	-0.9241112603270304	-0.9241112603255696	-0.9241112603236362	-0.9241112603260847	-0.9241112603263253	-0.9241112603239401	-0.924111260323806	-0.9241112603197392	-0.9241112603230969	-0.9241112603259927	-0.9241112603257462	-0.9241112603269505	-0.9241112603267326	-0.9241112603173832	-0.9241112603173807	Riboflavin	Sulfate-e0
Putrescine-e0##L-Arginine-e0##Flavonifractor_plautii_YL31	0.9999999999999866	0.9999999999999745	0.9999999999999759	0.9999999999999757	0.9999999999999775	0.9999999999999742	0.9999999999999746	0.9999999999999685	0.9999999999998856	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.9999999999874123	-1.9999999999835114	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Putrescine-e0	L-Arginine-e0
Spermidine-e0##L-Arginine-e0##Flavonifractor_plautii_YL31	0.9999999999999883	1.0000000000002727	1.0000000000002072	1.0000000000003166	1.0000000000002016	1.000000000000258	1.0000000000003886	1.0000000000002967	1.0000000000003801	2.00000000001281	1.0000000000152713	0.0	0.0	0.0	0.0	0.0	-1.9999999999945675	2.000000000015253	0.0	1.000000000010127	1.0000000000159532	2.0000000000402083	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Spermidine-e0	L-Arginine-e0
