time [h],coculture,probe1,probe2,probe1_copies/5ng gDNA (16Scorrected),probe2_copies/5ng gDNA (16Scorrected),sum_copies,relativ abundance probe1,relative abundance probe 2
0,KB1I46,KB1,I46,6.10E+04,5.95E+05,6.56E+05,0.09,0.91
24,KB1I46,KB1,I46,4.68E+05,1.32E+05,6.00E+05,0.78,0.22
48,KB1I46,KB1,I46,7.85E+05,3.20E+04,8.17E+05,0.96,0.04
72,KB1I46,KB1,I46,3.18E+05,1.58E+04,3.33E+05,0.95,0.05
0,KB18I46,KB18,I46,6.55E+02,3.48E+05,3.48E+05,0.00,1.00
24,KB18I46,KB18,I46,1.72E+04,2.90E+05,3.07E+05,0.06,0.94
48,KB18I46,KB18,I46,7.45E+03,4.28E+05,4.35E+05,0.02,0.98
72,KB18I46,KB18,I46,2.32E+03,5.58E+05,5.60E+05,0.00,1.00
0,YL2I46,YL2,I46,3.57E+05,3.95E+05,7.52E+05,0.47,0.53
24,YL2I46,YL2,I46,4.00E+05,3.35E+05,7.35E+05,0.54,0.46
48,YL2I46,YL2,I46,2.22E+05,4.15E+05,6.37E+05,0.35,0.65
72,YL2I46,YL2,I46,1.72E+05,1.56E+04,1.88E+05,0.92,0.08
0,YL27I46,YL27,I46,3.18E+05,6.40E+05,9.58E+05,0.33,0.67
24,YL27I46,YL27,I46,8.30E+04,2.55E+05,3.38E+05,0.25,0.75
48,YL27I46,YL27,I46,7.23E+04,4.35E+05,5.07E+05,0.14,0.86
72,YL27I46,YL27,I46,1.09E+05,6.83E+05,7.92E+05,0.14,0.86
0,YL31I46,YL31,I46,1.13E+05,4.93E+05,6.06E+05,0.19,0.81
24,YL31I46,YL31,I46,7.50E+04,3.70E+05,4.45E+05,0.17,0.83
48,YL31I46,YL31,I46,4.76E+04,4.55E+05,5.03E+05,0.09,0.91
72,YL31I46,YL31,I46,6.80E+04,5.50E+05,6.18E+05,0.11,0.89
0,YL32I46,YL32,I46,5.72E+03,4.30E+05,4.36E+05,0.01,0.99
24,YL32I46,YL32,I46,5.94E+03,4.43E+05,4.48E+05,0.01,0.99
48,YL32I46,YL32,I46,8.24E+03,5.88E+05,5.96E+05,0.01,0.99
72,YL32I46,YL32,I46,9.72E+03,6.75E+05,6.85E+05,0.01,0.99
0,YL44I46,YL44,I46,2.12E+03,6.68E+05,6.70E+05,0.00,1.00
24,YL44I46,YL44,I46,2.71E+05,7.40E+05,1.01E+06,0.27,0.73
48,YL44I46,YL44,I46,2.96E+04,4.45E+05,4.75E+05,0.06,0.94
72,YL44I46,YL44,I46,1.01E+03,6.53E+05,6.54E+05,0.00,1.00
0,YL45I46,YL45,I46,3.18E+04,3.48E+05,3.79E+05,0.08,0.92
24,YL45I46,YL45,I46,4.58E+04,6.45E+05,6.91E+05,0.07,0.93
48,YL45I46,YL45,I46,4.98E+04,6.73E+05,7.22E+05,0.07,0.93
72,YL45I46,YL45,I46,3.20E+04,5.40E+05,5.72E+05,0.06,0.94
0,I46I48,I46,I48,6.13E+05,3.09E+05,9.22E+05,0.66,0.34
24,I46I48,I46,I48,3.48E+04,2.10E+05,2.45E+05,0.14,0.86
