	0.0000-0.2639	0.2711-0.2739	0.2739-0.3863	0.3863-0.3887	0.3887-0.3914	0.3914-1.1708	1.1708-2.0000	Source	Target
bc1003##Oxidized glutathione##Microbe	-0.00021463796547111584	-0.00021463796547111584	-0.00021463796547111584	-0.00021463796547111584	-0.0003908913096243489	-0.0003908913096243489	-0.0003908913096243489	bc1003	Oxidized glutathione
bc1003##CoA##Microbe	-0.0008585518618831928	-0.0008585518618831928	-0.0008585518618831928	-0.0008585518618831928	-0.0015635652384950694	-0.0015635652384950694	-0.0015635652384950694	bc1003	CoA
bc1003##L-Glutamine##Microbe	-0.03265674983488622	-0.03265674983488622	-0.03265674983488622	-0.03265674983488622	-0.059473354040673304	-0.059473354040673304	-0.059473354040673304	bc1003	L-Glutamine
bc1016##Glycine##Microbe	-0.02881002635575413	-0.02881002635575413	-0.02881002635575413	-0.02881002635575413	-0.02881002635575413	-0.02881002635575413	-0.02881002635575413	bc1016	Glycine
bc1012##Fumarate##Microbe	-0.9999999999999988	-1.0000000000000757	-1.7987682410884713	-1.7987682410884713	-1.7987682410884713	0.0	0.0	bc1012	Fumarate
bc1016##L-Phenylalanine##Microbe	-0.008877652716890791	-0.008877652716890791	-0.008877652716890791	-0.008877652716890791	-0.008877652716890791	-0.008877652716890791	-0.008877652716890791	bc1016	L-Phenylalanine
bc1016##GTP##Microbe	-0.007940790125458919	-0.007940790125458919	-0.007940790125458919	-0.007940790125458919	-0.007940790125458919	-0.007940790125458919	-0.007940790125458919	bc1016	GTP
bc1003##1,2-Diacyl-sn-glycerol dioctadecanoyl##Microbe	-0.019058002322127163	-0.019058002322127163	-0.019058002322127163	-0.019058002322127163	-0.03470778093786329	-0.03470778093786329	-0.03470778093786329	bc1003	1,2-Diacyl-sn-glycerol dioctadecanoyl
bc1003##Deoxycytidine##Microbe	-0.0031688731750682303	-0.0031688731750682303	-0.0031688731750682303	-0.0031688731750682303	-0.005771043266819352	-0.005771043266819352	-0.005771043266819352	bc1003	Deoxycytidine
bc1012##L-Asparagine##Microbe	-0.03755367335820289	-0.15723309439392485	-0.03164029214401537	-0.03164029214401537	-0.03164029214401537	-0.03646297114992359	-0.03646297114992359	bc1012	L-Asparagine
bc1011##L-Asparagine##Microbe	-0.03068405114481698	-0.03068405114481698	-0.03068405114481698	-0.05425571115270685	-0.05425571115270685	-0.05425571115270685	-0.05425571115270685	bc1011	L-Asparagine
bc1016##D-Glucose##Microbe	-1.000000000000001	-1.000000000000001	-1.000000000000001	-1.000000000000001	-1.000000000000001	-1.000000000000001	-1.000000000000001	bc1016	D-Glucose
bc1012##ddca##Microbe	-0.004676771613351948	-0.01958112767098951	-0.003940344762703997	-0.003940344762703997	-0.003940344762703997	-0.004540940290601349	-0.004540940290601349	bc1012	ddca
bc1011##ddca##Microbe	-0.013411812510559186	-0.013411812510559186	-0.013411812510559186	-0.023714842025677946	-0.023714842025677946	-0.023714842025677946	-0.023714842025677946	bc1011	ddca
bc1003##Mg##Microbe	-0.0004292759309417511	-0.0004292759309417511	-0.0004292759309417511	-0.0004292759309417511	-0.000781782619247819	-0.000781782619247819	-0.000781782619247819	bc1003	Mg
bc1016##Acetate##Microbe	1.4964829358497282	1.4964829358497282	1.4964829358497282	1.4964829358497282	1.4964829358497282	1.4964829358497282	1.4964829358497282	bc1016	Acetate
bc1012##L-Glutamate##Microbe	-0.04774332801006928	-0.1998960561880917	-0.04022543498627857	-0.04022543498627857	-0.04022543498627857	-0.046356679284812914	-0.046356679284812914	bc1012	L-Glutamate
bc1016##CMP##Microbe	-0.0013548885500875866	-0.0013548885500875866	-0.0013548885500875866	-0.0013548885500875866	-0.0013548885500875866	-0.0013548885500875866	-0.0013548885500875866	bc1016	CMP
bc1011##L-Glutamate##Microbe	-0.023295956329484533	-0.023295956329484533	-0.023295956329484533	-0.04119204050577506	-0.04119204050577506	-0.04119204050577506	-0.04119204050577506	bc1011	L-Glutamate
bc1011##Riboflavin##Microbe	-0.001286221957036697	-0.001286221957036697	-0.001286221957036697	-0.0022743048709537948	-0.0022743048709537948	-0.0022743048709537948	-0.0022743048709537948	bc1011	Riboflavin
bc1016##D-Arabinose##Microbe	-0.004310823197917686	-0.004310823197917686	-0.004310823197917686	-0.004310823197917686	-0.004310823197917686	-0.004310823197917686	-0.004310823197917686	bc1016	D-Arabinose
bc1016##K+##Microbe	-0.00016122306954369063	-0.00016122306954369063	-0.00016122306954369063	-0.00016122306954369063	-0.00016122306954369063	-0.00016122306954369063	-0.00016122306954369063	bc1016	K+
bc1016##L-Histidine##Microbe	-0.004553954419615389	-0.004553954419615389	-0.004553954419615389	-0.004553954419615389	-0.004553954419615389	-0.004553954419615389	-0.004553954419615389	bc1016	L-Histidine
bc1016##TTP##Microbe	-0.0011514359277811903	-0.0011514359277811903	-0.0011514359277811903	-0.0011514359277811903	-0.0011514359277811903	-0.0011514359277811903	-0.0011514359277811903	bc1016	TTP
bc1016##fe3##Microbe	-0.00048366920862980575	-0.00048366920862980575	-0.00048366920862980575	-0.00048366920862980575	-0.00048366920862980575	-0.00048366920862980575	-0.00048366920862980575	bc1016	fe3
bc1016##Citrate##Microbe	-0.0071847053298567266	-0.0071847053298567266	-0.0071847053298567266	-0.0071847053298567266	-0.0071847053298567266	-0.0071847053298567266	-0.0071847053298567266	bc1016	Citrate
bc1012##Myristic acid##Microbe	-0.02338385806675118	-0.09790563835491489	-0.01970172381350971	-0.01970172381350971	-0.01970172381350971	-0.02270470145299915	-0.02270470145299915	bc1012	Myristic acid
