	0.0000-0.2268	0.2323-0.4202	0.4202-0.4202	0.4202-0.4203	0.4203-0.4217	0.4217-0.4217	0.4217-0.4218	0.4218-0.4222	0.4222-0.4229	0.4229-0.4234	0.4234-0.4235	0.4235-0.4236	0.4242-1.1763	1.1763-2.5000	Source	Target
O2##bc1009##Metabolite	0.15319477863951841	0.15319477863951841	0.15319477863951841	0.15319477863951841	0.15319477863951841	0.15319477863951841	0.15319477863951841	0.0	0.0	0.0	0.0	0.0	0.0	0.0	O2	bc1009
bc1009##TRHL##Microbe	-0.009073984314156668	-0.009073984314156668	-0.009073984314156668	-0.009073984314156668	-0.009073984314156668	-0.009073984314156668	-0.009073984314156668	-0.016532851360032557	-0.016532851360032557	-0.016532851360032557	-0.016532851360032557	-0.016532851360032557	-0.016532851360032557	-0.016532851360032557	bc1009	TRHL
bc1010##L-Proline##Microbe	-0.028119519345073743	-0.028119519345073743	-0.028119519345073743	-0.21451452722583847	-0.21451452722583847	-0.21451452722583847	-0.21451452722583847	-0.21451452722583847	-0.21451452722583847	-0.21451452722583847	-0.21451452722583847	-0.024175334027483904	-0.024175334027483904	-0.024175334027483904	bc1010	L-Proline
bc1002##Mg##Microbe	-0.0004290631409920729	-0.0004290631409920729	-0.0004290631409920729	-0.0004290631409920729	-0.0007601067719261218	-0.0007601067719261218	-0.0007601067719261218	-0.0007601067719261218	-0.0007601067719261218	-0.0007601067719261218	-0.0007601067719261218	-0.0007601067719261218	-0.0007601067719261218	-0.0007601067719261218	bc1002	Mg
bc1012##L-Leucine##Microbe	-0.07019456017951478	-0.06525200262901612	-0.06525200262901612	-0.06525200262901612	-0.06525200262901612	-0.06525200262901612	-0.06525200262901612	-0.06525200262901612	-0.06525200262901612	-0.5877937852499147	-0.5877937852507746	-0.5877937852507746	-0.06436860568180389	-0.06436860568180389	bc1012	L-Leucine
bc1008##Sulfate##Microbe	-0.00016122307070240508	-0.00016122307070240508	-0.00016122307070240508	-0.00016122307070240508	-0.00016122307070240508	-0.00016122307070240508	-0.00016122307070240508	-0.00016122307070240508	-0.00016122307070240508	-0.00016122307070240508	-0.00016122307070240508	-0.00016122307070240508	-0.00016122307070240508	-0.00016122307070240508	bc1008	Sulfate
bc1003##CMP##Microbe	-0.012865862501866415	-0.012865862501866415	-0.012865862501866415	-0.012865862501866415	-0.012865862501866415	-0.012865862501866415	-0.023430868028228493	-0.023430868028228493	-0.023430868028228493	-0.023430868028228493	-0.023430868028228493	-0.023430868028228493	-0.023430868028228493	-0.023430868028228493	bc1003	CMP
bc1003##Glycine##Microbe	-0.07671018123726647	-0.07671018123726647	-0.07671018123726647	-0.07671018123726647	-0.07671018123726647	-0.07671018123726647	-0.13970195412325886	-0.13970195412325886	-0.13970195412325886	-0.13970195412325886	-0.13970195412325886	-0.13970195412325886	-0.13970195412325886	-0.13970195412325886	bc1003	Glycine
bc1003##CoA##Microbe	-0.0008585518618854854	-0.0008585518618854854	-0.0008585518618854854	-0.0008585518618854854	-0.0008585518618854854	-0.0008585518618854854	-0.0015635652384992091	-0.0015635652384992091	-0.0015635652384992091	-0.0015635652384992091	-0.0015635652384992091	-0.0015635652384992091	-0.0015635652384992091	-0.0015635652384992091	bc1003	CoA
bc1003##N-Acetyl-D-glucosamine##Microbe	-0.013443922141683867	-0.013443922141683867	-0.013443922141683867	-0.013443922141683867	-0.013443922141683867	-0.013443922141683867	-0.024483610441031794	-0.024483610441031794	-0.024483610441031794	-0.024483610441031794	-0.024483610441031794	-0.024483610441031794	-0.024483610441031794	-0.024483610441031794	bc1003	N-Acetyl-D-glucosamine
bc1010##ddca##Microbe	-0.012533286795656856	-0.012533286795656856	-0.012533286795656856	-0.09561230611949748	-0.09561230611949748	-0.09561230611949748	-0.09561230611949748	-0.09561230611949748	-0.09561230611949748	-0.09561230611949748	-0.09561230611949748	-0.010775304905793886	-0.010775304905793886	-0.010775304905793886	bc1010	ddca
bc1008##Deoxycytidine##Microbe	-0.0006940265934837534	-0.0006940265934837534	-0.0006940265934837534	-0.0006940265934837534	-0.0006940265934837534	-0.0006940265934837534	-0.0006940265934837534	-0.0006940265934837534	-0.0006940265934837534	-0.0006940265934837534	-0.0006940265934837534	-0.0006940265934837534	-0.0006940265934837534	-0.0006940265934837534	bc1008	Deoxycytidine
bc1001##5-Aminolevulinate##Microbe	-0.0034204019858847788	-0.0034204019858847788	-0.0034204019858847788	-0.0034204019858847788	-0.0034204019858847788	-0.0034204019858847788	-0.0034204019858847788	-0.03512654607809604	-0.03512654607809604	-0.03512654607809604	-0.03512654607809604	-0.03512654607809604	-0.0029849501137366305	-0.0029849501137366305	bc1001	5-Aminolevulinate
bc1002##Sulfate##Microbe	-0.00042906314099242773	-0.00042906314099242773	-0.00042906314099242773	-0.00042906314099242773	-0.0007601067719267512	-0.0007601067719267512	-0.0007601067719267512	-0.0007601067719267512	-0.0007601067719267512	-0.0007601067719267512	-0.0007601067719267512	-0.0007601067719267512	-0.0007601067719267512	-0.0007601067719267512	bc1002	Sulfate
bc1012##dATP##Microbe	-0.002229008479089738	-0.002072058956786439	-0.002072058956786439	-0.002072058956786439	-0.002072058956786439	-0.002072058956786439	-0.002072058956786439	-0.002072058956786439	-0.002072058956786439	-0.018665226022177215	-0.018665226022072417	-0.018665226022072417	-0.0020440069356516635	-0.0020440069356516635	bc1012	dATP
bc1003##L-Glutamine##Microbe	-0.03265674983489129	-0.03265674983489129	-0.03265674983489129	-0.03265674983489129	-0.03265674983489129	-0.03265674983489129	-0.05947335404068059	-0.05947335404068059	-0.05947335404068059	-0.05947335404068059	-0.05947335404068059	-0.05947335404068059	-0.05947335404068059	-0.05947335404068059	bc1003	L-Glutamine
bc1015##L-Threonine##Microbe	-0.03234658735092728	-0.03234658735092728	-0.03234658735092728	-0.03234658735092728	-0.03234658735092728	-0.32462774218321183	-0.32462774218321183	-0.32462774218321183	-0.052831986651251266	-0.052831986651251266	-0.052831986651251266	-0.052831986651251266	-0.052831986651251266	-0.052831986651251266	bc1015	L-Threonine
bc1002##Deoxycytidine##Microbe	-0.003430938980633348	-0.003430938980633348	-0.003430938980633348	-0.003430938980633348	-0.006078079667283495	-0.006078079667283495	-0.006078079667283495	-0.006078079667283495	-0.006078079667283495	-0.006078079667283495	-0.006078079667283495	-0.006078079667283495	-0.006078079667283495	-0.006078079667283495	bc1002	Deoxycytidine
bc1011##L-Proline##Microbe	-0.028166734310321025	-0.028166734310321025	-0.04980457742177611	-0.04980457742177611	-0.04980457742177611	-0.04980457742177611	-0.04980457742177611	-0.04980457742177611	-0.04980457742177611	-0.04980457742177611	-0.04980457742177611	-0.04980457742177611	-0.04980457742177611	-0.04980457742177611	bc1011	L-Proline
bc1001##CMP##Microbe	-0.012814141930538103	-0.012814141930538103	-0.012814141930538103	-0.012814141930538103	-0.012814141930538103	-0.012814141930538103	-0.012814141930538103	-0.13159755748996013	-0.13159755748996013	-0.13159755748996013	-0.13159755748996013	-0.13159755748996013	-0.01118277166561901	-0.01118277166561901	bc1001	CMP
bc1010##Adenosine##Microbe	-0.005429182532252253	-0.005429182532252253	-0.005429182532252253	-0.04141744066944862	-0.04141744066944862	-0.04141744066944862	-0.04141744066944862	-0.04141744066944862	-0.04141744066944862	-0.04141744066944862	-0.04141744066944862	-0.004667658063526189	-0.004667658063526189	-0.004667658063526189	bc1010	Adenosine
bc1001##Glycine##Microbe	-0.07640180747689798	-0.07640180747689798	-0.07640180747689798	-0.07640180747689798	-0.07640180747689798	-0.07640180747689798	-0.07640180747689798	-0.7846246206947466	-0.7846246206947466	-0.7846246206947466	-0.7846246206947466	-0.7846246206947466	-0.06667508230252182	-0.06667508230252182	bc1001	Glycine
bc1001##CoA##Microbe	-0.0008551004964756129	-0.0008551004964756129	-0.0008551004964756129	-0.0008551004964756129	-0.0008551004964756129	-0.0008551004964756129	-0.0008551004964756129	-0.008781636519559544	-0.008781636519559544	-0.008781636519559544	-0.008781636519559544	-0.008781636519559544	-0.0007462375284391209	-0.0007462375284391209	bc1001	CoA
bc1011##Formate##Microbe	-0.00042874065234434786	-0.00042874065234434786	-0.0007581016236490902	-0.0007581016236490902	-0.0007581016236490902	-0.0007581016236490902	-0.0007581016236490902	-0.0007581016236490902	-0.0007581016236490902	-0.0007581016236490902	-0.0007581016236490902	-0.0007581016236490902	-0.0007581016236490902	-0.0007581016236490902	bc1011	Formate
bc1009##L-Arginine##Microbe	-0.03779266514480386	-0.03779266514480386	-0.03779266514480386	-0.03779266514480386	-0.03779266514480386	-0.03779266514480386	-0.03779266514480386	-0.06885845221968512	-0.06885845221968512	-0.06885845221968512	-0.06885845221968512	-0.06885845221968512	-0.06885845221968512	-0.06885845221968512	bc1009	L-Arginine
bc1012##Zn2+##Microbe	-0.0005247281833008653	-0.0004877808865625527	-0.0004877808865625527	-0.0004877808865625527	-0.0004877808865625527	-0.0004877808865625527	-0.0004877808865625527	-0.0004877808865625527	-0.0004877808865625527	-0.004393958225534284	-0.0043939582257296805	-0.0043939582257296805	-0.0004811771942808468	-0.0004811771942808468	bc1012	Zn2+
bc1011##ddca##Microbe	-0.013411812510540827	-0.013411812510540827	-0.023714842025644858	-0.023714842025644858	-0.023714842025644858	-0.023714842025644858	-0.023714842025644858	-0.023714842025644858	-0.023714842025644858	-0.023714842025644858	-0.023714842025644858	-0.023714842025644858	-0.023714842025644858	-0.023714842025644858	bc1011	ddca
bc1015##Cu2+##Microbe	-0.0004300397838246939	-0.0004300397838246939	-0.0004300397838246939	-0.0004300397838246939	-0.0004300397838246939	-0.004315844591453117	-0.004315844591453117	-0.004315844591453117	-0.000702388040879865	-0.000702388040879865	-0.000702388040879865	-0.000702388040879865	-0.000702388040879865	-0.000702388040879865	bc1015	Cu2+
bc1009##GTP##Microbe	-0.020743618000584708	-0.020743618000584708	-0.020743618000584708	-0.020743618000584708	-0.020743618000584708	-0.020743618000584708	-0.020743618000584708	-0.037794990733884426	-0.037794990733884426	-0.037794990733884426	-0.037794990733884426	-0.037794990733884426	-0.037794990733884426	-0.037794990733884426	bc1009	GTP
bc1016##Uridine##Microbe	-0.005379814634998665	-0.005379814634998665	-0.005379814634998665	-0.005379814634998665	-0.005379814634998665	-0.005379814634998665	-0.005379814634998665	-0.005379814634998665	-0.005379814634998665	-0.005379814634998665	-0.005379814634998665	-0.005379814634998665	-0.005379814634998665	-0.005379814634998665	bc1016	Uridine
bc1010##Fumarate##Microbe	-0.00042802196856188955	-0.00042802196856188955	-0.00042802196856188955	-0.0032652382532175526	-0.0032652382532175526	-0.0032652382532175526	-0.0032652382532175526	-0.0032652382532175526	-0.0032652382532175526	-0.0032652382532175526	-0.0032652382532175526	-0.00036798545288922095	-0.00036798545288922095	-0.00036798545288922095	bc1010	Fumarate
bc1003##L-Histidine##Microbe	-0.012125454678913452	-0.012125454678913452	-0.012125454678913452	-0.012125454678913452	-0.012125454678913452	-0.012125454678913452	-0.022082462666041563	-0.022082462666041563	-0.022082462666041563	-0.022082462666041563	-0.022082462666041563	-0.022082462666041563	-0.022082462666041563	-0.022082462666041563	bc1003	L-Histidine
bc1008##NH3##Microbe	0.000806115353507365	0.000806115353507365	0.000806115353507365	0.000806115353507365	0.000806115353507365	0.000806115353507365	0.000806115353507365	0.000806115353507365	0.000806115353507365	0.000806115353507365	0.000806115353507365	0.000806115353507365	0.000806115353507365	0.000806115353507365	bc1008	NH3
bc1009##H2O##Microbe	2.016652287889343	2.016652287889343	2.016652287889343	2.016652287889343	2.016652287889343	2.016652287889343	2.016652287889343	3.6743520118860733	3.6743520118860733	3.6743520118860733	3.6743520118860733	3.6743520118860733	3.6743520118860733	3.6743520118860733	bc1009	H2O
bc1010##L-Leucine##Microbe	-0.05725786185482787	-0.05725786185482787	-0.05725786185482787	-0.4368013199308532	-0.4368013199308532	-0.4368013199308532	-0.4368013199308532	-0.4368013199308532	-0.4368013199308532	-0.4368013199308532	-0.4368013199308532	-0.04922658595452511	-0.04922658595452511	-0.04922658595452511	bc1010	L-Leucine
bc1003##Deoxyguanosine##Microbe	-0.0004292759309424344	-0.0004292759309424344	-0.0004292759309424344	-0.0004292759309424344	-0.0004292759309424344	-0.0004292759309424344	-0.0007817826192490505	-0.0007817826192490505	-0.0007817826192490505	-0.0007817826192490505	-0.0007817826192490505	-0.0007817826192490505	-0.0007817826192490505	-0.0007817826192490505	bc1003	Deoxyguanosine
bc1015##H+##Microbe	0.7807994454790722	0.7807994454790722	0.7807994454790722	0.7807994454790722	0.7807994454790722	-1.1998790885417923	-1.1998790885417923	-1.1998790885417923	1.4792312938027845	1.4792312938027845	1.4792312938027845	1.4792312938027845	1.4792312938027845	1.4792312938027845	bc1015	H+
bc1003##4-Hydroxybenzoate##Microbe	-0.0004292759309448653	-0.0004292759309448653	-0.0004292759309448653	-0.0004292759309448653	-0.0004292759309448653	-0.0004292759309448653	-0.0007817826192534729	-0.0007817826192534729	-0.0007817826192534729	-0.0007817826192534729	-0.0007817826192534729	-0.0007817826192534729	-0.0007817826192534729	-0.0007817826192534729	bc1003	4-Hydroxybenzoate
bc1015##Acetate##Microbe	0.8914178479721736	0.8914178479721736	0.8914178479721736	0.8914178479721736	0.8914178479721736	-0.08972172153475277	-0.08972172153475277	-0.08972172153475277	1.659905375445336	1.659905375445336	1.659905375445336	1.659905375445336	1.659905375445336	1.659905375445336	bc1015	Acetate
bc1010##dGTP##Microbe	-0.002798640559785861	-0.002798640559785861	-0.002798640559785861	-0.021349904640615203	-0.021349904640615203	-0.021349904640615203	-0.021349904640615203	-0.021349904640615203	-0.021349904640615203	-0.021349904640615203	-0.021349904640615203	-0.0024060891484470265	-0.0024060891484470265	-0.0024060891484470265	bc1010	dGTP
bc1010##Oxidized glutathione##Microbe	-0.00021401098428336477	-0.00021401098428336477	-0.00021401098428336477	-0.0016326191266560451	-0.0016326191266560451	-0.0016326191266560451	-0.0016326191266560451	-0.0016326191266560451	-0.0016326191266560451	-0.0016326191266560451	-0.0016326191266560451	-0.0001839927264421947	-0.0001839927264421947	-0.0001839927264421947	bc1010	Oxidized glutathione
bc1011##L-Isoleucine##Microbe	-0.03694332543599826	-0.03694332543599826	-0.0653233950242092	-0.0653233950242092	-0.0653233950242092	-0.0653233950242092	-0.0653233950242092	-0.0653233950242092	-0.0653233950242092	-0.0653233950242092	-0.0653233950242092	-0.0653233950242092	-0.0653233950242092	-0.0653233950242092	bc1011	L-Isoleucine
bc1011##L-Arginine##Microbe	-0.03769171692733727	-0.03769171692733727	-0.06664670505232792	-0.06664670505232792	-0.06664670505232792	-0.06664670505232792	-0.06664670505232792	-0.06664670505232792	-0.06664670505232792	-0.06664670505232792	-0.06664670505232792	-0.06664670505232792	-0.06664670505232792	-0.06664670505232792	bc1011	L-Arginine
bc1010##L-Serine##Microbe	-0.032979009243252685	-0.032979009243252685	-0.032979009243252685	-0.25158597091848806	-0.25158597091848806	-0.25158597091848806	-0.25158597091848806	-0.25158597091848806	-0.25158597091848806	-0.25158597091848806	-0.25158597091848806	-0.028353207413233793	-0.028353207413233793	-0.028353207413233793	bc1010	L-Serine
bc1016##L-Threonine##Microbe	-0.012126822443243436	-0.012126822443243436	-0.012126822443243436	-0.012126822443243436	-0.012126822443243436	-0.012126822443243436	-0.012126822443243436	-0.012126822443243436	-0.012126822443243436	-0.012126822443243436	-0.012126822443243436	-0.012126822443243436	-0.012126822443243436	-0.012126822443243436	bc1016	L-Threonine
bc1008##L-Cysteine##Microbe	-0.004374866355900923	-0.004374866355900923	-0.004374866355900923	-0.004374866355900923	-0.004374866355900923	-0.004374866355900923	-0.004374866355900923	-0.004374866355900923	-0.004374866355900923	-0.004374866355900923	-0.004374866355900923	-0.004374866355900923	-0.004374866355900923	-0.004374866355900923	bc1008	L-Cysteine
bc1009##AMP##Microbe	-0.016018569703250284	-0.016018569703250284	-0.016018569703250284	-0.016018569703250284	-0.016018569703250284	-0.016018569703250284	-0.016018569703250284	-0.029185925689885032	-0.029185925689885032	-0.029185925689885032	-0.029185925689885032	-0.029185925689885032	-0.029185925689885032	-0.029185925689885032	bc1009	AMP
bc1010##dATP##Microbe	-0.00165977687066518	-0.00165977687066518	-0.00165977687066518	-0.01266188964121208	-0.01266188964121208	-0.01266188964121208	-0.01266188964121208	-0.01266188964121208	-0.01266188964121208	-0.01266188964121208	-0.01266188964121208	-0.0014269682126139267	-0.0014269682126139267	-0.0014269682126139267	bc1010	dATP
bc1010##Spermidine##Microbe	-0.0004280219685673105	-0.0004280219685673105	-0.0004280219685673105	-0.003265238253319203	-0.003265238253319203	-0.003265238253319203	-0.003265238253319203	-0.003265238253319203	-0.003265238253319203	-0.003265238253319203	-0.003265238253319203	-0.0003679854528836672	-0.0003679854528836672	-0.0003679854528836672	bc1010	Spermidine
bc1016##Cytidine##Microbe	-0.0034771406772086313	-0.0034771406772086313	-0.0034771406772086313	-0.0034771406772086313	-0.0034771406772086313	-0.0034771406772086313	-0.0034771406772086313	-0.0034771406772086313	-0.0034771406772086313	-0.0034771406772086313	-0.0034771406772086313	-0.0034771406772086313	-0.0034771406772086313	-0.0034771406772086313	bc1016	Cytidine
bc1012##L-Threonine##Microbe	-0.039468827431896704	-0.036689738133040065	-0.036689738133040065	-0.036689738133040065	-0.036689738133040065	-0.036689738133040065	-0.036689738133040065	-0.036689738133040065	-0.036689738133040065	-0.3305032671511771	-0.3305032671516871	-0.3305032671516871	-0.036193023835319464	-0.036193023835319464	bc1012	L-Threonine
bc1001##4-Hydroxybenzoate##Microbe	-0.00042755024823673283	-0.00042755024823673283	-0.00042755024823673283	-0.00042755024823673283	-0.00042755024823673283	-0.00042755024823673283	-0.00042755024823673283	-0.004390818259815194	-0.004390818259815194	-0.004390818259815194	-0.004390818259815194	-0.004390818259815194	-0.00037311876421339875	-0.00037311876421339875	bc1001	4-Hydroxybenzoate
bc1010##Glycerol##Microbe	-0.009501165896946258	-0.009501165896946258	-0.009501165896946258	-0.07248125707504713	-0.07248125707504713	-0.07248125707504713	-0.07248125707504713	-0.07248125707504713	-0.07248125707504713	-0.07248125707504713	-0.07248125707504713	-0.008168484545933477	-0.008168484545933477	-0.008168484545933477	bc1010	Glycerol
bc1003##L-Alanine##Microbe	-0.06928986062036431	-0.06928986062036431	-0.06928986062036431	-0.06928986062036431	-0.06928986062036431	-0.06928986062036431	-0.1261883204219383	-0.1261883204219383	-0.1261883204219383	-0.1261883204219383	-0.1261883204219383	-0.1261883204219383	-0.1261883204219383	-0.1261883204219383	bc1003	L-Alanine
bc1016##Cu2+##Microbe	-0.0001612230695439062	-0.0001612230695439062	-0.0001612230695439062	-0.0001612230695439062	-0.0001612230695439062	-0.0001612230695439062	-0.0001612230695439062	-0.0001612230695439062	-0.0001612230695439062	-0.0001612230695439062	-0.0001612230695439062	-0.0001612230695439062	-0.0001612230695439062	-0.0001612230695439062	bc1016	Cu2+
bc1008##K+##Microbe	-0.00016122307070238624	-0.00016122307070238624	-0.00016122307070238624	-0.00016122307070238624	-0.00016122307070238624	-0.00016122307070238624	-0.00016122307070238624	-0.00016122307070238624	-0.00016122307070238624	-0.00016122307070238624	-0.00016122307070238624	-0.00016122307070238624	-0.00016122307070238624	-0.00016122307070238624	bc1008	K+
bc1011##dGTP##Microbe	-0.0030646187427745973	-0.0030646187427745973	-0.005418876031603551	-0.005418876031603551	-0.005418876031603551	-0.005418876031603551	-0.005418876031603551	-0.005418876031603551	-0.005418876031603551	-0.005418876031603551	-0.005418876031603551	-0.005418876031603551	-0.005418876031603551	-0.005418876031603551	bc1011	dGTP
bc1008##ddca##Microbe	-0.002712659081894954	-0.002712659081894954	-0.002712659081894954	-0.002712659081894954	-0.002712659081894954	-0.002712659081894954	-0.002712659081894954	-0.002712659081894954	-0.002712659081894954	-0.002712659081894954	-0.002712659081894954	-0.002712659081894954	-0.002712659081894954	-0.002712659081894954	bc1008	ddca
bc1012##Cu2+##Microbe	-0.0005247281832999775	-0.0004877808865620963	-0.0004877808865620963	-0.0004877808865620963	-0.0004877808865620963	-0.0004877808865620963	-0.0004877808865620963	-0.0004877808865620963	-0.0004877808865620963	-0.0043939582255302185	-0.0043939582255638245	-0.0043939582255638245	-0.0004811771942807868	-0.0004811771942807868	bc1012	Cu2+
bc1002##L-Proline##Microbe	-0.02818792066625777	-0.02818792066625777	-0.02818792066625777	-0.02818792066625777	-0.04993630852419151	-0.04993630852419151	-0.04993630852419151	-0.04993630852419151	-0.04993630852419151	-0.04993630852419151	-0.04993630852419151	-0.04993630852419151	-0.04993630852419151	-0.04993630852419151	bc1002	L-Proline
bc1008##L-Valine##Microbe	-0.020236954897764493	-0.020236954897764493	-0.020236954897764493	-0.020236954897764493	-0.020236954897764493	-0.020236954897764493	-0.020236954897764493	-0.020236954897764493	-0.020236954897764493	-0.020236954897764493	-0.020236954897764493	-0.020236954897764493	-0.020236954897764493	-0.020236954897764493	bc1008	L-Valine
bc1009##Acetate##Microbe	0.8915634094579943	0.8915634094579943	0.8915634094579943	0.8915634094579943	0.8915634094579943	0.8915634094579943	0.8915634094579943	1.6244336353564475	1.6244336353564475	1.6244336353564475	1.6244336353564475	1.6244336353564475	1.6244336353564475	1.6244336353564475	bc1009	Acetate
bc1016##H+##Microbe	2.428707703934065	2.428707703934065	2.428707703934065	2.428707703934065	2.428707703934065	2.428707703934065	2.428707703934065	2.428707703934065	2.428707703934065	2.428707703934065	2.428707703934065	2.428707703934065	2.428707703934065	2.428707703934065	bc1016	H+
