	0.0000	Source	Target
Spermidine-e0##H2O-e0##Turicimonas_muris_YL45	6.036282584886976e-13	Spermidine-e0	H2O-e0
Folate##H2O-e0##Turicimonas_muris_YL45	-1.8825829783963854e-11	Folate	H2O-e0
Riboflavin##H2O-e0##Turicimonas_muris_YL45	7.000000003878995	Riboflavin	H2O-e0
Riboflavin##Phosphate-e0##Turicimonas_muris_YL45	9.951861557055963e-11	Riboflavin	Phosphate-e0
Spermidine-e0##L-Glutamate-e0##Turicimonas_muris_YL45	9.50350909079134e-14	Spermidine-e0	L-Glutamate-e0
Folate##L-Glutamate-e0##Turicimonas_muris_YL45	-1.8987034167139427e-12	Folate	L-Glutamate-e0
Riboflavin##L-Glutamate-e0##Turicimonas_muris_YL45	-0.999999999630063	Riboflavin	L-Glutamate-e0
Riboflavin##Zn2+-e0##Turicimonas_muris_YL45	-5.226929999935237e-13	Riboflavin	Zn2+-e0
Riboflavin##L-Lysine-e0##Turicimonas_muris_YL45	3.446842811172246e-11	Riboflavin	L-Lysine-e0
Spermidine-e0##L-Aspartate-e0##Turicimonas_muris_YL45	-2.930988785010413e-14	Spermidine-e0	L-Aspartate-e0
Folate##L-Aspartate-e0##Turicimonas_muris_YL45	-1.8314239014216582e-12	Folate	L-Aspartate-e0
Riboflavin##L-Aspartate-e0##Turicimonas_muris_YL45	6.000000000443606	Riboflavin	L-Aspartate-e0
Riboflavin##Sulfate-e0##Turicimonas_muris_YL45	5.570210959149335e-12	Riboflavin	Sulfate-e0
Riboflavin##L-Arginine-e0##Turicimonas_muris_YL45	2.539479737606598e-11	Riboflavin	L-Arginine-e0
Riboflavin##L-Histidine-e0##Turicimonas_muris_YL45	8.244072091656562e-12	Riboflavin	L-Histidine-e0
Riboflavin##L-Proline-e0##Turicimonas_muris_YL45	2.162181544917985e-11	Riboflavin	L-Proline-e0
Riboflavin##Co2+-e0##Turicimonas_muris_YL45	9.029443859276398e-13	Riboflavin	Co2+-e0
Riboflavin##L-Threonine-e0##Turicimonas_muris_YL45	3.0951241569709964e-11	Riboflavin	L-Threonine-e0
Spermidine-e0##Spermidine-e0##Turicimonas_muris_YL45	-5.551115123125783e-16	Spermidine-e0	Spermidine-e0
Riboflavin##fe3-e0##Turicimonas_muris_YL45	7.528866419193037e-12	Riboflavin	fe3-e0
Spermidine-e0##H+-e0##Turicimonas_muris_YL45	-5.542233338928781e-13	Spermidine-e0	H+-e0
Folate##H+-e0##Turicimonas_muris_YL45	1.8900436771218665e-11	Folate	H+-e0
Riboflavin##H+-e0##Turicimonas_muris_YL45	-15.000000003909008	Riboflavin	H+-e0
Riboflavin##Uracil-e0##Turicimonas_muris_YL45	2.9814373192493804e-11	Riboflavin	Uracil-e0
Riboflavin##L-Methionine-e0##Turicimonas_muris_YL45	1.688604811533878e-11	Riboflavin	L-Methionine-e0
Riboflavin##L-Cysteine-e0##Turicimonas_muris_YL45	1.0901501923399337e-11	Riboflavin	L-Cysteine-e0
Spermidine-e0##L-Serine-e0##Turicimonas_muris_YL45	7.558398351648066e-13	Spermidine-e0	L-Serine-e0
Pyruvate-e0##L-Serine-e0##Turicimonas_muris_YL45	-2.4436008771999695e-13	Pyruvate-e0	L-Serine-e0
Folate##L-Serine-e0##Turicimonas_muris_YL45	-2.574296331658843e-11	Folate	L-Serine-e0
Riboflavin##L-Serine-e0##Turicimonas_muris_YL45	16.333333338669945	Riboflavin	L-Serine-e0
Spermidine-e0##NH3-e0##Turicimonas_muris_YL45	-8.375522497772181e-13	Spermidine-e0	NH3-e0
Pyruvate-e0##NH3-e0##Turicimonas_muris_YL45	2.6123547769429933e-13	Pyruvate-e0	NH3-e0
Folate##NH3-e0##Turicimonas_muris_YL45	2.7547741865419084e-11	Folate	NH3-e0
Riboflavin##NH3-e0##Turicimonas_muris_YL45	-15.333333339050114	Riboflavin	NH3-e0
Pyruvate-e0##Pyruvate-e0##Turicimonas_muris_YL45	1.1102230246251565e-15	Pyruvate-e0	Pyruvate-e0
Riboflavin##L-Asparagine-e0##Turicimonas_muris_YL45	2.347988470319251e-11	Riboflavin	L-Asparagine-e0
Riboflavin##Ca2+-e0##Turicimonas_muris_YL45	7.277511926417901e-13	Riboflavin	Ca2+-e0
Riboflavin##Cu2+-e0##Turicimonas_muris_YL45	2.26929586233382e-13	Riboflavin	Cu2+-e0
Riboflavin##Fe2+-e0##Turicimonas_muris_YL45	-5.07172082109264e-12	Riboflavin	Fe2+-e0
Folate##Glycine-e0##Turicimonas_muris_YL45	-2.348121697082206e-13	Folate	Glycine-e0
Riboflavin##Glycine-e0##Turicimonas_muris_YL45	-0.9999999999427409	Riboflavin	Glycine-e0
Riboflavin##K+-e0##Turicimonas_muris_YL45	5.632161403923419e-13	Riboflavin	K+-e0
Riboflavin##Cl--e0##Turicimonas_muris_YL45	7.175371408152387e-13	Riboflavin	Cl--e0
Riboflavin##L-Phenylalanine##Turicimonas_muris_YL45	1.638156277294911e-11	Riboflavin	L-Phenylalanine
Riboflavin##L-Tryptophan##Turicimonas_muris_YL45	4.079403481682675e-12	Riboflavin	L-Tryptophan
Riboflavin##L-Tyrosine##Turicimonas_muris_YL45	1.41895384331292e-11	Riboflavin	L-Tyrosine
Riboflavin##Mg##Turicimonas_muris_YL45	5.840883332552949e-13	Riboflavin	Mg
Riboflavin##Mn2+##Turicimonas_muris_YL45	7.477352070850429e-13	Riboflavin	Mn2+
Folate##Folate##Turicimonas_muris_YL45	4.218847493575595e-15	Folate	Folate
Riboflavin##Riboflavin##Turicimonas_muris_YL45	6.235012506294879e-13	Riboflavin	Riboflavin
Riboflavin##Niacin##Turicimonas_muris_YL45	7.382983113757291e-13	Riboflavin	Niacin
Riboflavin##PAN##Turicimonas_muris_YL45	-3.1530333899354446e-14	Riboflavin	PAN
Riboflavin##Pyridoxal##Turicimonas_muris_YL45	3.2795988147427124e-13	Riboflavin	Pyridoxal
Riboflavin##carbonate##Turicimonas_muris_YL45	1.9605295165092684e-10	Riboflavin	carbonate
Spermidine-e0##Acetate-e0##Turicimonas_muris_YL45	0.9999999999787841	Spermidine-e0	Acetate-e0
Folate##Acetate-e0##Turicimonas_muris_YL45	-22.499999999953268	Folate	Acetate-e0
Riboflavin##Acetate-e0##Turicimonas_muris_YL45	6552.351790883807	Riboflavin	Acetate-e0
Spermidine-e0##Fumarate-e0##Turicimonas_muris_YL45	3.999999999998615	Spermidine-e0	Fumarate-e0
Folate##Fumarate-e0##Turicimonas_muris_YL45	-5.499999999999216	Folate	Fumarate-e0
Riboflavin##Fumarate-e0##Turicimonas_muris_YL45	367.24003733643207	Riboflavin	Fumarate-e0
Spermidine-e0##Succinate-e0##Turicimonas_muris_YL45	-2.0000000000010676	Spermidine-e0	Succinate-e0
Folate##Succinate-e0##Turicimonas_muris_YL45	2.5000000000019065	Folate	Succinate-e0
Riboflavin##Succinate-e0##Turicimonas_muris_YL45	392.66908350793796	Riboflavin	Succinate-e0
Spermidine-e0##CO2-e0##Turicimonas_muris_YL45	-4.000000000003403	Spermidine-e0	CO2-e0
Folate##CO2-e0##Turicimonas_muris_YL45	-1.4999999999937077	Folate	CO2-e0
Riboflavin##CO2-e0##Turicimonas_muris_YL45	1164.412609748249	Riboflavin	CO2-e0
Riboflavin##O2-e0##Turicimonas_muris_YL45	-0.49999999998797395	Riboflavin	O2-e0
Riboflavin##D-Glyceraldehyde-e0##Turicimonas_muris_YL45	3.954395417040411	Riboflavin	D-Glyceraldehyde-e0
Folate##Glycolaldehyde-e0##Turicimonas_muris_YL45	-0.9999999999999278	Folate	Glycolaldehyde-e0
Riboflavin##Glycolaldehyde-e0##Turicimonas_muris_YL45	1.4999999999792497	Riboflavin	Glycolaldehyde-e0
Riboflavin##5'-Deoxyadenosine-e0##Turicimonas_muris_YL45	0.49999999998728833	Riboflavin	5'-Deoxyadenosine-e0
Spermidine-e0##Formate-e0-e0##Turicimonas_muris_YL45	0.9999999999778035	Spermidine-e0	Formate-e0-e0
Folate##Formate-e0-e0##Turicimonas_muris_YL45	-23.499999999951477	Folate	Formate-e0-e0
Riboflavin##Formate-e0-e0##Turicimonas_muris_YL45	6915.695867373475	Riboflavin	Formate-e0-e0
